

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735985 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:35 	grace30 	penicillin 	Subtiliter 	ninatas 	5♦xW-3 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:32 	grannysm1 	rickypwc 	charhar910 	amyflorida 	3NW-5 	500 	99.24% 	Movie or Lin 	 
3 	2020-09-09 14:34 	maria 1928 	mhood 	cattolli 	yolandac 	3NW-3 	300 	97.35% 	Movie or Lin 	 
4 	2020-09-09 14:33 	rickrock 	Flying8 	Redfox 33 	kfkup 	5♦W-3 	300 	97.35% 	Movie or Lin 	 
5 	2020-09-09 14:33 	Garrison L 	hidden32 	beth murph 	willenborg 	3NW-3 	300 	97.35% 	Movie or Lin 	 
6 	2020-09-09 14:33 	Txgal 	rbv1 	ferplay23 	loritap 	3NW-3 	300 	97.35% 	Movie or Lin 	 
7 	2020-09-09 14:33 	mrobichek 	elogg 	glasair2 	funfrolic 	2NW-2 	200 	84.09% 	Movie or Lin 	 
8 	2020-09-09 14:33 	vkmiller 	skolson 	lunab 	mickiemirk 	3NW-2 	200 	84.09% 	Movie or Lin 	 
9 	2020-09-09 14:33 	AGarnett 	Bisquier 	MHG1 	minkyg1 	2NW-2 	200 	84.09% 	Movie or Lin 	 
10 	2020-09-09 14:33 	carol slam 	milberger 	Fairway22 	alexpapa 	3NW-2 	200 	84.09% 	Movie or Lin 	 
11 	2020-09-09 14:34 	lujack 	Mikeyb 	miss plays 	miss bids 	3NW-2 	200 	84.09% 	Movie or Lin 	 
12 	2020-09-09 14:34 	debking 	liuhvicky 	Elsie405 	9Marianne 	3NW-2 	200 	84.09% 	Movie or Lin 	 
13 	2020-09-09 14:33 	susanakaz 	docdad1 	dowder 	chapalalou 	3NW-2 	200 	84.09% 	Movie or Lin 	 
14 	2020-09-09 14:34 	addrass 	poquis 	onthegeaux 	colt22 	3NW-2 	200 	84.09% 	Movie or Lin 	 
15 	2020-09-09 14:33 	Judy6 	schmoo 	liencam 	goose231 	3NW-2 	200 	84.09% 	Movie or Lin 	 
16 	2020-09-09 14:34 	suhu52 	bridgeclar 	supply 	Gill4455 	3NW-2 	200 	84.09% 	Movie or Lin 	 
17 	2020-09-09 14:34 	RMF1939 	apisces 	Noangel255 	henryk5 	6♦W-2 	200 	84.09% 	Movie or Lin 	 
18 	2020-09-09 14:31 	billchar 	sunstro35 	jenbar 	Barb1232 	3NW-2 	200 	84.09% 	Movie or Lin 	 
19 	2020-09-09 14:35 	Bidzwiz 	abenj 	karo1025 	susucamp 	3NW-2 	200 	84.09% 	Movie or Lin 	 
20 	2020-09-09 14:33 	jimmiel 	rtowntoo 	Landasc 	mckennat10 	3NW-2 	200 	84.09% 	Movie or Lin 	 
21 	2020-09-09 14:35 	schammy 	TAURUS514 	iqt 	mlllvn 	3NW-2 	200 	84.09% 	Movie or Lin 	 
22 	2020-09-09 14:31 	Enniscorth 	normw 	harmann8 	arnedanske 	3NW-2 	200 	84.09% 	Movie or Lin 	 
23 	2020-09-09 14:33 	beburs 	bridgech 	NellBB 	bdali3 	5♦W-2 	200 	84.09% 	Movie or Lin 	 
24 	2020-09-09 14:33 	chips64 	CP1900 	phigg 	seadogfla 	3NW-2 	200 	84.09% 	Movie or Lin 	 
25 	2020-09-09 14:32 	mbilzin 	nora124 	kater84 	aljrem 	3NW-2 	200 	84.09% 	Movie or Lin 	 
26 	2020-09-09 14:33 	ginad 	Donnarod 	headlv 	kwbridge 	3NW-2 	200 	84.09% 	Movie or Lin 	 
27 	2020-09-09 14:32 	mrstoe1 	vvttbb 	SKILLSET 	kjaxon2001 	3NW-2 	200 	84.09% 	Movie or Lin 	 
28 	2020-09-09 14:33 	chris724 	williamste 	Bonita72 	homefreefl 	4♥E-2 	200 	84.09% 	Movie or Lin 	 
29 	2020-09-09 14:33 	kashbyaz45 	anitamac 	jthoeresz 	lrountree 	3NW-2 	200 	84.09% 	Movie or Lin 	 
30 	2020-09-09 14:32 	margisell 	bertsure4 	Air1 	Flag5819 	3NW-2 	200 	84.09% 	Movie or Lin 	 
31 	2020-09-09 14:33 	bobopg 	pernicar 	gavina22 	Cboschg 	3NW-2 	200 	84.09% 	Movie or Lin 	 
32 	2020-09-09 14:33 	CSMCNOR 	jmunz 	Galaxy37 	jill777 	3NW-2 	200 	84.09% 	Movie or Lin 	 
33 	2020-09-09 14:33 	grandall 	smm20 	dianew5 	katy c 	3NW-2 	200 	84.09% 	Movie or Lin 	 
34 	2020-09-09 14:33 	phylmor 	MMMor 	Eyjari 	gardargard 	3NW-2 	200 	84.09% 	Movie or Lin 	 
35 	2020-09-09 14:33 	esgkc 	bbuch41 	dagtanimaz 	khr001 	3NW-2 	200 	84.09% 	Movie or Lin 	 
36 	2020-09-09 14:32 	007WELCOME 	woody_mch 	scshav 	dsp13 	3NW-2 	200 	84.09% 	Movie or Lin 	 
37 	2020-09-09 14:32 	Love2bird 	mycroft5 	oronda 	awhit 	3NW-2 	200 	84.09% 	Movie or Lin 	 
38 	2020-09-09 14:33 	kaytbridge 	maynab 	shmimm 	rlmdvm 	2♣xN= 	180 	71.59% 	Movie or Lin 	 
39 	2020-09-09 14:32 	NeoGold 	duhawk1 	lindapie 	HeatherF56 	2♣xN= 	180 	71.59% 	Movie or Lin 	 
40 	2020-09-09 14:33 	gordogreen 	JulyDiana 	iredouble 	yayaby 	3NW-1 	100 	63.64% 	Movie or Lin 	 
41 	2020-09-09 14:33 	nozar333 	jathomas3 	Jack blues 	Zodiac59 	3NW-1 	100 	63.64% 	Movie or Lin 	 
42 	2020-09-09 14:33 	klee1940 	flockie 	hamann1 	jettej44 	3NW-1 	100 	63.64% 	Movie or Lin 	 
43 	2020-09-09 14:34 	Jeannow 	bobnbbase 	monicakell 	Allan0620 	2NW-1 	100 	63.64% 	Movie or Lin 	 
44 	2020-09-09 14:33 	mneff 	Gronkster 	janettorno 	DedeHuff 	2NW-1 	100 	63.64% 	Movie or Lin 	 
45 	2020-09-09 14:33 	WillK 	toby99 	Pam L 	TToes 	2NW-1 	100 	63.64% 	Movie or Lin 	 
46 	2020-09-09 14:33 	rovill 	larryleg 	wazzit 	idahohoo 	3NW-1 	100 	63.64% 	Movie or Lin 	 
47 	2020-09-09 14:34 	dobbinaz 	Ladygirl 	Susan SG 	gallahtn 	2NW-1 	100 	63.64% 	Movie or Lin 	 
48 	2020-09-09 14:34 	June1915 	carolkes 	nana304 	rayerayej 	3NW-1 	100 	63.64% 	Movie or Lin 	 
49 	2020-09-09 14:33 	bruceferg 	juliejoy 	Inanny8 	anny1939 	3NW-1 	100 	63.64% 	Movie or Lin 	 
50 	2020-09-09 14:33 	4judybrown 	auntalicef 	jasminb4 	Jeff Fran 	3NW-1 	100 	63.64% 	Movie or Lin 	 
51 	2020-09-09 14:35 	daledavid 	jillie730 	lblady1 	tasiusd 	3NW-1 	100 	63.64% 	Movie or Lin 	 
