

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735988 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:47 	Arlene Gre 	PatBerg 	BEJOHNSON 	syedaijaz 	5♦xE-5 	1400 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:47 	dengsi 	siggisk19 	Redfox 33 	kfkup 	4♣xE-4 	1100 	99.24% 	Movie or Lin 	 
3 	2020-09-09 14:49 	avalon81 	nordstrom1 	bgturley 	adobescott 	2NxW-3 	800 	98.48% 	Movie or Lin 	 
4 	2020-09-09 14:47 	asltil 	rakkss 	czweig 	sb18 	3♦xW-2 	500 	97.73% 	Movie or Lin 	 
5 	2020-09-09 14:47 	jimmiel 	rtowntoo 	ferplay23 	loritap 	4♣E-4 	400 	96.21% 	Movie or Lin 	 
6 	2020-09-09 14:49 	ajit1 	GlostrJohn 	Djmeast 	Pslex 	4♣E-4 	400 	96.21% 	Movie or Lin 	 
7 	2020-09-09 14:46 	acsbb 	JJ7789 	beth murph 	willenborg 	4♣E-4 	400 	96.21% 	Movie or Lin 	 
8 	2020-09-09 14:47 	milevaj 	zinki 	Jannie 	jan0107 	4♣E-3 	300 	93.18% 	Movie or Lin 	 
9 	2020-09-09 14:48 	brisi153 	frate42 	bf06 	paulkh 	4♦E-3 	300 	93.18% 	Movie or Lin 	 
10 	2020-09-09 14:46 	bobopg 	pernicar 	headlv 	kwbridge 	4♦W-3 	300 	93.18% 	Movie or Lin 	 
11 	2020-09-09 14:47 	trepicche 	Maxxime 	jasminb4 	Jeff Fran 	3♥W-3 	300 	93.18% 	Movie or Lin 	 
12 	2020-09-09 14:46 	chips64 	CP1900 	mayyou 	0000khaled 	3♣E-3 	300 	93.18% 	Movie or Lin 	 
13 	2020-09-09 14:47 	Love2bird 	mycroft5 	fauster 	tigerlizzy 	4♦E-2 	200 	87.50% 	Movie or Lin 	 
14 	2020-09-09 14:47 	grandall 	smm20 	PamAllen1 	tomtrump 	3♦E-2 	200 	87.50% 	Movie or Lin 	 
15 	2020-09-09 14:47 	judydubose 	billmullis 	dearbilly 	JoJo9 	4♦E-2 	200 	87.50% 	Movie or Lin 	 
16 	2020-09-09 14:46 	ginad 	Donnarod 	ddyan 	ptrpaul 	4♦E-2 	200 	87.50% 	Movie or Lin 	 
17 	2020-09-09 14:48 	barbarad93 	dottiereid 	2holtdrive 	cndy037 	4♦E-2 	200 	87.50% 	Movie or Lin 	 
18 	2020-09-09 14:48 	4judybrown 	auntalicef 	pfflyer 	smokeysue 	3♣E-2 	200 	87.50% 	Movie or Lin 	 
19 	2020-09-09 14:46 	beburs 	bridgech 	oktaygecit 	ojkusc 	4♦E-2 	200 	87.50% 	Movie or Lin 	 
20 	2020-09-09 14:47 	rickrock 	Flying8 	sinica23 	allisonfr 	3♦E-2 	200 	87.50% 	Movie or Lin 	 
21 	2020-09-09 14:47 	AGarnett 	Bisquier 	pkauk 	Outback2 	4♦xE-1 	200 	87.50% 	Movie or Lin 	 
22 	2020-09-09 14:47 	rovill 	larryleg 	hamann1 	jettej44 	3♦E-2 	200 	87.50% 	Movie or Lin 	 
23 	2020-09-09 14:46 	phylmor 	MMMor 	juber12345 	Shirdor 	2♠S+2 	170 	83.33% 	Movie or Lin 	 
24 	2020-09-09 14:49 	sunflwr19 	nomyzs 	Patsy53 	cordless1 	2NS+1 	150 	82.58% 	Movie or Lin 	 
25 	2020-09-09 14:47 	ELIZKROS 	Joephill 	chevy12 	otto 	3♠S= 	140 	63.64% 	Movie or Lin 	 
26 	2020-09-09 14:46 	debking 	liuhvicky 	shep7420 	philbob336 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
27 	2020-09-09 14:47 	vincedep 	blaze14 	phigg 	seadogfla 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
28 	2020-09-09 14:46 	bruceferg 	juliejoy 	clevenut 	Laurenlou 	3♠S= 	140 	63.64% 	Movie or Lin 	 
29 	2020-09-09 14:47 	snapgal3 	marylou 	nana304 	rayerayej 	3♠S= 	140 	63.64% 	Movie or Lin 	 
30 	2020-09-09 14:46 	Bidzwiz 	abenj 	shmimm 	rlmdvm 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
31 	2020-09-09 14:47 	pattigolf 	Jeantennis 	keveland 	reneekb 	3♠S= 	140 	63.64% 	Movie or Lin 	 
32 	2020-09-09 14:46 	Txgal 	rbv1 	dianew5 	katy c 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
33 	2020-09-09 14:46 	nascellin 	Archie24 	monicakell 	Allan0620 	3♠S= 	140 	63.64% 	Movie or Lin 	 
34 	2020-09-09 14:46 	srachman 	nancy130 	arrondee 	jananddon 	3♠S= 	140 	63.64% 	Movie or Lin 	 
35 	2020-09-09 14:45 	cuddleyjd 	lvand14 	jenbar 	Barb1232 	3♠S= 	140 	63.64% 	Movie or Lin 	 
36 	2020-09-09 14:45 	docw123 	switt 	kikafa40 	rebue 	3♠S= 	140 	63.64% 	Movie or Lin 	 
37 	2020-09-09 14:46 	Kcat 	richgb 	LK98 	RAK79 	3♠S= 	140 	63.64% 	Movie or Lin 	 
38 	2020-09-09 14:46 	Judy6 	schmoo 	jthoeresz 	lrountree 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
39 	2020-09-09 14:45 	schammy 	TAURUS514 	supply 	Gill4455 	3♠S= 	140 	63.64% 	Movie or Lin 	 
40 	2020-09-09 14:47 	vakse 	jassurin 	liencam 	goose231 	3♠S= 	140 	63.64% 	Movie or Lin 	 
41 	2020-09-09 14:46 	pinebluff 	sarahtwh 	lunab 	mickiemirk 	3♠S= 	140 	63.64% 	Movie or Lin 	 
42 	2020-09-09 14:46 	susanakaz 	docdad1 	morriswi01 	marybray 	3♠S= 	140 	63.64% 	Movie or Lin 	 
43 	2020-09-09 14:46 	007WELCOME 	woody_mch 	Jcbastian 	dibastian 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
44 	2020-09-09 14:46 	Mary-Lou 	patina 	Inanny8 	anny1939 	3♠S= 	140 	63.64% 	Movie or Lin 	 
45 	2020-09-09 14:46 	ksolarz 	RNAIRN 	edwinb 	suzye 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
46 	2020-09-09 14:46 	mollymh 	WildRide47 	leno 	gpepper 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
47 	2020-09-09 14:45 	grace30 	penicillin 	muller555 	ruboomer 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
48 	2020-09-09 14:45 	daffydoc 	Mcauley 	petradouro 	letess1 	3♠S= 	140 	63.64% 	Movie or Lin 	 
49 	2020-09-09 14:46 	bbt 	peterszaba 	Air1 	Flag5819 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
50 	2020-09-09 14:45 	BetseyGS 	luv2X 	ralphiii 	gailseale 	3♠S= 	140 	63.64% 	Movie or Lin 	 
51 	2020-09-09 14:47 	casper1213 	evp44 	SKILLSET 	kjaxon2001 	3♠S= 	140 	63.64% 	Movie or Lin 	 
52 	2020-09-09 14:46 	carol slam 	milberger 	wildrose18 	reddogmtn 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
53 	2020-09-09 14:45 	nanax3 	lovescats4 	welajo 	blizzard20 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
54 	2020-09-09 14:46 	delsouljc 	drewme 	wazzit 	idahohoo 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
55 	2020-09-09 14:45 	bloftus 	chappleu 	clyphy 	davidshea5 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
56 	2020-09-09 14:45 	Azbridge1 	winkyone 	trumpmaven 	wubbe2 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
57 	2020-09-09 14:46 	jpm4605 	fteson69 	barni9 	456no 	3♠S= 	140 	63.64% 	Movie or Lin 	 
