

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735989 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:49 	schammy 	TAURUS514 	supply 	Gill4455 	4♦xE-4 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:51 	NeoGold 	duhawk1 	APO42 	jsh80 	3♦xE-3 	500 	98.48% 	Movie or Lin 	 
3 	2020-09-09 14:50 	estouest 	Marie 57 	wonton 	lgsett 	3♦xE-3 	500 	98.48% 	Movie or Lin 	 
4 	2020-09-09 14:52 	vincedep 	blaze14 	phigg 	seadogfla 	3♦xE-3 	500 	98.48% 	Movie or Lin 	 
5 	2020-09-09 14:50 	trepicche 	Maxxime 	jasminb4 	Jeff Fran 	4♠S+1 	450 	96.97% 	Movie or Lin 	 
6 	2020-09-09 14:50 	az fan 	832lehigh 	RemysDad 	stanleyfg 	3NS+1 	430 	95.83% 	Movie or Lin 	 
7 	2020-09-09 14:52 	frusco 	skiborder 	MHG1 	minkyg1 	3NN+1 	430 	95.83% 	Movie or Lin 	 
8 	2020-09-09 14:50 	mrobichek 	elogg 	janer22 	kenya16 	4♠S= 	420 	73.11% 	Movie or Lin 	 
9 	2020-09-09 14:50 	srachman 	nancy130 	arrondee 	jananddon 	4♠S= 	420 	73.11% 	Movie or Lin 	 
10 	2020-09-09 14:50 	Ever_Next 	raechela 	thorn11 	lumbeer 	4♠S= 	420 	73.11% 	Movie or Lin 	 
11 	2020-09-09 14:50 	Judy6 	schmoo 	jthoeresz 	lrountree 	4♠S= 	420 	73.11% 	Movie or Lin 	 
12 	2020-09-09 14:52 	smakkebo 	theben 	mozer 	berke97 	4♠S= 	420 	73.11% 	Movie or Lin 	 
13 	2020-09-09 14:52 	jimmiel 	rtowntoo 	ferplay23 	loritap 	4♠S= 	420 	73.11% 	Movie or Lin 	 
14 	2020-09-09 14:50 	addrass 	poquis 	harmann8 	arnedanske 	4♠S= 	420 	73.11% 	Movie or Lin 	 
15 	2020-09-09 14:52 	bridgeffun 	WilmaFlint 	lizr19 	ZUFONG 	4♠S= 	420 	73.11% 	Movie or Lin 	 
16 	2020-09-09 14:50 	vkmiller 	skolson 	Susan SG 	gallahtn 	4♠S= 	420 	73.11% 	Movie or Lin 	 
17 	2020-09-09 14:50 	007WELCOME 	woody_mch 	Jcbastian 	dibastian 	4♠S= 	420 	73.11% 	Movie or Lin 	 
18 	2020-09-09 14:50 	rickrock 	Flying8 	sinica23 	allisonfr 	4♠S= 	420 	73.11% 	Movie or Lin 	 
19 	2020-09-09 14:53 	sunflwr19 	nomyzs 	Patsy53 	cordless1 	4♠S= 	420 	73.11% 	Movie or Lin 	 
20 	2020-09-09 14:53 	ajit1 	GlostrJohn 	Djmeast 	Pslex 	4♠S= 	420 	73.11% 	Movie or Lin 	 
21 	2020-09-09 14:53 	klee1940 	flockie 	Pita3423 	giulib 	4♠S= 	420 	73.11% 	Movie or Lin 	 
22 	2020-09-09 14:50 	ekweis 	horsemill 	GMEIKLE 	dwebb345 	4♠S= 	420 	73.11% 	Movie or Lin 	 
23 	2020-09-09 14:53 	avalon81 	nordstrom1 	bgturley 	adobescott 	4♠S= 	420 	73.11% 	Movie or Lin 	 
24 	2020-09-09 14:50 	ronsassen 	salsa247 	gavina22 	Cboschg 	4♠S= 	420 	73.11% 	Movie or Lin 	 
25 	2020-09-09 14:48 	mizmeck 	shaji 	myrmil 	ajl4 	4♠S= 	420 	73.11% 	Movie or Lin 	 
26 	2020-09-09 14:53 	jsck 	reddy4fred 	lblady1 	tasiusd 	4♠S= 	420 	73.11% 	Movie or Lin 	 
27 	2020-09-09 14:48 	CarolR117 	Inanwag 	miss plays 	miss bids 	4♠S= 	420 	73.11% 	Movie or Lin 	 
28 	2020-09-09 14:48 	bobynot50 	garage16 	Eyjari 	gardargard 	4♠S= 	420 	73.11% 	Movie or Lin 	 
29 	2020-09-09 14:49 	BetseyGS 	luv2X 	ralphiii 	gailseale 	4♠S= 	420 	73.11% 	Movie or Lin 	 
30 	2020-09-09 14:50 	mollymh 	WildRide47 	leno 	gpepper 	4♠S= 	420 	73.11% 	Movie or Lin 	 
31 	2020-09-09 14:49 	daver6322 	barbr6322 	Noangel255 	henryk5 	4♠S= 	420 	73.11% 	Movie or Lin 	 
32 	2020-09-09 14:49 	resbayes 	kb2553 	FancyAunt 	Luckyluce4 	4♠S= 	420 	73.11% 	Movie or Lin 	 
33 	2020-09-09 14:49 	phylmor 	MMMor 	juber12345 	Shirdor 	4♠S= 	420 	73.11% 	Movie or Lin 	 
34 	2020-09-09 14:49 	debking 	liuhvicky 	shep7420 	philbob336 	4♠S= 	420 	73.11% 	Movie or Lin 	 
35 	2020-09-09 14:49 	acsbb 	JJ7789 	beth murph 	willenborg 	4♠S= 	420 	73.11% 	Movie or Lin 	 
36 	2020-09-09 14:51 	kaytbridge 	maynab 	issab60 	spanisheye 	4♠S= 	420 	73.11% 	Movie or Lin 	 
37 	2020-09-09 14:49 	suds8402 	lrue 	jobengland 	tpsc 	4♠S= 	420 	73.11% 	Movie or Lin 	 
38 	2020-09-09 14:49 	lolido02 	nffellman 	KarenA 	glen 	4♠S= 	420 	73.11% 	Movie or Lin 	 
39 	2020-09-09 14:49 	RSSTAR 	love trips 	onthegeaux 	colt22 	4♠S= 	420 	73.11% 	Movie or Lin 	 
40 	2020-09-09 14:51 	bbt 	peterszaba 	Air1 	Flag5819 	4♠S= 	420 	73.11% 	Movie or Lin 	 
41 	2020-09-09 14:49 	emilyseide 	Sheleb 	iredouble 	yayaby 	4♠S= 	420 	73.11% 	Movie or Lin 	 
42 	2020-09-09 14:49 	daffydoc 	Mcauley 	petradouro 	letess1 	4♠S= 	420 	73.11% 	Movie or Lin 	 
43 	2020-09-09 14:51 	ELIZKROS 	Joephill 	chevy12 	otto 	4♠S= 	420 	73.11% 	Movie or Lin 	 
44 	2020-09-09 14:49 	grace30 	penicillin 	muller555 	ruboomer 	4♠S= 	420 	73.11% 	Movie or Lin 	 
45 	2020-09-09 14:49 	kctory 	LusbyBob 	scshav 	dsp13 	4♠S= 	420 	73.11% 	Movie or Lin 	 
46 	2020-09-09 14:49 	leftyc 	haroldf 	karen schw 	vmandell 	4♠S= 	420 	73.11% 	Movie or Lin 	 
47 	2020-09-09 14:49 	Txgal 	rbv1 	dianew5 	katy c 	4♠S= 	420 	73.11% 	Movie or Lin 	 
48 	2020-09-09 14:51 	June1915 	carolkes 	NellBB 	bdali3 	4♠S= 	420 	73.11% 	Movie or Lin 	 
49 	2020-09-09 14:51 	OYTB 	bowei 	janetf 	joan zavis 	4♠S= 	420 	73.11% 	Movie or Lin 	 
50 	2020-09-09 14:51 	Rom2003 	micha2715 	iqt 	mlllvn 	4♠S= 	420 	73.11% 	Movie or Lin 	 
