

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735984 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:26 	suhu52 	bridgeclar 	iqt 	mlllvn 	6NN= 	990 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:28 	nozar333 	jathomas3 	djmeast 	Pslex 	6♥S= 	980 	98.47% 	Movie or Lin 	 
3 	2020-09-09 14:28 	daver6322 	barbr6322 	kittydee 	jogle 	6♥S= 	980 	98.47% 	Movie or Lin 	 
4 	2020-09-09 14:26 	WillK 	toby99 	juber12345 	Shirdor 	6♥S= 	980 	98.47% 	Movie or Lin 	 
5 	2020-09-09 14:27 	CSMCNOR 	jmunz 	Jack blues 	Zodiac59 	3NN+3 	490 	96.18% 	Movie or Lin 	 
6 	2020-09-09 14:27 	bbt 	peterszaba 	clyphy 	davidshea5 	3NN+3 	490 	96.18% 	Movie or Lin 	 
7 	2020-09-09 14:25 	orizi 	monelta 	kater84 	aljrem 	3NN+3 	490 	96.18% 	Movie or Lin 	 
8 	2020-09-09 14:25 	klee1940 	flockie 	wazzit 	idahohoo 	4♥S+2 	480 	94.27% 	Movie or Lin 	 
9 	2020-09-09 14:28 	bridgeffun 	WilmaFlint 	oktaygecit 	ojkusc 	5♥S+1 	480 	94.27% 	Movie or Lin 	 
10 	2020-09-09 14:27 	barbarad93 	dottiereid 	sfletke 	andygirl 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
11 	2020-09-09 14:27 	41115 	tnfarmer4 	headlv 	kwbridge 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
12 	2020-09-09 14:24 	estouest 	Marie 57 	sinica23 	allisonfr 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
13 	2020-09-09 14:27 	cuddleyjd 	lvand14 	jthoeresz 	lrountree 	5♥S= 	450 	68.70% 	Movie or Lin 	 
14 	2020-09-09 14:27 	nivri 	yancy1 	dianew5 	katy c 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
15 	2020-09-09 14:24 	smakkebo 	theben 	czweig 	sb18 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
16 	2020-09-09 14:24 	mneff 	Gronkster 	bf06 	paulkh 	4♥N+1 	450 	68.70% 	Movie or Lin 	 
17 	2020-09-09 14:27 	trumpface 	Mistee 	jobengland 	tpsc 	4♥N+1 	450 	68.70% 	Movie or Lin 	 
18 	2020-09-09 14:25 	lolido02 	nffellman 	phigg 	seadogfla 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
19 	2020-09-09 14:24 	mrobichek 	elogg 	miss plays 	miss bids 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
20 	2020-09-09 14:25 	judydubose 	billmullis 	Redfox 33 	kfkup 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
21 	2020-09-09 14:27 	emilyseide 	Sheleb 	fauster 	tigerlizzy 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
22 	2020-09-09 14:27 	Love2bird 	mycroft5 	beth murph 	willenborg 	4♥N+1 	450 	68.70% 	Movie or Lin 	 
23 	2020-09-09 14:27 	007WELCOME 	woody_mch 	ralphiii 	gailseale 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
24 	2020-09-09 14:25 	leftyc 	haroldf 	lyndawithy 	ann no e 	5♥S= 	450 	68.70% 	Movie or Lin 	 
25 	2020-09-09 14:25 	milevaj 	zinki 	dowder 	chapalalou 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
26 	2020-09-09 14:25 	mbilzin 	nora124 	ruthann 	kyradog 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
27 	2020-09-09 14:25 	suds8402 	lrue 	janettorno 	DedeHuff 	5♥S= 	450 	68.70% 	Movie or Lin 	 
28 	2020-09-09 14:27 	marsjc 	bxv 	Susan SG 	gallahtn 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
29 	2020-09-09 14:25 	ajit1 	GlostrJohn 	dawg123 	SuzGA 	4♥S+1 	450 	68.70% 	Movie or Lin 	 
30 	2020-09-09 14:25 	Martha68 	Tayalaw1 	Donchik 	Rikke S 	4♥N+1 	450 	68.70% 	Movie or Lin 	 
