

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735980 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:09 	avalon81 	nordstrom1 	janetf 	joan zavis 	4♥W-2 	100 	99.24% 	Movie or Lin 	 
2 	2020-09-09 14:09 	CSMCNOR 	jmunz 	Djmeast 	Pslex 	3NE-2 	100 	99.24% 	Movie or Lin 	 
3 	2020-09-09 14:08 	bobynot50 	garage16 	monicakell 	Allan0620 	3NE-2 	100 	99.24% 	Movie or Lin 	 
4 	2020-09-09 14:08 	beburs 	bridgech 	ilonashorb 	carencowie 	2NE-1 	50 	89.77% 	Movie or Lin 	 
5 	2020-09-09 14:08 	mizmeck 	shaji 	iredouble 	yayaby 	3NE-1 	50 	89.77% 	Movie or Lin 	 
6 	2020-09-09 14:11 	Rom2003 	micha2715 	glasair2 	funfrolic 	3NE-1 	50 	89.77% 	Movie or Lin 	 
7 	2020-09-09 14:11 	mollymh 	WildRide47 	dhb1122A 	connor14 	3NE-1 	50 	89.77% 	Movie or Lin 	 
8 	2020-09-09 14:08 	daledavid 	jillie730 	SKILLSET 	kjaxon2001 	3NE-1 	50 	89.77% 	Movie or Lin 	 
9 	2020-09-09 14:11 	ginad 	Donnarod 	Patsy53 	cordless1 	3NE-1 	50 	89.77% 	Movie or Lin 	 
10 	2020-09-09 14:11 	muriald 	rbv1 	charhar910 	amyflorida 	3NE-1 	50 	89.77% 	Movie or Lin 	 
11 	2020-09-09 14:12 	bruceferg 	juliejoy 	Caveman111 	ellenanten 	3NE-1 	50 	89.77% 	Movie or Lin 	 
12 	2020-09-09 14:12 	RMF1939 	apisces 	kittydee 	jogle 	3NE-1 	50 	89.77% 	Movie or Lin 	 
