

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735981 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:13 	daledavid 	jillie730 	SKILLSET 	kjaxon2001 	6♣xW-4 	1100 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:13 	blondie2 	Encino 	FancyAunt 	Luckyluce4 	5♣xW-3 	800 	98.36% 	Movie or Lin 	 
3 	2020-09-09 14:13 	trumpface 	Mistee 	dawg123 	SuzGA 	5♣xW-3 	800 	98.36% 	Movie or Lin 	 
4 	2020-09-09 14:11 	leftyc 	haroldf 	ddyan 	onrelas 	5♣xW-3 	800 	98.36% 	Movie or Lin 	 
5 	2020-09-09 14:13 	ronsassen 	salsa247 	shmimm 	rlmdvm 	4♣xW-2 	500 	94.67% 	Movie or Lin 	 
6 	2020-09-09 14:12 	mneff 	Gronkster 	Donchik 	Rikke S 	5♣xW-2 	500 	94.67% 	Movie or Lin 	 
7 	2020-09-09 14:13 	snapgal3 	marylou 	juber12345 	Shirdor 	3♦xE-2 	500 	94.67% 	Movie or Lin 	 
8 	2020-09-09 14:10 	Enniscorth 	normw 	edwinb 	suzye 	4♣xW-2 	500 	94.67% 	Movie or Lin 	 
9 	2020-09-09 14:14 	Ginad 	Donnarod 	PATSY53 	cordless1 	3NxW-2 	500 	94.67% 	Movie or Lin 	 
10 	2020-09-09 14:10 	4judybrown 	auntalicef 	dagtanimaz 	archin3531 	4♣xW-2 	500 	94.67% 	Movie or Lin 	 
11 	2020-09-09 14:14 	grace30 	penicillin 	baseman07 	sheilabro 	4♥S= 	420 	89.34% 	Movie or Lin 	 
12 	2020-09-09 14:12 	dengsi 	siggisk19 	ewwalk 	kath1945 	4♥S= 	420 	89.34% 	Movie or Lin 	 
13 	2020-09-09 14:13 	WillK 	toby99 	Eyjari 	gardargard 	4♥S= 	420 	89.34% 	Movie or Lin 	 
14 	2020-09-09 14:13 	susanakaz 	docdad1 	Subtiliter 	ninatas 	4♠N= 	420 	89.34% 	Movie or Lin 	 
15 	2020-09-09 14:13 	lujack 	Mikeyb 	shep7420 	philbob336 	4♥S= 	420 	89.34% 	Movie or Lin 	 
16 	2020-09-09 14:10 	esgkc 	bbuch41 	Jannie 	jan0107 	4♥S= 	420 	89.34% 	Movie or Lin 	 
17 	2020-09-09 14:11 	jimmiel 	rtowntoo 	BBP 	fireitup 	4♠N= 	420 	89.34% 	Movie or Lin 	 
18 	2020-09-09 14:14 	nivri 	yancy1 	ferplay23 	loritap 	3NxE-1 	200 	81.56% 	Movie or Lin 	 
19 	2020-09-09 14:12 	bbt 	peterszaba 	myrmil 	ajl4 	3♣xW-1 	200 	81.56% 	Movie or Lin 	 
20 	2020-09-09 14:14 	RSSTAR 	love trips 	mozer 	berke97 	3NW-2 	200 	81.56% 	Movie or Lin 	 
21 	2020-09-09 14:12 	frusco 	skiborder 	phigg 	seadogfla 	3♣xW-1 	200 	81.56% 	Movie or Lin 	 
22 	2020-09-09 14:12 	azlinda 	jg48 	sinica23 	allisonfr 	3♣xW-1 	200 	81.56% 	Movie or Lin 	 
23 	2020-09-09 14:14 	docw123 	switt 	lizr19 	ZUFONG 	3NxW-1 	200 	81.56% 	Movie or Lin 	 
24 	2020-09-09 14:14 	Bobopg 	pernicar 	issab60 	spanisheye 	4♣W-2 	200 	81.56% 	Movie or Lin 	 
25 	2020-09-09 14:14 	betseygs 	luv2X 	Lyndawithy 	ann no e 	3♣xW-1 	200 	81.56% 	Movie or Lin 	 
26 	2020-09-09 14:14 	carol slam 	milberger 	MHG1 	minkyg1 	3NW-2 	200 	81.56% 	Movie or Lin 	 
27 	2020-09-09 14:13 	daffydoc 	Mcauley 	nana304 	rayerayej 	3♣xW-1 	200 	81.56% 	Movie or Lin 	 
