

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735979 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:03 	mrobichek 	elogg 	ddlion 	nabuk 	1NE-4 	200 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:09 	orizi 	monelta 	ruthann 	kyradog 	4♥W-3 	150 	99.24% 	Movie or Lin 	 
3 	2020-09-09 14:05 	OYTB 	bowei 	beth murph 	willenborg 	4♠W-2 	100 	96.59% 	Movie or Lin 	 
4 	2020-09-09 14:05 	lolido02 	nffellman 	Portugal42 	jancharles 	4♥W-2 	100 	96.59% 	Movie or Lin 	 
5 	2020-09-09 14:08 	brisi153 	frate42 	Inanny8 	anny1939 	3♠W-2 	100 	96.59% 	Movie or Lin 	 
6 	2020-09-09 14:04 	bds02 	ghb1049 	headlv 	kwbridge 	3♠W-2 	100 	96.59% 	Movie or Lin 	 
7 	2020-09-09 14:05 	vincedep 	blaze14 	Bonita72 	homefreefl 	4♠W-2 	100 	96.59% 	Movie or Lin 	 
8 	2020-09-09 14:03 	leftyc 	haroldf 	ddyan 	onrelas 	3NE-2 	100 	96.59% 	Movie or Lin 	 
9 	2020-09-09 14:05 	casper1213 	evp44 	pfflyer 	smokeysue 	4♠W-1 	50 	89.02% 	Movie or Lin 	 
10 	2020-09-09 14:04 	beburs 	bridgech 	ilonashorb 	carencowie 	4♥W-1 	50 	89.02% 	Movie or Lin 	 
11 	2020-09-09 14:04 	bobopg 	pernicar 	issab60 	spanisheye 	4♥W-1 	50 	89.02% 	Movie or Lin 	 
12 	2020-09-09 14:05 	Judy6 	schmoo 	cattolli 	yolandac 	3♥W-1 	50 	89.02% 	Movie or Lin 	 
13 	2020-09-09 14:05 	nivri 	yancy1 	ferplay23 	loritap 	4♥W-1 	50 	89.02% 	Movie or Lin 	 
14 	2020-09-09 14:06 	cloudy1 	super1960 	barni9 	456no 	3♥W-1 	50 	89.02% 	Movie or Lin 	 
15 	2020-09-09 14:06 	emilyseide 	Sheleb 	oronda 	awhit 	4♠W-1 	50 	89.02% 	Movie or Lin 	 
16 	2020-09-09 14:06 	faydugas 	lizj132000 	Bunkergirl 	PegKross 	4♠W-1 	50 	89.02% 	Movie or Lin 	 
17 	2020-09-09 14:08 	chips64 	CP1900 	giulia03 	1feeling 	4♠W-1 	50 	89.02% 	Movie or Lin 	 
18 	2020-09-09 14:04 	Ever_Next 	raechela 	miss plays 	miss bids 	4♥E-1 	50 	89.02% 	Movie or Lin 	 
19 	2020-09-09 14:04 	kaytbridge 	maynab 	GMEIKLE 	dwebb345 	3NW-1 	50 	89.02% 	Movie or Lin 	 
20 	2020-09-09 14:04 	rovill 	larryleg 	wildrose18 	reddogmtn 	4♠W-1 	50 	89.02% 	Movie or Lin 	 
21 	2020-09-09 14:05 	June1915 	carolkes 	Pam L 	TToes 	3♥W-1 	50 	89.02% 	Movie or Lin 	 
22 	2020-09-09 14:05 	CarolR117 	Inanwag 	Elsie405 	9Marianne 	3♥W-1 	50 	89.02% 	Movie or Lin 	 
23 	2020-09-09 14:04 	41115 	tnfarmer4 	gavina22 	Cboschg 	1NS-1 	-50 	83.33% 	Movie or Lin 	 
24 	2020-09-09 14:05 	BetseyGS 	luv2X 	lyndawithy 	ann no e 	2♣S-2 	-100 	82.58% 	Movie or Lin 	 
25 	2020-09-09 14:04 	mneff 	Gronkster 	Donchik 	Rikke S 	2♥W= 	-110 	79.17% 	Movie or Lin 	 
26 	2020-09-09 14:05 	carolrit 	idahomb 	scshav 	dsp13 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
27 	2020-09-09 14:04 	blondie2 	Encino 	FancyAunt 	Luckyluce4 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
28 	2020-09-09 14:06 	Azbridge1 	winkyone 	petradouro 	letess1 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
29 	2020-09-09 14:06 	pinebluff 	sarahtwh 	supply 	Gill4455 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
30 	2020-09-09 14:03 	JudeBoard 	lhasalady 	wazzit 	idahohoo 	2♥W= 	-110 	79.17% 	Movie or Lin 	 
31 	2020-09-09 14:03 	Enniscorth 	normw 	edwinb 	suzye 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
32 	2020-09-09 14:05 	smakkebo 	theben 	265426 	dubose 	2♠W= 	-110 	79.17% 	Movie or Lin 	 
33 	2020-09-09 14:05 	Martha68 	Tayalaw1 	clevenut 	Laurenlou 	3♠W= 	-140 	70.08% 	Movie or Lin 	 
