

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735990 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:56 	mbilzin 	nora124 	jludwig 	jtorff 	3♦E-2 	100 	98.46% 	Movie or Lin 	 
2 	2020-09-09 14:56 	avalon81 	nordstrom1 	bgturley 	adobescott 	4♦E-2 	100 	98.46% 	Movie or Lin 	 
3 	2020-09-09 14:55 	Mary-Lou 	patina 	Inanny8 	anny1939 	3NW-2 	100 	98.46% 	Movie or Lin 	 
4 	2020-09-09 14:55 	41115 	tnfarmer4 	lyndawithy 	ann no e 	4♥W-2 	100 	98.46% 	Movie or Lin 	 
5 	2020-09-09 14:53 	billchar 	sunstro35 	ruthann 	kyradog 	3NE-2 	100 	98.46% 	Movie or Lin 	 
6 	2020-09-09 14:52 	phylmor 	MMMor 	juber12345 	Shirdor 	1♠S= 	80 	96.15% 	Movie or Lin 	 
7 	2020-09-09 14:56 	nivri 	yancy1 	cattolli 	yolandac 	3NE-1 	50 	91.54% 	Movie or Lin 	 
8 	2020-09-09 14:56 	dengsi 	siggisk19 	Redfox 33 	kfkup 	2NW-1 	50 	91.54% 	Movie or Lin 	 
9 	2020-09-09 14:55 	Ever_Next 	raechela 	thorn11 	lumbeer 	4♥W-1 	50 	91.54% 	Movie or Lin 	 
10 	2020-09-09 14:52 	chips64 	CP1900 	mayyou 	0000khaled 	3NE-1 	50 	91.54% 	Movie or Lin 	 
11 	2020-09-09 14:52 	BetseyGS 	luv2X 	ralphiii 	gailseale 	3NE-1 	50 	91.54% 	Movie or Lin 	 
12 	2020-09-09 14:55 	mrstoe1 	vvttbb 	Baseman07 	sheilabro 	3NE-1 	50 	91.54% 	Movie or Lin 	 
13 	2020-09-09 14:53 	acsbb 	JJ7789 	beth murph 	willenborg 	3NE-1 	50 	91.54% 	Movie or Lin 	 
14 	2020-09-09 14:55 	bbt 	peterszaba 	Air1 	Flag5819 	3NW-1 	50 	91.54% 	Movie or Lin 	 
15 	2020-09-09 14:56 	mneff 	Gronkster 	dawg123 	SuzGA 	4♥W-1 	50 	91.54% 	Movie or Lin 	 
16 	2020-09-09 14:56 	katapulta 	nkl1234 	sfletke 	andygirl 	3NE-1 	50 	91.54% 	Movie or Lin 	 
17 	2020-09-09 14:56 	nozar333 	jathomas3 	Galaxy37 	jill777 	3NW-1 	50 	91.54% 	Movie or Lin 	 
18 	2020-09-09 14:52 	bloftus 	chappleu 	clyphy 	davidshea5 	2♦E= 	-90 	86.54% 	Movie or Lin 	 
19 	2020-09-09 14:54 	cuddleyjd 	lvand14 	jenbar 	Barb1232 	2♦E= 	-90 	86.54% 	Movie or Lin 	 
20 	2020-09-09 14:54 	ksolarz 	RNAIRN 	edwinb 	suzye 	2♣E+1 	-110 	83.46% 	Movie or Lin 	 
21 	2020-09-09 14:56 	bidzwiz 	abenj 	shmimm 	rlmdvm 	2♣W+1 	-110 	83.46% 	Movie or Lin 	 
22 	2020-09-09 14:56 	lujack 	Mikeyb 	glasair2 	funfrolic 	2♥W= 	-110 	83.46% 	Movie or Lin 	 
23 	2020-09-09 14:52 	resbayes 	kb2553 	FancyAunt 	Luckyluce4 	1♥W+1 	-110 	83.46% 	Movie or Lin 	 
24 	2020-09-09 14:53 	mrobichek 	elogg 	janer22 	kenya16 	2♥W= 	-110 	83.46% 	Movie or Lin 	 
25 	2020-09-09 14:56 	June1915 	carolkes 	NellBB 	bdali3 	2♥W= 	-110 	83.46% 	Movie or Lin 	 
