

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735986 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:37 	bruceferg 	juliejoy 	Inanny8 	anny1939 	3NxE-6 	1400 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:37 	41115 	tnfarmer4 	ddyan 	onrelas 	5♦xE-4 	800 	99.24% 	Movie or Lin 	 
3 	2020-09-09 14:37 	smakkebo 	theben 	sfletke 	andygirl 	4♥xS+1 	690 	98.48% 	Movie or Lin 	 
4 	2020-09-09 14:38 	bbt 	peterszaba 	barni9 	456no 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
5 	2020-09-09 14:38 	suhu52 	bridgeclar 	supply 	Gill4455 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
6 	2020-09-09 14:38 	schammy 	TAURUS514 	iqt 	mlllvn 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
7 	2020-09-09 14:36 	Kcat 	richgb 	ewwalk 	kath1945 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
8 	2020-09-09 14:35 	RSSTAR 	love trips 	edwinb 	suzye 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
9 	2020-09-09 14:35 	rovill 	larryleg 	wazzit 	idahohoo 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
10 	2020-09-09 14:37 	mrobichek 	elogg 	glasair2 	funfrolic 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
11 	2020-09-09 14:37 	mollymh 	WildRide47 	pfflyer 	smokeysue 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
12 	2020-09-09 14:37 	jimmiel 	rtowntoo 	Landasc 	mckennat10 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
13 	2020-09-09 14:36 	CarolR117 	Inanwag 	ddlion 	nabuk 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
14 	2020-09-09 14:38 	acsbb 	JJ7789 	chevy12 	otto 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
15 	2020-09-09 14:38 	casper1213 	evp44 	keveland 	reneekb 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
16 	2020-09-09 14:38 	bds02 	ghb1049 	lyndawithy 	ann no e 	4♥S+2 	480 	93.18% 	Movie or Lin 	 
17 	2020-09-09 14:38 	vincedep 	blaze14 	Portugal42 	jancharles 	3NN+2 	460 	86.36% 	Movie or Lin 	 
18 	2020-09-09 14:37 	vakse 	jassurin 	sueslinger 	4carrot 	3NN+2 	460 	86.36% 	Movie or Lin 	 
19 	2020-09-09 14:37 	bridgeffun 	WilmaFlint 	petradouro 	letess1 	3NN+2 	460 	86.36% 	Movie or Lin 	 
20 	2020-09-09 14:37 	brolin 	ceciliabid 	pkauk 	Outback2 	3NS+2 	460 	86.36% 	Movie or Lin 	 
21 	2020-09-09 14:37 	sunflwr19 	nomyzs 	issab60 	spanisheye 	3NS+2 	460 	86.36% 	Movie or Lin 	 
22 	2020-09-09 14:38 	daver6322 	barbr6322 	RemysDad 	stanleyfg 	4♥S+1 	450 	52.27% 	Movie or Lin 	 
