

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819548 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:34 	maui me 	adobescott 	BFG 	tourneyjoe 	4♠S-1 	100 	99.15% 	Movie or Lin 	 
2 	2020-09-18 14:32 	1303abrd 	Ralph62 	BN64985 	ajax01 	3♠S-1 	100 	99.15% 	Movie or Lin 	 
3 	2020-09-18 14:32 	Migen 	jerzyna 	jbhunter54 	ajkajk 	3♠S-1 	100 	99.15% 	Movie or Lin 	 
4 	2020-09-18 14:33 	lvgopher 	lvrandy 	88keysB 	GingerVero 	3♦E-1 	-100 	97.03% 	Movie or Lin 	 
5 	2020-09-18 14:32 	catkoklc 	nelson5107 	glostrank 	mrstoe1 	2♦E-1 	-100 	97.03% 	Movie or Lin 	 
6 	2020-09-18 14:32 	markopup 	ssyc1938 	Susan SG 	gallahtn 	2♠S= 	-110 	94.07% 	Movie or Lin 	 
7 	2020-09-18 14:33 	morriswi01 	marybray 	klesliew 	batchish 	2♠S= 	-110 	94.07% 	Movie or Lin 	 
8 	2020-09-18 14:32 	paulkh 	ataml 	jogle 	kittydee 	2♠S= 	-110 	94.07% 	Movie or Lin 	 
9 	2020-09-18 14:31 	mills41 	champ10 	jasminb4 	Mickeyb1 	2♠S= 	-110 	94.07% 	Movie or Lin 	 
10 	2020-09-18 14:31 	MalloryF 	pintocp 	shawn850 	ArmandGras 	2♠S= 	-110 	94.07% 	Movie or Lin 	 
11 	2020-09-18 14:33 	1Suaveguy 	sfikes 	trumpface 	Mistee 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
12 	2020-09-18 14:33 	ochristens 	clieff1 	b-stick 	expo4 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
13 	2020-09-18 14:32 	BSheldon 	Paul_Sitz 	SML999 	kaye38 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
14 	2020-09-18 14:32 	lulu109 	SherylSBBC 	121442 	Adele46 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
15 	2020-09-18 14:33 	40234023 	Katrink11 	belle jour 	nifty msk 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
16 	2020-09-18 14:32 	tryentrump 	chefmaggie 	phylmor 	MMMor 	1♠S+2 	-140 	77.54% 	Movie or Lin 	 
17 	2020-09-18 14:32 	rewful 	LadyPatti 	acol1900 	shan1945 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
18 	2020-09-18 14:33 	BEJOHNSON 	csalmon 	caroleliss 	Magliocco 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
19 	2020-09-18 14:34 	ARBCBJ70 	ARBCMB70 	luzya 	sasssa 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
20 	2020-09-18 14:32 	rpver 	pmhbuller 	pastapan 	rakkss 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
21 	2020-09-18 14:32 	lblady1 	tasiusd 	tc93 	tdh_1944 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
22 	2020-09-18 14:35 	barrel25 	ginnyjane 	armavadee7 	Priusus5 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
23 	2020-09-18 14:34 	carolsachs 	dem1219 	suds8402 	BubbaG 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
24 	2020-09-18 14:32 	1YIKAR 	shelbina34 	RNAIRN 	lizbridg 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
25 	2020-09-18 14:32 	anzohj 	bart3 	lisapom 	vkdatta1 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
26 	2020-09-18 14:32 	anonimatto 	ricoli 	corkkitty 	cesmith 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
27 	2020-09-18 14:31 	dottiereid 	extraspike 	gailwier37 	helen ogle 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
28 	2020-09-18 14:30 	kfkup 	Redfox 33 	Harvar5d 	mawmaw2013 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
29 	2020-09-18 14:31 	schammy 	TAURUS514 	June1915 	carolkes 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
30 	2020-09-18 14:32 	leftyc 	haroldf 	eddie fast 	putter11 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
31 	2020-09-18 14:31 	HHAub181 	Wild__West 	Arpinto 	carlota24 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
32 	2020-09-18 14:32 	icemilk 	gunnarth 	karo1025 	susucamp 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
33 	2020-09-18 14:32 	giulia03 	1feeling 	kenya16 	janer22 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
34 	2020-09-18 14:32 	IrvingGew 	parsonsdav 	lunab 	mickiemirk 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
35 	2020-09-18 14:32 	emilbest 	1OldCrow 	sabz 	Jeff Fran 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
36 	2020-09-18 14:31 	cnathan 	marc_n 	perakehans 	danjohan 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
37 	2020-09-18 14:32 	ellenanten 	Caveman111 	mslair 	michaelair 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
38 	2020-09-18 14:32 	zmanmom 	p450guy 	esgkc 	bbuch41 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
39 	2020-09-18 14:31 	atilayc 	erenmina 	waldblumch 	trilex1 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
40 	2020-09-18 14:32 	Savvy3 	jenporte 	san1jack 	debralee 	3♠S= 	-140 	77.54% 	Movie or Lin 	 
41 	2020-09-18 14:32 	mark garel 	Gail Model 	allisonfr 	sinica23 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
42 	2020-09-18 14:32 	asqueeze 	smm20 	Connie1024 	leeupnorth 	2♠S+1 	-140 	77.54% 	Movie or Lin 	 
