

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819546 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:22 	dottiereid 	extraspike 	sv21 	pierchat31 	4♠xS-2 	500 	99.58% 	Movie or Lin 	 
2 	2020-09-18 14:21 	vincent38 	funnyman 	amber_rain 	gremio 	3♥N-5 	500 	99.58% 	Movie or Lin 	 
3 	2020-09-18 14:23 	anonimatto 	ricoli 	bennix 	igorliv 	3♦xE= 	470 	98.31% 	Movie or Lin 	 
4 	2020-09-18 14:22 	danr46 	marilynmc7 	ivargo 	kalibali 	4♠S-3 	300 	94.07% 	Movie or Lin 	 
5 	2020-09-18 14:22 	barrel25 	ginnyjane 	jogle 	kittydee 	4♠S-3 	300 	94.07% 	Movie or Lin 	 
6 	2020-09-18 14:22 	ellenanten 	Caveman111 	san1jack 	debralee 	2♥N-3 	300 	94.07% 	Movie or Lin 	 
7 	2020-09-18 14:23 	stuart777 	nhcards 	haroldph 	cinbread19 	4♠N-3 	300 	94.07% 	Movie or Lin 	 
8 	2020-09-18 14:21 	oktaygecit 	ojkusc 	suds8402 	BubbaG 	5♠S-3 	300 	94.07% 	Movie or Lin 	 
9 	2020-09-18 14:23 	hokie59 	hrhaynes 	ajit1 	GlostrJohn 	2♥N-3 	300 	94.07% 	Movie or Lin 	 
10 	2020-09-18 14:21 	MalloryF 	pintocp 	roweiss 	marshap 	2♥N-3 	300 	94.07% 	Movie or Lin 	 
11 	2020-09-18 14:21 	chessgod_2 	bgturley 	Susan SG 	gallahtn 	4♠S-3 	300 	94.07% 	Movie or Lin 	 
12 	2020-09-18 14:23 	maui me 	adobescott 	belle jour 	nifty msk 	3♠S-3 	300 	94.07% 	Movie or Lin 	 
13 	2020-09-18 14:20 	bobade 	tadelman 	kevnmax 	Ellenlberk 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
14 	2020-09-18 14:20 	BEJOHNSON 	csalmon 	e_alex_ 	judean 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
15 	2020-09-18 14:19 	brisi153 	ddyan 	Noangel255 	henryk5 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
16 	2020-09-18 14:24 	anzohj 	bart3 	sabz 	Jeff Fran 	3♠S-2 	200 	77.97% 	Movie or Lin 	 
17 	2020-09-18 14:24 	obrucemsn 	denverbuck 	Arpinto 	carlota24 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
18 	2020-09-18 14:22 	bonniejane 	Mrn00 	ksolarz 	krupke32 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
19 	2020-09-18 14:24 	laverebish 	wabcpa 	allisonfr 	sinica23 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
20 	2020-09-18 14:22 	martin dav 	abudiran 	KarenA 	glen 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
21 	2020-09-18 14:24 	bobopg 	pernicar 	Nazin 	elmbridge2 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
22 	2020-09-18 14:24 	ghb1049 	madly45 	osman 1 	aud555 	3♠N-2 	200 	77.97% 	Movie or Lin 	 
23 	2020-09-18 14:22 	concierges 	keystoner2 	shaji 	howdot 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
24 	2020-09-18 14:24 	lvgopher 	lvrandy 	alfie 	dctmcd1 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
25 	2020-09-18 14:24 	AZLYNN 	carolannh 	mos72 	andyr4 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
26 	2020-09-18 14:22 	steliosk 	alikit 	erzsi99 	gudenuf 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
27 	2020-09-18 14:22 	mbilzin 	nora124 	sam0993 	vicfish 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
28 	2020-09-18 14:23 	ERTUMAYA 	PUG14810 	jgraymn 	bgraymn2 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
29 	2020-09-18 14:20 	42dtn 	nkl1234 	BFG 	tourneyjoe 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
30 	2020-09-18 14:20 	lulu109 	SherylSBBC 	trumpmaven 	wubbe2 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
31 	2020-09-18 14:23 	formerjr51 	formerjr 	klesliew 	batchish 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
32 	2020-09-18 14:21 	fizik41 	archin3531 	lindapie 	HeatherF56 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
33 	2020-09-18 14:23 	mills41 	champ10 	pastapan 	rakkss 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
34 	2020-09-18 14:23 	jadedeye 	Indy Ali 	aghcherryb 	mial2605 	3♠N-2 	200 	77.97% 	Movie or Lin 	 
35 	2020-09-18 14:23 	nkmicha 	bb2041 	acol1900 	shan1945 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
36 	2020-09-18 14:23 	tryentrump 	chefmaggie 	GDBraiser 	puppy3643 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
37 	2020-09-18 14:21 	mark garel 	Gail Model 	SML999 	kaye38 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
38 	2020-09-18 14:21 	silkyf 	bobbysgrl 	perakehans 	danjohan 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
39 	2020-09-18 14:21 	rachew 	mak11568 	caroleliss 	Magliocco 	2NN-2 	200 	77.97% 	Movie or Lin 	 
40 	2020-09-18 14:23 	rpver 	pmhbuller 	lia1995 	mkaleki 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
41 	2020-09-18 14:21 	kfkup 	Redfox 33 	ardeno 	Bijou5 	4♠S-2 	200 	77.97% 	Movie or Lin 	 
42 	2020-09-18 14:22 	27yvz 	MallaT 	jobengland 	tpsc 	3♦E+1 	130 	63.56% 	Movie or Lin 	 
43 	2020-09-18 14:21 	DARWZ 	marcie11 	benux55 	hippolyte 	4♦E= 	130 	63.56% 	Movie or Lin 	 
44 	2020-09-18 14:23 	JeanCW 	janewinsit 	corkkitty 	cesmith 	3♦E+1 	130 	63.56% 	Movie or Lin 	 
45 	2020-09-18 14:21 	BSheldon 	Paul_Sitz 	tslamt 	bxv 	3♦E+1 	130 	63.56% 	Movie or Lin 	 
46 	2020-09-18 14:23 	lbs50 	azpa 	b kaya 	suzye 	3♦E+1 	130 	63.56% 	Movie or Lin 	 
47 	2020-09-18 14:22 	PobreMigue 	Islandmomm 	quervoz 	fbates 	3♦E= 	110 	58.90% 	Movie or Lin 	 
48 	2020-09-18 14:22 	syedaijaz 	CathyAnn 	zitrus 	Ritapenney 	2♦E+1 	110 	58.90% 	Movie or Lin 	 
49 	2020-09-18 14:26 	jude_rr4 	Galaxy37 	88keysB 	GingerVero 	3♦E= 	110 	58.90% 	Movie or Lin 	 
50 	2020-09-18 14:23 	9hemlock 	colt22 	ddlion 	peristy 	3♦E= 	110 	58.90% 	Movie or Lin 	 
51 	2020-09-18 14:23 	acsbb 	JJ7789 	jbhunter54 	ajkajk 	3♦E= 	110 	58.90% 	Movie or Lin 	 
52 	2020-09-18 14:21 	Quietmike 	rgb1954 	shawn850 	ArmandGras 	2♦E+1 	110 	58.90% 	Movie or Lin 	 
53 	2020-09-18 14:23 	HHAub181 	Wild__West 	rgbodis 	flockam 	3♠S-1 	100 	43.22% 	Movie or Lin 	 
