

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819545 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:18 	ellenanten 	Caveman111 	san1jack 	debralee 	6♥xN-3 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-18 14:17 	fizik41 	archin3531 	lindapie 	HeatherF56 	7NS-6 	600 	99.15% 	Movie or Lin 	 
3 	2020-09-18 14:19 	HHAub181 	Wild__West 	rgbodis 	flockam 	4♠S-5 	500 	97.88% 	Movie or Lin 	 
4 	2020-09-18 14:18 	archiesdad 	jartex 	TyraMarie 	tanq_cowbo 	5♥xN-2 	500 	97.88% 	Movie or Lin 	 
5 	2020-09-18 14:19 	GP 59 	tasha5 	June1915 	carolkes 	6♥N-4 	400 	95.34% 	Movie or Lin 	 
6 	2020-09-18 14:20 	jbradley 	maggie405 	lisapom 	vkdatta1 	6♥N-4 	400 	95.34% 	Movie or Lin 	 
7 	2020-09-18 14:20 	molliemoo 	JPG1944 	miss al 	momwals 	6♥N-4 	400 	95.34% 	Movie or Lin 	 
8 	2020-09-18 14:18 	giulia03 	1feeling 	121442 	Adele46 	6♥N-4 	400 	95.34% 	Movie or Lin 	 
9 	2020-09-18 14:22 	jude_rr4 	Galaxy37 	88keysB 	GingerVero 	6NS-3 	300 	92.80% 	Movie or Lin 	 
10 	2020-09-18 14:18 	41115 	tnfarmer4 	BN64985 	ajax01 	6♥N-3 	300 	92.80% 	Movie or Lin 	 
11 	2020-09-18 14:17 	BSheldon 	Paul_Sitz 	tslamt 	bxv 	6♥xN-1 	200 	88.14% 	Movie or Lin 	 
12 	2020-09-18 14:17 	debking 	liuhvicky 	bertsure4 	drewme 	6♥N-2 	200 	88.14% 	Movie or Lin 	 
13 	2020-09-18 14:19 	bob katz 	smparnes 	karo1025 	susucamp 	6♥N-2 	200 	88.14% 	Movie or Lin 	 
14 	2020-09-18 14:19 	lblady1 	tasiusd 	kenya16 	janer22 	3NN-2 	200 	88.14% 	Movie or Lin 	 
15 	2020-09-18 14:19 	Migen 	jerzyna 	sholay 	Fermat11 	7♥N-2 	200 	88.14% 	Movie or Lin 	 
16 	2020-09-18 14:20 	mbilzin 	nora124 	sam0993 	vicfish 	6♥N-2 	200 	88.14% 	Movie or Lin 	 
17 	2020-09-18 14:21 	Trisport 	Daisy155 	trumpface 	Mistee 	6♥N-2 	200 	88.14% 	Movie or Lin 	 
18 	2020-09-18 14:18 	syedaijaz 	CathyAnn 	zitrus 	Ritapenney 	5♥xN-1 	200 	88.14% 	Movie or Lin 	 
19 	2020-09-18 14:18 	rewful 	LadyPatti 	mslair 	michaelair 	6♥N-2 	200 	88.14% 	Movie or Lin 	 
20 	2020-09-18 14:19 	steliosk 	alikit 	erzsi99 	gudenuf 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
21 	2020-09-18 14:17 	MalloryF 	pintocp 	roweiss 	marshap 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
22 	2020-09-18 14:19 	acsbb 	JJ7789 	jbhunter54 	ajkajk 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
23 	2020-09-18 14:18 	BethAnne 	rogerroba 	eddie fast 	putter11 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
24 	2020-09-18 14:19 	lbs50 	azpa 	b kaya 	suzye 	4♥N-1 	100 	80.08% 	Movie or Lin 	 
25 	2020-09-18 14:18 	pattyg11 	oranje23 	stay40 	hpesol 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
26 	2020-09-18 14:19 	rpver 	pmhbuller 	lia1995 	mkaleki 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
27 	2020-09-18 14:18 	addrass 	poquis 	luzya 	sasssa 	4♥N-1 	100 	80.08% 	Movie or Lin 	 
28 	2020-09-18 14:20 	obrucemsn 	denverbuck 	Arpinto 	carlota24 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
29 	2020-09-18 14:18 	martin dav 	abudiran 	KarenA 	glen 	6♥N-1 	100 	80.08% 	Movie or Lin 	 
30 	2020-09-18 14:17 	DARWZ 	marcie11 	benux55 	hippolyte 	3♦S+1 	-130 	75.42% 	Movie or Lin 	 
