

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819550 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:39 	catkoklc 	nelson5107 	glostrank 	mrstoe1 	3NxW+1 	950 	100.00% 	Movie or Lin 	 
2 	2020-09-18 14:41 	anzohj 	bart3 	lisapom 	vkdatta1 	3NW+3 	690 	98.68% 	Movie or Lin 	 
3 	2020-09-18 14:41 	ButtonsMom 	missycat 	mindyjogo 	natasha11 	3NW+3 	690 	98.68% 	Movie or Lin 	 
4 	2020-09-18 14:42 	ochristens 	clieff1 	b-stick 	expo4 	3NW+2 	660 	94.74% 	Movie or Lin 	 
5 	2020-09-18 14:42 	NanRaye 	gc0417 	maleman50 	Laspangle 	3NE+2 	660 	94.74% 	Movie or Lin 	 
6 	2020-09-18 14:41 	mark garel 	Gail Model 	allisonfr 	sinica23 	3NW+2 	660 	94.74% 	Movie or Lin 	 
7 	2020-09-18 14:41 	danr46 	marilynmc7 	atvguy 	lovecards 	3NW+2 	660 	94.74% 	Movie or Lin 	 
8 	2020-09-18 14:42 	Jeannow 	bobnbbase 	benux55 	hippolyte 	3NW+2 	660 	94.74% 	Movie or Lin 	 
9 	2020-09-18 14:39 	pattyg11 	oranje23 	Noangel255 	henryk5 	3NW+2 	660 	94.74% 	Movie or Lin 	 
10 	2020-09-18 14:42 	herbob 	youngsdj 	jbelur 	GregorJack 	3NW+2 	660 	94.74% 	Movie or Lin 	 
11 	2020-09-18 14:42 	PobreMigue 	Islandmomm 	mos72 	andyr4 	3NW+1 	630 	68.42% 	Movie or Lin 	 
12 	2020-09-18 14:39 	TDevine 	rwbjorge 	trumpmaven 	wubbe2 	3NW+1 	630 	68.42% 	Movie or Lin 	 
13 	2020-09-18 14:42 	zufong 	bettymelbo 	Rudiemac 	Burke8 	3NW+1 	630 	68.42% 	Movie or Lin 	 
14 	2020-09-18 14:42 	BEJOHNSON 	csalmon 	caroleliss 	Magliocco 	3NW+1 	630 	68.42% 	Movie or Lin 	 
15 	2020-09-18 14:40 	jadedeye 	Indy Ali 	lia1995 	mkaleki 	3NW+1 	630 	68.42% 	Movie or Lin 	 
16 	2020-09-18 14:40 	HHAub181 	Wild__West 	Arpinto 	carlota24 	3NW+1 	630 	68.42% 	Movie or Lin 	 
17 	2020-09-18 14:42 	ARBCBJ70 	ARBCMB70 	luzya 	sasssa 	3NW+1 	630 	68.42% 	Movie or Lin 	 
18 	2020-09-18 14:42 	Manuelajs 	madly45 	Adiek6858 	tap 42 	3NW+1 	630 	68.42% 	Movie or Lin 	 
19 	2020-09-18 14:42 	darwz 	marcie11 	roweiss 	marshap 	3NE+1 	630 	68.42% 	Movie or Lin 	 
20 	2020-09-18 14:40 	addrass 	poquis 	greyrabbit 	joecdhs 	3NW+1 	630 	68.42% 	Movie or Lin 	 
21 	2020-09-18 14:40 	Migen 	jerzyna 	jbhunter54 	ajkajk 	3NW+1 	630 	68.42% 	Movie or Lin 	 
