

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819547 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:28 	giulia03 	1feeling 	121442 	Adele46 	6♠S-1 	50 	99.57% 	Movie or Lin 	 
2 	2020-09-18 14:27 	leftyc 	haroldf 	obyrcope 	momdeeann 	6♠S-1 	50 	99.57% 	Movie or Lin 	 
3 	2020-09-18 14:27 	addrass 	poquis 	luzya 	sasssa 	3♠S+2 	-200 	98.29% 	Movie or Lin 	 
4 	2020-09-18 14:27 	jadedeye 	Indy Ali 	aghcherryb 	mial2605 	2NS+3 	-210 	97.44% 	Movie or Lin 	 
5 	2020-09-18 14:28 	mills41 	champ10 	pastapan 	rakkss 	4♠S= 	-420 	96.58% 	Movie or Lin 	 
6 	2020-09-18 14:27 	martin dav 	abudiran 	KarenA 	glen 	3NS+1 	-430 	95.30% 	Movie or Lin 	 
7 	2020-09-18 14:27 	irishg 	don350 	lady mom 	bram307 	3NS+1 	-430 	95.30% 	Movie or Lin 	 
8 	2020-09-18 14:26 	rpver 	pmhbuller 	lia1995 	mkaleki 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
9 	2020-09-18 14:28 	zufong 	bettymelbo 	cncaboose 	DrZed 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
10 	2020-09-18 14:28 	ButtonsMom 	missycat 	harvar5d 	mawmaw2013 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
11 	2020-09-18 14:26 	anonimatto 	ricoli 	bennix 	igorliv 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
12 	2020-09-18 14:26 	mark garel 	Gail Model 	SML999 	kaye38 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
13 	2020-09-18 14:26 	tryentrump 	chefmaggie 	GDBraiser 	puppy3643 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
14 	2020-09-18 14:26 	27yvz 	MallaT 	jobengland 	tpsc 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
15 	2020-09-18 14:28 	maui me 	adobescott 	belle jour 	nifty msk 	4♠N+1 	-450 	54.27% 	Movie or Lin 	 
16 	2020-09-18 14:26 	lindagu 	resbayes 	sap616 	pam2play 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
17 	2020-09-18 14:26 	steliosk 	alikit 	erzsi99 	gudenuf 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
18 	2020-09-18 14:28 	barrel25 	ginnyjane 	jogle 	kittydee 	4♠N+1 	-450 	54.27% 	Movie or Lin 	 
19 	2020-09-18 14:26 	brolin 	ceciliabid 	charness 	steveb3 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
20 	2020-09-18 14:28 	susano40 	fix_it 	playing42 	skiborder 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
21 	2020-09-18 14:28 	ochristens 	clieff1 	greyrabbit 	joecdhs 	4♠S+1 	-450 	54.27% 	Movie or Lin 	 
22 	2020-09-18 14:28 	Trisport 	Daisy155 	trumpface 	Mistee 	4♠N+1 	-450 	54.27% 	Movie or Lin 	 
