

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819551 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:47 	syedaijaz 	CathyAnn 	osman 1 	aud555 	4♥E= 	620 	99.58% 	Movie or Lin 	 
2 	2020-09-18 14:46 	catkoklc 	nelson5107 	csharf2040 	HowieC 	4♥E= 	620 	99.58% 	Movie or Lin 	 
3 	2020-09-18 14:46 	asqueeze 	smm20 	bennix 	igorliv 	3♦xS-2 	500 	97.88% 	Movie or Lin 	 
4 	2020-09-18 14:46 	bobopg 	pernicar 	lindapie 	HeatherF56 	2♣xS-2 	500 	97.88% 	Movie or Lin 	 
5 	2020-09-18 14:47 	PobreMigue 	Islandmomm 	iuirv 	Gracecha 	4♦S-4 	400 	96.61% 	Movie or Lin 	 
6 	2020-09-18 14:47 	ARBCBJ70 	ARBCMB70 	greyrabbit 	joecdhs 	2♠S-3 	300 	94.92% 	Movie or Lin 	 
7 	2020-09-18 14:47 	rickrock 	Flying8 	Nazin 	elmbridge2 	2♣N-3 	300 	94.92% 	Movie or Lin 	 
8 	2020-09-18 14:47 	BSheldon 	Paul_Sitz 	allisonfr 	sinica23 	3♦S-3 	300 	94.92% 	Movie or Lin 	 
9 	2020-09-18 14:46 	debking 	liuhvicky 	88keysB 	GingerVero 	3♦S-2 	200 	88.56% 	Movie or Lin 	 
10 	2020-09-18 14:46 	Mary-Lou 	jill777 	sabz 	Jeff Fran 	2♠S-2 	200 	88.56% 	Movie or Lin 	 
11 	2020-09-18 14:47 	emilbest 	1OldCrow 	lisapom 	vkdatta1 	2♦S-2 	200 	88.56% 	Movie or Lin 	 
12 	2020-09-18 14:47 	Trisport 	Daisy155 	ksolarz 	krupke32 	2♦S-2 	200 	88.56% 	Movie or Lin 	 
13 	2020-09-18 14:47 	DARWZ 	marcie11 	shawn850 	ArmandGras 	2♦S-2 	200 	88.56% 	Movie or Lin 	 
14 	2020-09-18 14:46 	mbilzin 	nora124 	atvguy 	lovecards 	3♦S-2 	200 	88.56% 	Movie or Lin 	 
15 	2020-09-18 14:47 	ochristens 	clieff1 	cncaboose 	DrZed 	2♦S-2 	200 	88.56% 	Movie or Lin 	 
16 	2020-09-18 14:47 	molliemoo 	JPG1944 	adiek6858 	tap 42 	3♦S-2 	200 	88.56% 	Movie or Lin 	 
17 	2020-09-18 14:47 	MK2483 	mtiques 	bridge bug 	nic813 	3♦S-2 	200 	88.56% 	Movie or Lin 	 
