

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819552 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:51 	syedaijaz 	CathyAnn 	osman 1 	aud555 	3NW+1 	430 	100.00% 	Movie or Lin 	 
2 	2020-09-18 14:50 	vkshah1941 	purnimasha 	lia1995 	mkaleki 	3NW= 	400 	97.88% 	Movie or Lin 	 
3 	2020-09-18 14:50 	archiesdad 	jartex 	ettyca 	GoodLuckAl 	3NW= 	400 	97.88% 	Movie or Lin 	 
4 	2020-09-18 14:50 	jude_rr4 	Galaxy37 	faydugas 	uli_staber 	3NW= 	400 	97.88% 	Movie or Lin 	 
5 	2020-09-18 14:52 	acsbb 	JJ7789 	NellBB 	00omega 	3NW= 	400 	97.88% 	Movie or Lin 	 
6 	2020-09-18 14:52 	giulia03 	1feeling 	tc93 	tdh_1944 	2NW+1 	150 	89.41% 	Movie or Lin 	 
7 	2020-09-18 14:50 	Trisport 	Daisy155 	ksolarz 	krupke32 	2NW+1 	150 	89.41% 	Movie or Lin 	 
8 	2020-09-18 14:53 	steliosk 	alikit 	jbhunter54 	ajkajk 	2NW+1 	150 	89.41% 	Movie or Lin 	 
9 	2020-09-18 14:55 	obrucemsn 	denverbuck 	esgkc 	bbuch41 	2NW+1 	150 	89.41% 	Movie or Lin 	 
10 	2020-09-18 14:51 	icemilk 	gunnarth 	jobengland 	tpsc 	2NW+1 	150 	89.41% 	Movie or Lin 	 
11 	2020-09-18 14:51 	ButtonsMom 	missycat 	perakehans 	danjohan 	2NW+1 	150 	89.41% 	Movie or Lin 	 
12 	2020-09-18 14:48 	concierges 	keystoner2 	elogg 	mrobichek 	2NW+1 	150 	89.41% 	Movie or Lin 	 
13 	2020-09-18 14:48 	any blue 	TonyTV1 	stay40 	hpesol 	2NW+1 	150 	89.41% 	Movie or Lin 	 
14 	2020-09-18 14:51 	rachew 	mak11568 	erzsi99 	gudenuf 	2NW+1 	150 	89.41% 	Movie or Lin 	 
15 	2020-09-18 14:49 	ppagrawal 	rosyagra 	lunab 	mickiemirk 	1NW+2 	150 	89.41% 	Movie or Lin 	 
16 	2020-09-18 14:51 	zinki 	nazirk 	corkkitty 	cesmith 	2NW+1 	150 	89.41% 	Movie or Lin 	 
17 	2020-09-18 14:52 	BSheldon 	Paul_Sitz 	allisonfr 	sinica23 	2NW+1 	150 	89.41% 	Movie or Lin 	 
18 	2020-09-18 14:50 	addrass 	poquis 	b-stick 	expo4 	2NW+1 	150 	89.41% 	Movie or Lin 	 
19 	2020-09-18 14:52 	Savvy3 	jenporte 	mslair 	michaelair 	2NW+1 	150 	89.41% 	Movie or Lin 	 
20 	2020-09-18 14:52 	vincent38 	funnyman 	shaji 	howdot 	2NW+1 	150 	89.41% 	Movie or Lin 	 
21 	2020-09-18 14:50 	rewful 	LadyPatti 	quervoz 	fbates 	1NW+2 	150 	89.41% 	Movie or Lin 	 
22 	2020-09-18 14:50 	bobopg 	pernicar 	lindapie 	HeatherF56 	1NW+1 	120 	65.68% 	Movie or Lin 	 
23 	2020-09-18 14:52 	maui me 	adobescott 	hoboken104 	margisell 	2NW= 	120 	65.68% 	Movie or Lin 	 
24 	2020-09-18 14:52 	mark garel 	Gail Model 	wrOOster1 	avisr 	2NW= 	120 	65.68% 	Movie or Lin 	 
25 	2020-09-18 14:50 	27yvz 	MallaT 	ardeno 	Bijou5 	2NW= 	120 	65.68% 	Movie or Lin 	 
26 	2020-09-18 14:50 	BEJOHNSON 	csalmon 	carnadian 	stu_124 	2NW= 	120 	65.68% 	Movie or Lin 	 
27 	2020-09-18 14:50 	oktaygecit 	ojkusc 	Arpinto 	carlota24 	2NW= 	120 	65.68% 	Movie or Lin 	 
28 	2020-09-18 14:53 	NanRaye 	gc0417 	luzya 	sasssa 	2NW= 	120 	65.68% 	Movie or Lin 	 
29 	2020-09-18 14:50 	barrel25 	ginnyjane 	maleman50 	Laspangle 	2NW= 	120 	65.68% 	Movie or Lin 	 
