

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 34993-1600462800-819549 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#34993 Pairs ACBL Fri 5pm Speedball 	107/238 	0.18 	51.01% 	 
1 	2020-09-18 14:35 	vmandell 	delwest1 	Janetmdb 	butcher77 	1NS-2 	100 	98.31% 	Movie or Lin 	 
2 	2020-09-18 14:38 	Quietmike 	rgb1954 	playing42 	skiborder 	2♦S-2 	100 	98.31% 	Movie or Lin 	 
3 	2020-09-18 14:38 	syedaijaz 	CathyAnn 	miss al 	momwals 	2NN-2 	100 	98.31% 	Movie or Lin 	 
4 	2020-09-18 14:39 	ZUFONG 	bettymelbo 	Rudiemac 	Burke8 	2♦S-2 	100 	98.31% 	Movie or Lin 	 
5 	2020-09-18 14:37 	danr46 	marilynmc7 	atvguy 	lovecards 	2NN-2 	100 	98.31% 	Movie or Lin 	 
6 	2020-09-18 14:38 	nkmicha 	bb2041 	quervoz 	fbates 	1NE= 	90 	95.76% 	Movie or Lin 	 
7 	2020-09-18 14:37 	lblady1 	tasiusd 	tc93 	tdh_1944 	2♣S-1 	50 	88.14% 	Movie or Lin 	 
8 	2020-09-18 14:37 	Mary-Lou 	jill777 	amyg24 	feleap 	1NS-1 	50 	88.14% 	Movie or Lin 	 
9 	2020-09-18 14:38 	1YIKAR 	shelbina34 	RNAIRN 	lizbridg 	2NN-1 	50 	88.14% 	Movie or Lin 	 
10 	2020-09-18 14:38 	steliosk 	alikit 	sholay 	Fermat11 	2♣S-1 	50 	88.14% 	Movie or Lin 	 
11 	2020-09-18 14:38 	oktaygecit 	ojkusc 	rgbodis 	flockam 	2♦S-1 	50 	88.14% 	Movie or Lin 	 
12 	2020-09-18 14:38 	Jeannow 	bobnbbase 	benux55 	hippolyte 	2♠N-1 	50 	88.14% 	Movie or Lin 	 
13 	2020-09-18 14:36 	jude_rr4 	Galaxy37 	casealex 	jpsdo 	1NS-1 	50 	88.14% 	Movie or Lin 	 
14 	2020-09-18 14:38 	vincent38 	funnyman 	Nazin 	elmbridge2 	3NS-1 	50 	88.14% 	Movie or Lin 	 
15 	2020-09-18 14:39 	41115 	tnfarmer4 	charness 	steveb3 	2NS-1 	50 	88.14% 	Movie or Lin 	 
16 	2020-09-18 14:36 	chessgod_2 	bgturley 	apisces 	linamj 	2♣S-1 	50 	88.14% 	Movie or Lin 	 
17 	2020-09-18 14:39 	maui me 	adobescott 	BFG 	tourneyjoe 	3NS-1 	50 	88.14% 	Movie or Lin 	 
18 	2020-09-18 14:39 	BEJOHNSON 	csalmon 	caroleliss 	Magliocco 	2NS-1 	50 	88.14% 	Movie or Lin 	 
19 	2020-09-18 14:39 	ochristens 	clieff1 	b-stick 	expo4 	1NS-1 	50 	88.14% 	Movie or Lin 	 
20 	2020-09-18 14:40 	JeanCW 	janewinsit 	e_alex_ 	judean 	2NS-1 	50 	88.14% 	Movie or Lin 	 
21 	2020-09-18 14:34 	jcpool 	jwstprof 	kevnmax 	Ellenlberk 	3♣S-1 	50 	88.14% 	Movie or Lin 	 
22 	2020-09-18 14:37 	mark garel 	Gail Model 	allisonfr 	sinica23 	1NS-1 	50 	88.14% 	Movie or Lin 	 
23 	2020-09-18 14:37 	1303abrd 	Ralph62 	BN64985 	ajax01 	2♣S-1 	50 	88.14% 	Movie or Lin 	 
24 	2020-09-18 14:33 	andy3625 	needtricks 	jojo1112 	goldieoldi 	PASS 	0 	79.24% 	Movie or Lin 	 
25 	2020-09-18 14:32 	BethAnne 	rogerroba 	BuRMiNa 	Surfer125 	PASS 	0 	79.24% 	Movie or Lin 	 
26 	2020-09-18 14:32 	bob katz 	smparnes 	jobengland 	tpsc 	PASS 	0 	79.24% 	Movie or Lin 	 
27 	2020-09-18 14:32 	mills41 	champ10 	jasminb4 	Mickeyb1 	PASS 	0 	79.24% 	Movie or Lin 	 
28 	2020-09-18 14:36 	irishg 	don350 	ardeno 	Bijou5 	2♥E-1 	-50 	76.69% 	Movie or Lin 	 
29 	2020-09-18 14:35 	rachew 	mak11568 	carnadian 	stu_124 	1NE-1 	-50 	76.69% 	Movie or Lin 	 
30 	2020-09-18 14:37 	ButtonsMom 	missycat 	mindyjogo 	natasha11 	1NS= 	-90 	69.07% 	Movie or Lin 	 
