

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933598 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:37 	bridget111 	spanisheye 	jillian 	handydell 	2♥xxE-4 	1600 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:36 	ksturnip 	mlbarton 	brisi153 	ddyan 	2♠xW-6 	1400 	99.24% 	Movie or Lin 	 
3 	2020-09-17 14:36 	bobade 	tadelman 	APO42 	jsh80 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
4 	2020-09-17 14:36 	BBP 	fireitup 	dwheels 	estaban 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
5 	2020-09-17 14:36 	BSheldon 	Paul_Sitz 	czweig 	sb18 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
6 	2020-09-17 14:38 	susucamp 	karo1025 	morriswi01 	marybray 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
7 	2020-09-17 14:37 	ilane 	TAURUS514 	CPAMAN 	Stoney3030 	3♣xW-5 	1100 	95.83% 	Movie or Lin 	 
8 	2020-09-17 14:35 	Noangel255 	henryk5 	Mickeyb1 	LuckyC1544 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
9 	2020-09-17 14:37 	arnedanske 	harmann8 	corkkitty 	cesmith 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
10 	2020-09-17 14:35 	loy3 	Marsaka 	myrmil 	ZnHWu 	2♥xE-5 	1100 	95.83% 	Movie or Lin 	 
11 	2020-09-17 14:37 	0      AKQ 	wafa2 	oledaj 	2sleepless 	6♠S= 	980 	91.67% 	Movie or Lin 	 
12 	2020-09-17 14:38 	katewoot 	K1w1 	cuddleyjd 	lvand14 	6♠N= 	980 	91.67% 	Movie or Lin 	 
13 	2020-09-17 14:37 	megmarsh 	dem1219 	jellyjam1 	Ellenlberk 	6♠S= 	980 	91.67% 	Movie or Lin 	 
14 	2020-09-17 14:37 	mizmeck 	shaji 	donnabrink 	lwmiller45 	2♥xE-4 	800 	88.64% 	Movie or Lin 	 
15 	2020-09-17 14:36 	tikkun 	Littlecm34 	Evabarry 	bevlitsky1 	2♥xE-4 	800 	88.64% 	Movie or Lin 	 
16 	2020-09-17 14:38 	mariana2 	olguinha 	dottiereid 	BobBauman1 	1♥xE-4 	800 	88.64% 	Movie or Lin 	 
17 	2020-09-17 14:33 	maidl 	tom45 	anncal 	bxv 	2♥xE-4 	800 	88.64% 	Movie or Lin 	 
18 	2020-09-17 14:35 	cncaboose 	DrZed 	E11 	laurgreen 	2♥xE-4 	800 	88.64% 	Movie or Lin 	 
19 	2020-09-17 14:35 	hile 	normw 	alex63 	niksu 	4♠xN= 	590 	86.36% 	Movie or Lin 	 
20 	2020-09-17 14:39 	joynbridge 	johnpw 	Pattigf 	sarashep 	3NN+3 	490 	85.61% 	Movie or Lin 	 
21 	2020-09-17 14:37 	Heidibam1 	ehy 	twilson28 	mrkopan 	4♠N+2 	480 	83.71% 	Movie or Lin 	 
22 	2020-09-17 14:36 	ceeski3 	jujuf1 	b-stick 	expo4 	4♠N+2 	480 	83.71% 	Movie or Lin 	 
23 	2020-09-17 14:37 	pikaluck 	kawauso 	akdo 	nkl1234 	4♠N+2 	480 	83.71% 	Movie or Lin 	 
24 	2020-09-17 14:37 	SarahCTP 	JoyBak 	aarons 	mcn 	4♠N+2 	480 	83.71% 	Movie or Lin 	 
25 	2020-09-17 14:36 	NellBB 	thankup123 	Mlemmond12 	gailseale 	3NN+2 	460 	73.86% 	Movie or Lin 	 
26 	2020-09-17 14:36 	concierges 	keystoner2 	challer 	lba1116 	3NS+2 	460 	73.86% 	Movie or Lin 	 
27 	2020-09-17 14:36 	phil 	karenemcd 	giulib 	jarsstep 	4NN+1 	460 	73.86% 	Movie or Lin 	 
28 	2020-09-17 14:38 	Mark1110 	milberger 	barni9 	456no 	3NN+2 	460 	73.86% 	Movie or Lin 	 
29 	2020-09-17 14:38 	ksolarz 	RNAIRN 	herbob 	youngsdj 	3NN+2 	460 	73.86% 	Movie or Lin 	 
30 	2020-09-17 14:36 	Tipu 	anis1971 	oktaygecit 	ojkusc 	3NN+2 	460 	73.86% 	Movie or Lin 	 
31 	2020-09-17 14:38 	emilyseide 	Sheleb 	hidden32 	Garrison L 	3NN+2 	460 	73.86% 	Movie or Lin 	 
32 	2020-09-17 14:37 	love trips 	ricker 	sha1 	eliran_a 	3NN+2 	460 	73.86% 	Movie or Lin 	 
33 	2020-09-17 14:34 	Ivanone 	domidomi 	clyphy 	davidshea5 	3NN+2 	460 	73.86% 	Movie or Lin 	 
34 	2020-09-17 14:39 	Parsley196 	lynn381 	charness 	steveb3 	3NN+2 	460 	73.86% 	Movie or Lin 	 
35 	2020-09-17 14:34 	kobenz 	sarahtwh 	mcohen44 	rps123456 	3NN+2 	460 	73.86% 	Movie or Lin 	 
36 	2020-09-17 14:34 	maggiva1 	hazzi1 	bunnu440 	lynal 	3NN+2 	460 	73.86% 	Movie or Lin 	 
37 	2020-09-17 14:35 	camura 	jan0107 	Ellensblum 	LPHOlli 	3NN+2 	460 	73.86% 	Movie or Lin 	 
38 	2020-09-17 14:37 	Karenann 	JulyDiana 	Macsky1 	richa 	3NN+2 	460 	73.86% 	Movie or Lin 	 
39 	2020-09-17 14:37 	gbgreyfox 	drreb 	dickweth2 	vance272 	4NN+1 	460 	73.86% 	Movie or Lin 	 
40 	2020-09-17 14:37 	Mikia 	ssyc1938 	sheilakrip 	mafat5 	3NN+2 	460 	73.86% 	Movie or Lin 	 
41 	2020-09-17 14:35 	vmandell 	k1u2ssin 	golden one 	ddpetunia 	3NN+2 	460 	73.86% 	Movie or Lin 	 
42 	2020-09-17 14:35 	lenbev 	joaniejfk 	tasha5 	irishg 	3NN+2 	460 	73.86% 	Movie or Lin 	 
43 	2020-09-17 14:37 	kdavis541 	juulsj10 	teslalover 	Rawfood 	3NN+2 	460 	73.86% 	Movie or Lin 	 
44 	2020-09-17 14:35 	fizik41 	archin3531 	kashbyaz45 	anitamac 	3NN+2 	460 	73.86% 	Movie or Lin 	 
45 	2020-09-17 14:35 	herbertbeh 	pepper1111 	phylmor 	MMMor 	3NN+2 	460 	73.86% 	Movie or Lin 	 
46 	2020-09-17 14:37 	giulia03 	1feeling 	elli30 	indarjit 	3NS+2 	460 	73.86% 	Movie or Lin 	 
47 	2020-09-17 14:37 	Estymn 	ruthbridge 	mszorro 	Katrink11 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
48 	2020-09-17 14:37 	karenfrank 	escho 	lblady1 	tasiusd 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
49 	2020-09-17 14:37 	kirby2 	jaydeb 	MarithaP 	skipbid 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
50 	2020-09-17 14:36 	azlinda 	jg48 	hagster64 	rovill 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
51 	2020-09-17 14:36 	gulfet 	fluffytris 	grambarb 	cloudy1 	4♥N+1 	450 	54.17% 	Movie or Lin 	 
52 	2020-09-17 14:38 	rickrock 	Flying8 	gravescs 	graveswg 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
53 	2020-09-17 14:36 	faykarl 	sabz 	bong123 	wmer30 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
54 	2020-09-17 14:38 	huacong 	docjmc64 	martin dav 	abudiran 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
55 	2020-09-17 14:38 	1niceguy2 	ladymd 	kdeutch 	ShriJ 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
56 	2020-09-17 14:36 	lindapie 	hazels3 	bennix 	igorliv 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
57 	2020-09-17 14:36 	carnadian 	bronco57 	doc k 	Kailey 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
58 	2020-09-17 14:36 	sinica23 	allisonfr 	moisheh 	marvana2 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
59 	2020-09-17 14:36 	loveable 	swak70 	ButtonsMom 	KLPbridge 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
60 	2020-09-17 14:38 	eileneg 	biddingeln 	headlv 	kwbridge 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
61 	2020-09-17 14:36 	tiji 	asb10 	AZCJW 	Cbinaz 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
62 	2020-09-17 14:39 	KarenA 	glen 	lvgopher 	lvrandy 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
63 	2020-09-17 14:39 	rakkss 	bottodue 	honeypes 	maui me 	4♠S+1 	450 	54.17% 	Movie or Lin 	 
64 	2020-09-17 14:36 	spammy 	LH2650 	Ashmore 	Kritter2 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
65 	2020-09-17 14:39 	elan5 	BocaBarbar 	Arlene Gre 	PatBerg 	4♠S+1 	450 	54.17% 	Movie or Lin 	 
66 	2020-09-17 14:40 	mpeach4 	auntalicef 	par90 	airani1 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
67 	2020-09-17 14:39 	barbaram16 	MichellyW 	melt_1010 	Sleepless2 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
68 	2020-09-17 14:37 	3holen 	a26foley 	lumbeer 	thorn11 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
69 	2020-09-17 14:35 	trumpmaven 	wubbe2 	frankf1 	Ashokw 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
70 	2020-09-17 14:37 	jillie730 	jack2211 	zmanmom 	p450guy 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
71 	2020-09-17 14:37 	ringroad_ 	Landasc 	Judy6 	schmoo 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
72 	2020-09-17 14:35 	ladydi1127 	LordMayo 	acsbb 	JJ7789 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
73 	2020-09-17 14:35 	Quietmike 	Poaannua 	kctory 	LusbyBob 	4♠N+1 	450 	54.17% 	Movie or Lin 	 
