

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933599 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:40 	tedperk 	315Bridge 	anil805 	flower805 	4♦W-3 	300 	99.61% 	Movie or Lin 	 
2 	2020-09-17 14:42 	Karenfrank 	escho 	lblady1 	tasiusd 	5♦W-3 	300 	99.61% 	Movie or Lin 	 
3 	2020-09-17 14:41 	ernabailey 	rakmup 	ellenanten 	Caveman111 	4♦W-2 	200 	97.29% 	Movie or Lin 	 
4 	2020-09-17 14:42 	huacong 	docjmc64 	martin dav 	abudiran 	4♥E-2 	200 	97.29% 	Movie or Lin 	 
5 	2020-09-17 14:42 	plantlady2 	nifty msk 	guymath 	peeper guy 	5♦W-2 	200 	97.29% 	Movie or Lin 	 
6 	2020-09-17 14:42 	ghb1049 	levih 	maurice 	Galaxy37 	4♥W-2 	200 	97.29% 	Movie or Lin 	 
7 	2020-09-17 14:41 	Mark1110 	milberger 	barni9 	456no 	3♠N= 	140 	95.35% 	Movie or Lin 	 
8 	2020-09-17 14:39 	mrobichek 	elogg 	nak410s 	bmayer09 	5♥E-1 	100 	88.76% 	Movie or Lin 	 
9 	2020-09-17 14:39 	maidl 	tom45 	anncal 	bxv 	4♦W-1 	100 	88.76% 	Movie or Lin 	 
10 	2020-09-17 14:39 	Noangel255 	henryk5 	Mickeyb1 	LuckyC1544 	4♦W-1 	100 	88.76% 	Movie or Lin 	 
11 	2020-09-17 14:40 	BBP 	fireitup 	dwheels 	estaban 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
12 	2020-09-17 14:40 	spammy 	LH2650 	Ashmore 	Kritter2 	4♥W-1 	100 	88.76% 	Movie or Lin 	 
13 	2020-09-17 14:42 	Connie1024 	perch3 	GDBraiser 	puppy3643 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
14 	2020-09-17 14:42 	pikaluck 	kawauso 	akdo 	nkl1234 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
15 	2020-09-17 14:40 	lana4 	norat101 	CathyAnn 	syedaijaz 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
16 	2020-09-17 14:42 	hanover194 	skokiegirl 	NanRaye 	gc0417 	5♥E-1 	100 	88.76% 	Movie or Lin 	 
17 	2020-09-17 14:40 	carolkes 	June1915 	powerpoint 	nomyzs 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
18 	2020-09-17 14:40 	e_alex_ 	judean 	agfolkman 	sooy 	4♦W-1 	100 	88.76% 	Movie or Lin 	 
19 	2020-09-17 14:42 	barbaram16 	MichellyW 	Melt_1010 	Sleepless2 	5♥W-1 	100 	88.76% 	Movie or Lin 	 
20 	2020-09-17 14:42 	mariana2 	olguinha 	dottiereid 	BobBauman1 	4♦W-1 	100 	88.76% 	Movie or Lin 	 
21 	2020-09-17 14:40 	shirleya24 	ceacer 	ninatas 	dano44 	4♥E-1 	100 	88.76% 	Movie or Lin 	 
22 	2020-09-17 14:42 	elan5 	BocaBarbar 	Arlene Gre 	PatBerg 	5♥W-1 	100 	88.76% 	Movie or Lin 	 
23 	2020-09-17 14:42 	wonton 	lgsett 	Susan SG 	gallahtn 	5♥E-1 	100 	88.76% 	Movie or Lin 	 
24 	2020-09-17 14:42 	douglasgma 	jill777 	wct1313 	BlairGlen 	1♠N= 	80 	82.17% 	Movie or Lin 	 
25 	2020-09-17 14:38 	katapulta 	Gabzp 	joots 	faydugas 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
26 	2020-09-17 14:38 	fizik41 	archin3531 	kashbyaz45 	anitamac 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
27 	2020-09-17 14:39 	sweber1223 	Rikke S 	Pam L 	TToes 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
28 	2020-09-17 14:42 	mizmeck 	shaji 	donnabrink 	lwmiller45 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
29 	2020-09-17 14:40 	elyseb 	Srogol417 	brblol 	ardeno 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
30 	2020-09-17 14:40 	gulfet 	fluffytris 	grambarb 	cloudy1 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
31 	2020-09-17 14:42 	rickrock 	Flying8 	gravescs 	graveswg 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
32 	2020-09-17 14:40 	kittydee 	jogle 	dgrabel 	njforever 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
33 	2020-09-17 14:40 	3holen 	a26foley 	lumbeer 	thorn11 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
34 	2020-09-17 14:40 	BSheldon 	Paul_Sitz 	czweig 	sb18 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
35 	2020-09-17 14:38 	mindyjogo 	harpy1944 	okvince 	lnitabach 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
36 	2020-09-17 14:41 	ajax01 	jes33033 	lindyjoan 	plate8 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
37 	2020-09-17 14:36 	Ivanone 	domidomi 	clyphy 	davidshea5 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
38 	2020-09-17 14:37 	kobenz 	sarahtwh 	mcohen44 	rps123456 	3♠N-1 	-50 	76.36% 	Movie or Lin 	 
39 	2020-09-17 14:41 	banewman 	prfelsner 	laser12 	Redlipstic 	4♠N-2 	-100 	53.88% 	Movie or Lin 	 
40 	2020-09-17 14:41 	jojo1112 	jomur1 	sammaitar 	shyamalend 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
41 	2020-09-17 14:41 	susucamp 	karo1025 	morriswi01 	marybray 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
42 	2020-09-17 14:38 	cncaboose 	DrZed 	E11 	laurgreen 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
43 	2020-09-17 14:39 	carnadian 	bronco57 	doc k 	Kailey 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
44 	2020-09-17 14:41 	0      AKQ 	wafa2 	oledaj 	2sleepless 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
45 	2020-09-17 14:41 	1niceguy2 	ladymd 	kdeutch 	ShriJ 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
46 	2020-09-17 14:39 	JudeBoard 	morganford 	rrlass 	ZITS 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
47 	2020-09-17 14:41 	Estymn 	ruthbridge 	mszorro 	Katrink11 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
48 	2020-09-17 14:39 	nan9586 	monapk 	pill43 	Bijou5 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
49 	2020-09-17 14:41 	kirby2 	jaydeb 	MarithaP 	skipbid 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
50 	2020-09-17 14:42 	Heidibam1 	ehy 	twilson28 	mrkopan 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
51 	2020-09-17 14:40 	rachew 	mak11568 	sonja721 	blachowski 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
52 	2020-09-17 14:39 	lindapie 	hazels3 	bennix 	igorliv 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
53 	2020-09-17 14:40 	ilane 	TAURUS514 	CPAMAN 	Stoney3030 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
54 	2020-09-17 14:42 	belle jour 	BayDilly43 	ddlion 	priyank4 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
55 	2020-09-17 14:40 	tiji 	asb10 	AZCJW 	Cbinaz 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
56 	2020-09-17 14:42 	patmcelhin 	tonioviatt 	bbbarb43 	Maggie444 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
57 	2020-09-17 14:42 	ksolarz 	RNAIRN 	herbob 	youngsdj 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
58 	2020-09-17 14:42 	shodes1225 	bama1946 	b kaya 	suzye 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
59 	2020-09-17 14:40 	herbertbeh 	pepper1111 	phylmor 	MMMor 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
60 	2020-09-17 14:42 	joynbridge 	johnpw 	Pattigf 	sarashep 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
61 	2020-09-17 14:40 	margisell 	bertsure4 	pvkhol 	peristy 	4♠N-2 	-100 	53.88% 	Movie or Lin 	 
62 	2020-09-17 14:40 	sil4 	megleren 	Jeantennis 	pattigolf 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
