

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933592 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:09 	NellBB 	thankup123 	barni9 	456no 	3NS= 	600 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:09 	emilyseide 	Sheleb 	pvkhol 	peristy 	3♥xW-3 	500 	98.86% 	Movie or Lin 	 
3 	2020-09-17 14:08 	Tipu 	anis1971 	honeypes 	maui me 	1NxE-3 	500 	98.86% 	Movie or Lin 	 
4 	2020-09-17 14:08 	Ivanone 	domidomi 	oktaygecit 	ojkusc 	2♥xE-2 	300 	97.35% 	Movie or Lin 	 
5 	2020-09-17 14:13 	fernie47 	susehrl 	hidden32 	Garrison L 	2♥xE-2 	300 	97.35% 	Movie or Lin 	 
6 	2020-09-17 14:10 	shodes1225 	bama1946 	Macsky1 	richa 	3♠E-5 	250 	96.21% 	Movie or Lin 	 
7 	2020-09-17 14:06 	Noangel255 	henryk5 	BFG 	trump card 	1NS+3 	180 	95.45% 	Movie or Lin 	 
8 	2020-09-17 14:07 	RMF1939 	champ10 	Ashmore 	Kritter2 	1NS+2 	150 	92.42% 	Movie or Lin 	 
9 	2020-09-17 14:07 	mizmeck 	shaji 	eagles123 	dellabuckl 	3♦S+2 	150 	92.42% 	Movie or Lin 	 
10 	2020-09-17 14:10 	BBP 	fireitup 	tennhill 	vivskm 	3♥E-3 	150 	92.42% 	Movie or Lin 	 
11 	2020-09-17 14:14 	sami222 	pinebluff 	lumbeer 	thorn11 	4♥W-3 	150 	92.42% 	Movie or Lin 	 
12 	2020-09-17 14:11 	joynbridge 	johnpw 	ButtonsMom 	KLPbridge 	3♥E-3 	150 	92.42% 	Movie or Lin 	 
