

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933593 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:14 	spot card 	dckelley 	Ninatas 	dano44 	3NS= 	400 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:14 	yolandac 	shotzy7 	wct1313 	BlairGlen 	2NS+1 	150 	98.37% 	Movie or Lin 	 
3 	2020-09-17 14:12 	Ladygirl 	dobbinaz 	bbbarb43 	Maggie444 	2NS+1 	150 	98.37% 	Movie or Lin 	 
4 	2020-09-17 14:12 	bridget111 	spanisheye 	yayaby 	iredouble 	1NS+2 	150 	98.37% 	Movie or Lin 	 
5 	2020-09-17 14:14 	carnadian 	bronco57 	zmanmom 	p450guy 	2♠N+1 	140 	95.93% 	Movie or Lin 	 
6 	2020-09-17 14:12 	cncaboose 	DrZed 	kctory 	LusbyBob 	1♠N+2 	140 	95.93% 	Movie or Lin 	 
7 	2020-09-17 14:12 	Mary-Lou 	pranlet 	mszorro 	Katrink11 	1♦xS= 	140 	95.93% 	Movie or Lin 	 
8 	2020-09-17 14:14 	ksolarz 	RNAIRN 	Arlene Gre 	PatBerg 	2NS= 	120 	90.65% 	Movie or Lin 	 
9 	2020-09-17 14:13 	Mikia 	ssyc1938 	marcia24 	atarte 	2NS= 	120 	90.65% 	Movie or Lin 	 
10 	2020-09-17 14:13 	plantlady2 	nifty msk 	Ellensblum 	LPHOlli 	1NS+1 	120 	90.65% 	Movie or Lin 	 
11 	2020-09-17 14:14 	douglasgma 	jill777 	knovicoff 	bbuch41 	2NS= 	120 	90.65% 	Movie or Lin 	 
12 	2020-09-17 14:14 	Karenann 	JulyDiana 	lblady1 	tasiusd 	2NS= 	120 	90.65% 	Movie or Lin 	 
13 	2020-09-17 14:13 	kirby2 	jaydeb 	doc k 	Kailey 	2NS= 	120 	90.65% 	Movie or Lin 	 
14 	2020-09-17 14:14 	wonton 	lgsett 	brblol 	ardeno 	2NS= 	120 	90.65% 	Movie or Lin 	 
15 	2020-09-17 14:13 	faykarl 	sabz 	martylrob 	DMR1 	2NS= 	120 	90.65% 	Movie or Lin 	 
16 	2020-09-17 14:14 	maryb4921 	elaine1624 	MarithaP 	skipbid 	2NS= 	120 	90.65% 	Movie or Lin 	 
17 	2020-09-17 14:14 	BBP 	fireitup 	tennhill 	vivskm 	2NS= 	120 	90.65% 	Movie or Lin 	 
18 	2020-09-17 14:14 	gbgreyfox 	drreb 	herbob 	youngsdj 	2♠N= 	110 	78.46% 	Movie or Lin 	 
19 	2020-09-17 14:14 	rakkss 	bottodue 	delsouljc 	drewme 	2♠N= 	110 	78.46% 	Movie or Lin 	 
20 	2020-09-17 14:13 	arnedanske 	harmann8 	sonja721 	blachowski 	2♠N= 	110 	78.46% 	Movie or Lin 	 
21 	2020-09-17 14:14 	joynbridge 	johnpw 	ButtonsMom 	KLPbridge 	2♠N= 	110 	78.46% 	Movie or Lin 	 
22 	2020-09-17 14:13 	huacong 	docjmc64 	bong123 	wmer30 	2♠S= 	110 	78.46% 	Movie or Lin 	 
23 	2020-09-17 14:13 	vmandell 	k1u2ssin 	rrlass 	ZITS 	1♠S+1 	110 	78.46% 	Movie or Lin 	 
24 	2020-09-17 14:14 	Connie1024 	perch3 	alex2511 	Parish8836 	2♠N= 	110 	78.46% 	Movie or Lin 	 
25 	2020-09-17 14:14 	1niceguy2 	ladymd 	APO42 	jsh80 	1♠S+1 	110 	78.46% 	Movie or Lin 	 
26 	2020-09-17 14:14 	bobade 	tadelman 	E11 	laurgreen 	2♠N= 	110 	78.46% 	Movie or Lin 	 
