

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933600 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:47 	nan9586 	monapk 	elli30 	indarjit 	5♣W-4 	400 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:47 	herbertbeh 	pepper1111 	barni9 	456no 	3NE-3 	300 	98.86% 	Movie or Lin 	 
3 	2020-09-17 14:47 	phil 	karenemcd 	bbbarb43 	Maggie444 	3NE-3 	300 	98.86% 	Movie or Lin 	 
4 	2020-09-17 14:47 	Joephill 	ELIZKROS 	frankf1 	Ashokw 	2♣W-2 	200 	95.83% 	Movie or Lin 	 
5 	2020-09-17 14:46 	arnedanske 	harmann8 	sheilakrip 	mafat5 	2NE-2 	200 	95.83% 	Movie or Lin 	 
6 	2020-09-17 14:46 	kdavis541 	juulsj10 	kdeutch 	ShriJ 	3♣E-2 	200 	95.83% 	Movie or Lin 	 
7 	2020-09-17 14:45 	Quietmike 	Poaannua 	bunnu440 	lynal 	3♦E-2 	200 	95.83% 	Movie or Lin 	 
8 	2020-09-17 14:46 	ajax01 	jes33033 	aarons 	mcn 	3♣E-2 	200 	95.83% 	Movie or Lin 	 
9 	2020-09-17 14:47 	margisell 	bertsure4 	morriswi01 	marybray 	3♣E-2 	200 	95.83% 	Movie or Lin 	 
10 	2020-09-17 14:46 	camura 	jan0107 	rrlass 	ZITS 	1NN+2 	150 	92.05% 	Movie or Lin 	 
11 	2020-09-17 14:46 	luckysue 	jlwins 	honeypes 	maui me 	1NN+2 	150 	92.05% 	Movie or Lin 	 
12 	2020-09-17 14:47 	lana4 	norat101 	lblady1 	tasiusd 	1NN+2 	150 	92.05% 	Movie or Lin 	 
13 	2020-09-17 14:46 	sinica23 	allisonfr 	bibilaura 	MAGU 2 	1NN+2 	150 	92.05% 	Movie or Lin 	 
14 	2020-09-17 14:47 	gsada 	tvdinner 	Ashmore 	Kritter2 	1NS+1 	120 	84.09% 	Movie or Lin 	 
15 	2020-09-17 14:46 	rickrock 	Flying8 	Ellensblum 	LPHOlli 	1NN+1 	120 	84.09% 	Movie or Lin 	 
16 	2020-09-17 14:47 	mariana2 	olguinha 	agfolkman 	sooy 	2NN= 	120 	84.09% 	Movie or Lin 	 
17 	2020-09-17 14:47 	amber_rain 	us555 	jpsdo 	Kangahiker 	1NN+1 	120 	84.09% 	Movie or Lin 	 
18 	2020-09-17 14:47 	kobenz 	sarahtwh 	brisi153 	ddyan 	2NN= 	120 	84.09% 	Movie or Lin 	 
19 	2020-09-17 14:47 	jbhunter54 	ajkajk 	chy5200 	seadogfla 	2NN= 	120 	84.09% 	Movie or Lin 	 
20 	2020-09-17 14:48 	barbaram16 	MichellyW 	mandril 	kosticevaa 	1NN+1 	120 	84.09% 	Movie or Lin 	 
21 	2020-09-17 14:47 	any blue 	TonyTV1 	bruss2 	loritap 	1NN+1 	120 	84.09% 	Movie or Lin 	 
22 	2020-09-17 14:48 	jillie730 	jack2211 	martylrob 	DMR1 	1NN+1 	120 	84.09% 	Movie or Lin 	 
23 	2020-09-17 14:47 	gulfet 	fluffytris 	dottiereid 	BobBauman1 	1NN+1 	120 	84.09% 	Movie or Lin 	 
24 	2020-09-17 14:48 	Mark1110 	milberger 	diana lynn 	jondrobuli 	2NN= 	120 	84.09% 	Movie or Lin 	 
25 	2020-09-17 14:47 	douglasgma 	jill777 	yayaby 	iredouble 	1NN+1 	120 	84.09% 	Movie or Lin 	 
26 	2020-09-17 14:47 	kittydee 	jogle 	mcohen44 	rps123456 	1NN+1 	120 	84.09% 	Movie or Lin 	 
27 	2020-09-17 14:47 	loveable 	swak70 	gudenuf 	erzsi99 	1NN+1 	120 	84.09% 	Movie or Lin 	 
28 	2020-09-17 14:46 	mrobichek 	elogg 	anil805 	flower805 	1NN+1 	120 	84.09% 	Movie or Lin 	 
29 	2020-09-17 14:47 	elan5 	BocaBarbar 	rudiemac 	pagetcourt 	1NN+1 	120 	84.09% 	Movie or Lin 	 
30 	2020-09-17 14:47 	giulia03 	1feeling 	Maurice 	Galaxy37 	1NN+1 	120 	84.09% 	Movie or Lin 	 
31 	2020-09-17 14:46 	karenfrank 	escho 	par90 	airani1 	1♦E-1 	100 	68.94% 	Movie or Lin 	 
32 	2020-09-17 14:47 	shodes1225 	bama1946 	sha1 	eliran_a 	2♣W-1 	100 	68.94% 	Movie or Lin 	 
33 	2020-09-17 14:46 	joynbridge 	johnpw 	sonja721 	blachowski 	2♣W-1 	100 	68.94% 	Movie or Lin 	 
34 	2020-09-17 14:47 	3holen 	a26foley 	cuddleyjd 	lvand14 	2♠E-1 	100 	68.94% 	Movie or Lin 	 
35 	2020-09-17 14:46 	gbgreyfox 	drreb 	eagles123 	dellabuckl 	1♦E-1 	100 	68.94% 	Movie or Lin 	 
36 	2020-09-17 14:46 	Heidibam1 	ehy 	dickweth2 	vance272 	3♣E-1 	100 	68.94% 	Movie or Lin 	 
37 	2020-09-17 14:47 	Mikia 	ssyc1938 	clark5 	NolanMom 	1NW-1 	100 	68.94% 	Movie or Lin 	 
38 	2020-09-17 14:47 	maidl 	tom45 	APO42 	jsh80 	2♥E-1 	100 	68.94% 	Movie or Lin 	 
39 	2020-09-17 14:46 	love trips 	ricker 	CPAMAN 	Stoney3030 	1♦E-1 	100 	68.94% 	Movie or Lin 	 
40 	2020-09-17 14:47 	megmarsh 	dem1219 	Evabarry 	bevlitsky1 	1♦E-1 	100 	68.94% 	Movie or Lin 	 
41 	2020-09-17 14:46 	emilyseide 	Sheleb 	Muan03UCSD 	Sun Rex 	1♦E-1 	100 	68.94% 	Movie or Lin 	 
42 	2020-09-17 14:47 	e_alex_ 	judean 	ButtonsMom 	KLPbridge 	2♣W-1 	100 	68.94% 	Movie or Lin 	 
43 	2020-09-17 14:46 	plantlady2 	nifty msk 	golden one 	ddpetunia 	2♣E-1 	100 	68.94% 	Movie or Lin 	 
