

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933602 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:53 	cncaboose 	DrZed 	anncal 	bxv 	6♦xW-4 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:54 	Kac1 	pninah 	headlv 	kwbridge 	4♠N= 	620 	99.21% 	Movie or Lin 	 
3 	2020-09-17 14:53 	huacong 	docjmc64 	robbieshan 	texasjudy1 	3NE-7 	350 	98.43% 	Movie or Lin 	 
4 	2020-09-17 14:55 	margisell 	bertsure4 	morriswi01 	marybray 	5♣xE-2 	300 	95.67% 	Movie or Lin 	 
5 	2020-09-17 14:56 	Mistee 	trumpface 	heleneg11 	n74tg 	5♣xE-2 	300 	95.67% 	Movie or Lin 	 
6 	2020-09-17 14:52 	arnedanske 	harmann8 	sheilakrip 	mafat5 	5♣xE-2 	300 	95.67% 	Movie or Lin 	 
7 	2020-09-17 14:54 	ajax01 	jes33033 	aarons 	mcn 	5♣xE-2 	300 	95.67% 	Movie or Lin 	 
8 	2020-09-17 14:54 	sv21 	pierchat31 	doc k 	Kailey 	5♣xE-2 	300 	95.67% 	Movie or Lin 	 
9 	2020-09-17 14:56 	luckysue 	jlwins 	honeypes 	maui me 	4♣xE-2 	300 	95.67% 	Movie or Lin 	 
10 	2020-09-17 14:55 	any blue 	TonyTV1 	bruss2 	loritap 	3NE-4 	200 	92.52% 	Movie or Lin 	 
11 	2020-09-17 14:56 	Katewoot 	k1w1 	tennhill 	vivskm 	5♣E-4 	200 	92.52% 	Movie or Lin 	 
12 	2020-09-17 14:56 	Karenann 	JulyDiana 	Mrslaps 	esgkc 	3♥S+1 	170 	88.98% 	Movie or Lin 	 
13 	2020-09-17 14:56 	eileneg 	biddingeln 	grambarb 	cloudy1 	3♥S+1 	170 	88.98% 	Movie or Lin 	 
14 	2020-09-17 14:56 	pikaluck 	kawauso 	oledaj 	2sleepless 	3♥S+1 	170 	88.98% 	Movie or Lin 	 
15 	2020-09-17 14:56 	jojo1112 	jomur1 	NanRaye 	gc0417 	3♠N+1 	170 	88.98% 	Movie or Lin 	 
16 	2020-09-17 14:56 	Ladygirl 	FRG1950 	herbob 	youngsdj 	3♠N+1 	170 	88.98% 	Movie or Lin 	 
17 	2020-09-17 14:56 	mizmeck 	shaji 	jellyjam1 	Ellenlberk 	3♥S+1 	170 	88.98% 	Movie or Lin 	 
18 	2020-09-17 14:54 	belle jour 	BayDilly43 	pvkhol 	peristy 	3♥S+1 	170 	88.98% 	Movie or Lin 	 
19 	2020-09-17 14:56 	e_alex_ 	judean 	ButtonsMom 	KLPbridge 	4♦W-3 	150 	85.04% 	Movie or Lin 	 
20 	2020-09-17 14:56 	121442 	Adele46 	Pattigf 	sarashep 	5♣E-3 	150 	85.04% 	Movie or Lin 	 
21 	2020-09-17 14:54 	mpeach4 	auntalicef 	Macsky1 	richa 	5♦W-3 	150 	85.04% 	Movie or Lin 	 
22 	2020-09-17 14:56 	sallyflan 	AdrianFig 	kashbyaz45 	anitamac 	3♥S= 	140 	81.89% 	Movie or Lin 	 
23 	2020-09-17 14:55 	joynbridge 	johnpw 	sonja721 	blachowski 	3♠N= 	140 	81.89% 	Movie or Lin 	 
24 	2020-09-17 14:51 	Noangel255 	henryk5 	oktaygecit 	ojkusc 	3♥S= 	140 	81.89% 	Movie or Lin 	 
25 	2020-09-17 14:56 	bbp 	fireitup 	ellenanten 	Caveman111 	3♥S= 	140 	81.89% 	Movie or Lin 	 
26 	2020-09-17 14:52 	faykarl 	sabz 	MarithaP 	skipbid 	3♠N= 	140 	81.89% 	Movie or Lin 	 
27 	2020-09-17 14:55 	sinica23 	allisonfr 	bibilaura 	MAGU 2 	4♣xE-1 	100 	74.80% 	Movie or Lin 	 
28 	2020-09-17 14:56 	sil4 	megleren 	Pill43 	bijou5 	4♣E-2 	100 	74.80% 	Movie or Lin 	 
29 	2020-09-17 14:55 	karenfrank 	escho 	par90 	airani1 	4♦W-2 	100 	74.80% 	Movie or Lin 	 
30 	2020-09-17 14:55 	Mark1110 	milberger 	diana lynn 	jondrobuli 	5♣E-2 	100 	74.80% 	Movie or Lin 	 
31 	2020-09-17 14:53 	Ivanone 	domidomi 	zmanmom 	p450guy 	5♦W-2 	100 	74.80% 	Movie or Lin 	 
32 	2020-09-17 14:56 	Heidibam1 	ehy 	dickweth2 	vance272 	3♦W-2 	100 	74.80% 	Movie or Lin 	 
33 	2020-09-17 14:56 	gulfet 	fluffytris 	dottiereid 	BobBauman1 	4♣xE-1 	100 	74.80% 	Movie or Lin 	 
34 	2020-09-17 14:56 	csgreen1 	lgreenhous 	bennix 	igorliv 	5♣E-2 	100 	74.80% 	Movie or Lin 	 
35 	2020-09-17 14:56 	mindyjogo 	harpy1944 	clyphy 	davidshea5 	5♦W-2 	100 	74.80% 	Movie or Lin 	 
36 	2020-09-17 14:56 	kirby2 	jaydeb 	martin dav 	abudiran 	5♣E-2 	100 	74.80% 	Movie or Lin 	 
37 	2020-09-17 14:54 	hile 	normw 	akdo 	nkl1234 	2NE-2 	100 	74.80% 	Movie or Lin 	 
