

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933601 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:53 	Mark1110 	milberger 	diana lynn 	jondrobuli 	3NE-4 	200 	99.24% 	Movie or Lin 	 
2 	2020-09-17 14:51 	any blue 	TonyTV1 	bruss2 	loritap 	3NE-4 	200 	99.24% 	Movie or Lin 	 
3 	2020-09-17 14:53 	carnadian 	bronco57 	bong123 	wmer30 	3NE-4 	200 	99.24% 	Movie or Lin 	 
4 	2020-09-17 14:52 	121442 	Adele46 	Pattigf 	sarashep 	3NE-3 	150 	96.21% 	Movie or Lin 	 
5 	2020-09-17 14:50 	luckysue 	jlwins 	honeypes 	maui me 	3NE-3 	150 	96.21% 	Movie or Lin 	 
6 	2020-09-17 14:53 	Ladygirl 	FRG1950 	herbob 	youngsdj 	3NE-3 	150 	96.21% 	Movie or Lin 	 
7 	2020-09-17 14:49 	trumpmaven 	wubbe2 	joots 	faydugas 	3NE-3 	150 	96.21% 	Movie or Lin 	 
8 	2020-09-17 14:54 	katewoot 	K1w1 	tennhill 	vivskm 	3NE-3 	150 	96.21% 	Movie or Lin 	 
9 	2020-09-17 14:49 	BSheldon 	Paul_Sitz 	myrmil 	ZnHWu 	4♥W-2 	100 	87.50% 	Movie or Lin 	 
10 	2020-09-17 14:52 	loy3 	Marsaka 	Pam L 	TToes 	3NE-2 	100 	87.50% 	Movie or Lin 	 
11 	2020-09-17 14:52 	rakkss 	bottodue 	Mickeyb1 	LuckyC1544 	3NE-2 	100 	87.50% 	Movie or Lin 	 
12 	2020-09-17 14:50 	love trips 	ricker 	CPAMAN 	Stoney3030 	3NE-2 	100 	87.50% 	Movie or Lin 	 
13 	2020-09-17 14:51 	rickrock 	Flying8 	Ellensblum 	LPHOlli 	3NE-2 	100 	87.50% 	Movie or Lin 	 
14 	2020-09-17 14:51 	hile 	normw 	akdo 	nkl1234 	3NE-2 	100 	87.50% 	Movie or Lin 	 
15 	2020-09-17 14:52 	sil4 	megleren 	pill43 	Bijou5 	3NE-2 	100 	87.50% 	Movie or Lin 	 
16 	2020-09-17 14:51 	kittydee 	jogle 	mcohen44 	rps123456 	4♥W-2 	100 	87.50% 	Movie or Lin 	 
17 	2020-09-17 14:52 	Parsley196 	lynn381 	miskellj 	jgovreau 	3NE-2 	100 	87.50% 	Movie or Lin 	 
18 	2020-09-17 14:53 	NellBB 	thankup123 	lovu62 	Gracecha 	3NE-2 	100 	87.50% 	Movie or Lin 	 
19 	2020-09-17 14:51 	wonton 	lgsett 	bree leant 	teddymaid 	3NE-2 	100 	87.50% 	Movie or Lin 	 
20 	2020-09-17 14:51 	ladydi1127 	LordMayo 	mszorro 	Katrink11 	3NE-2 	100 	87.50% 	Movie or Lin 	 
21 	2020-09-17 14:51 	margisell 	bertsure4 	morriswi01 	marybray 	4♥W-2 	100 	87.50% 	Movie or Lin 	 
