

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933595 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:23 	hanover194 	skokiegirl 	sammaitar 	shyamalend 	4♦xE-6 	1400 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:27 	bobade 	tadelman 	anncal 	bxv 	3♦xW-5 	1100 	98.86% 	Movie or Lin 	 
3 	2020-09-17 14:19 	KarenA 	glen 	joots 	faydugas 	3♠xW-5 	1100 	98.86% 	Movie or Lin 	 
4 	2020-09-17 14:24 	NellBB 	thankup123 	diana lynn 	jondrobuli 	3NxN= 	750 	97.73% 	Movie or Lin 	 
5 	2020-09-17 14:20 	Noangel255 	henryk5 	honeypes 	maui me 	3NS+1 	630 	91.67% 	Movie or Lin 	 
6 	2020-09-17 14:24 	pikaluck 	kawauso 	alex63 	niksu 	3NN+1 	630 	91.67% 	Movie or Lin 	 
7 	2020-09-17 14:21 	trumpmaven 	wubbe2 	miskellj 	jgovreau 	3NS+1 	630 	91.67% 	Movie or Lin 	 
8 	2020-09-17 14:21 	ksolarz 	RNAIRN 	rudiemac 	pagetcourt 	3NS+1 	630 	91.67% 	Movie or Lin 	 
9 	2020-09-17 14:25 	Kac1 	pninah 	melt_1010 	Sleepless2 	3NS+1 	630 	91.67% 	Movie or Lin 	 
10 	2020-09-17 14:22 	mrobichek 	elogg 	Pam L 	TToes 	3NS+1 	630 	91.67% 	Movie or Lin 	 
11 	2020-09-17 14:22 	ilane 	TAURUS514 	sha1 	eliran_a 	3NS+1 	630 	91.67% 	Movie or Lin 	 
12 	2020-09-17 14:22 	tiji 	asb10 	Ashmore 	Kritter2 	3NS+1 	630 	91.67% 	Movie or Lin 	 
13 	2020-09-17 14:26 	Sallyflan 	AdrianFig 	Mlemmond12 	gailseale 	3NS+1 	630 	91.67% 	Movie or Lin 	 
14 	2020-09-17 14:26 	megmarsh 	dem1219 	donnabrink 	lwmiller45 	3NS+1 	630 	91.67% 	Movie or Lin 	 
15 	2020-09-17 14:23 	SarahCTP 	JoyBak 	lindyjoan 	plate8 	3NN+1 	630 	91.67% 	Movie or Lin 	 
16 	2020-09-17 14:19 	fizik41 	archin3531 	lovu62 	Gracecha 	3NN+1 	630 	91.67% 	Movie or Lin 	 
17 	2020-09-17 14:23 	gulfet 	fluffytris 	headlv 	kwbridge 	3NN+1 	630 	91.67% 	Movie or Lin 	 
18 	2020-09-17 14:23 	any blue 	TonyTV1 	mszorro 	Katrink11 	3NS+1 	630 	91.67% 	Movie or Lin 	 
19 	2020-09-17 14:23 	sinica23 	allisonfr 	41115 	tnfarmer4 	3NS+1 	630 	91.67% 	Movie or Lin 	 
20 	2020-09-17 14:19 	mindyjogo 	harpy1944 	oktaygecit 	ojkusc 	4♠S= 	620 	85.61% 	Movie or Lin 	 
21 	2020-09-17 14:19 	cncaboose 	DrZed 	bunnu440 	lynal 	3NS= 	600 	68.18% 	Movie or Lin 	 
22 	2020-09-17 14:24 	sil4 	megleren 	ellenanten 	Caveman111 	3NS= 	600 	68.18% 	Movie or Lin 	 
23 	2020-09-17 14:19 	ghb1049 	levih 	elli30 	indarjit 	3NN= 	600 	68.18% 	Movie or Lin 	 
24 	2020-09-17 14:24 	wonton 	lgsett 	tasha5 	irishg 	3NN= 	600 	68.18% 	Movie or Lin 	 
25 	2020-09-17 14:24 	gbgreyfox 	drreb 	twilson28 	mrkopan 	3NS= 	600 	68.18% 	Movie or Lin 	 
26 	2020-09-17 14:24 	Parsley196 	lynn381 	sulbha 	loritap 	3NN= 	600 	68.18% 	Movie or Lin 	 
27 	2020-09-17 14:20 	shodes1225 	bama1946 	mrslaps 	esgkc 	3NN= 	600 	68.18% 	Movie or Lin 	 
28 	2020-09-17 14:20 	amber_rain 	us555 	moisheh 	marvana2 	3NS= 	600 	68.18% 	Movie or Lin 	 
29 	2020-09-17 14:21 	Joephill 	ELIZKROS 	charness 	steveb3 	3NS= 	600 	68.18% 	Movie or Lin 	 
30 	2020-09-17 14:20 	Connie1024 	perch3 	jillian 	handydell 	3NS= 	600 	68.18% 	Movie or Lin 	 
31 	2020-09-17 14:24 	giulia03 	1feeling 	pill43 	Bijou5 	3NN= 	600 	68.18% 	Movie or Lin 	 
32 	2020-09-17 14:21 	mizmeck 	shaji 	bennix 	igorliv 	3NS= 	600 	68.18% 	Movie or Lin 	 
33 	2020-09-17 14:21 	jillie730 	jack2211 	clyphy 	davidshea5 	3NS= 	600 	68.18% 	Movie or Lin 	 
