

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933596 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:26 	ceeski3 	jujuf1 	CPAMAN 	Stoney3030 	4♠xE-2 	500 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:27 	joynbridge 	johnpw 	gudenuf 	erzsi99 	4♥N+1 	450 	98.41% 	Movie or Lin 	 
3 	2020-09-17 14:22 	mariana2 	olguinha 	grambarb 	cloudy1 	4♥N+1 	450 	98.41% 	Movie or Lin 	 
4 	2020-09-17 14:24 	luckysue 	jlwins 	delsouljc 	drewme 	4♥N+1 	450 	98.41% 	Movie or Lin 	 
5 	2020-09-17 14:24 	amber_rain 	us555 	moisheh 	marvana2 	4♥N= 	420 	88.10% 	Movie or Lin 	 
6 	2020-09-17 14:28 	barbaram16 	MichellyW 	clark5 	NolanMom 	4♥N= 	420 	88.10% 	Movie or Lin 	 
7 	2020-09-17 14:25 	hile 	normw 	janeccrn 	paulkh 	4♥N= 	420 	88.10% 	Movie or Lin 	 
8 	2020-09-17 14:28 	yolandac 	shotzy7 	yayaby 	iredouble 	4♥N= 	420 	88.10% 	Movie or Lin 	 
9 	2020-09-17 14:25 	Joephill 	ELIZKROS 	charness 	steveb3 	4♥N= 	420 	88.10% 	Movie or Lin 	 
10 	2020-09-17 14:28 	Kac1 	pninah 	melt_1010 	Sleepless2 	4♥N= 	420 	88.10% 	Movie or Lin 	 
11 	2020-09-17 14:26 	tiji 	asb10 	Ashmore 	Kritter2 	4♥N= 	420 	88.10% 	Movie or Lin 	 
12 	2020-09-17 14:26 	ksolarz 	RNAIRN 	rudiemac 	pagetcourt 	4♥N= 	420 	88.10% 	Movie or Lin 	 
13 	2020-09-17 14:28 	NellBB 	thankup123 	diana lynn 	jondrobuli 	4♥N= 	420 	88.10% 	Movie or Lin 	 
14 	2020-09-17 14:26 	any blue 	TonyTV1 	mszorro 	Katrink11 	4♥N= 	420 	88.10% 	Movie or Lin 	 
15 	2020-09-17 14:28 	katapulta 	Gabzp 	frankf1 	Ashokw 	4♥N= 	420 	88.10% 	Movie or Lin 	 
16 	2020-09-17 14:21 	JudeBoard 	morganford 	Ellensblum 	LPHOlli 	4♥N= 	420 	88.10% 	Movie or Lin 	 
17 	2020-09-17 14:26 	gulfet 	fluffytris 	headlv 	kwbridge 	4♥N= 	420 	88.10% 	Movie or Lin 	 
18 	2020-09-17 14:21 	tikkun 	Littlecm34 	jellyjam1 	Ellenlberk 	4♥N= 	420 	88.10% 	Movie or Lin 	 
19 	2020-09-17 14:28 	giulia03 	1feeling 	Pill43 	bijou5 	4♥N= 	420 	88.10% 	Movie or Lin 	 
20 	2020-09-17 14:27 	kirby2 	jaydeb 	bong123 	wmer30 	4♥N= 	420 	88.10% 	Movie or Lin 	 
21 	2020-09-17 14:23 	mindyjogo 	harpy1944 	oktaygecit 	ojkusc 	4♥N= 	420 	88.10% 	Movie or Lin 	 
22 	2020-09-17 14:23 	katewoot 	K1w1 	lumbeer 	thorn11 	4♥N= 	420 	88.10% 	Movie or Lin 	 
23 	2020-09-17 14:23 	ghb1049 	levih 	elli30 	indarjit 	4♥N= 	420 	88.10% 	Movie or Lin 	 
24 	2020-09-17 14:27 	e_alex_ 	judean 	dottiereid 	BobBauman1 	4♥N= 	420 	88.10% 	Movie or Lin 	 
25 	2020-09-17 14:24 	KarenA 	glen 	joots 	faydugas 	4♥N= 	420 	88.10% 	Movie or Lin 	 
26 	2020-09-17 14:27 	pikaluck 	kawauso 	alex63 	niksu 	4♥N= 	420 	88.10% 	Movie or Lin 	 
27 	2020-09-17 14:24 	ksturnip 	mlbarton 	mcohen44 	rps123456 	4♥N= 	420 	88.10% 	Movie or Lin 	 
28 	2020-09-17 14:27 	Tipu 	anis1971 	Mickeyb1 	LuckyC1544 	3NN= 	400 	78.57% 	Movie or Lin 	 
29 	2020-09-17 14:23 	plantlady2 	nifty msk 	rrlass 	ZITS 	3♥N+2 	200 	77.38% 	Movie or Lin 	 
30 	2020-09-17 14:27 	kobenz 	sarahtwh 	dgrabel 	njforever 	3♥N+2 	200 	77.38% 	Movie or Lin 	 
31 	2020-09-17 14:28 	gbgreyfox 	drreb 	twilson28 	mrkopan 	3♥N+1 	170 	70.24% 	Movie or Lin 	 
32 	2020-09-17 14:27 	wonton 	lgsett 	tasha5 	irishg 	3♥N+1 	170 	70.24% 	Movie or Lin 	 
33 	2020-09-17 14:28 	camura 	jan0107 	gravescs 	graveswg 	3♥N+1 	170 	70.24% 	Movie or Lin 	 
34 	2020-09-17 14:28 	phil 	karenemcd 	Judy6 	schmoo 	3♥N+1 	170 	70.24% 	Movie or Lin 	 
