

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933597 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:33 	giulia03 	1feeling 	elli30 	indarjit 	6NW-3 	300 	100.00% 	Movie or Lin 	 
2 	2020-09-17 14:32 	pikaluck 	kawauso 	akdo 	nkl1234 	4NW-2 	200 	96.97% 	Movie or Lin 	 
3 	2020-09-17 14:33 	joynbridge 	johnpw 	Pattigf 	sarashep 	3NW-2 	200 	96.97% 	Movie or Lin 	 
4 	2020-09-17 14:33 	johnrmelis 	kenya16 	mrslaps 	esgkc 	6♥W-2 	200 	96.97% 	Movie or Lin 	 
5 	2020-09-17 14:33 	Ladygirl 	dobbinaz 	rudiemac 	pagetcourt 	3NW-2 	200 	96.97% 	Movie or Lin 	 
6 	2020-09-17 14:33 	sami222 	pinebluff 	tennhill 	vivskm 	3NW-2 	200 	96.97% 	Movie or Lin 	 
7 	2020-09-17 14:30 	maidl 	tom45 	anncal 	bxv 	3NW-2 	200 	96.97% 	Movie or Lin 	 
8 	2020-09-17 14:32 	any blue 	TonyTV1 	nazirk 	zinki 	3NW-2 	200 	96.97% 	Movie or Lin 	 
9 	2020-09-17 14:33 	rickrock 	Flying8 	gravescs 	graveswg 	3NW-1 	100 	87.88% 	Movie or Lin 	 
10 	2020-09-17 14:33 	Mary-Lou 	pranlet 	bruss2 	loritap 	5♥E-1 	100 	87.88% 	Movie or Lin 	 
11 	2020-09-17 14:33 	wonton 	lgsett 	Susan SG 	gallahtn 	3NW-1 	100 	87.88% 	Movie or Lin 	 
12 	2020-09-17 14:32 	fizik41 	archin3531 	kashbyaz45 	anitamac 	3NW-1 	100 	87.88% 	Movie or Lin 	 
13 	2020-09-17 14:32 	e_alex_ 	judean 	agfolkman 	sooy 	3NW-1 	100 	87.88% 	Movie or Lin 	 
14 	2020-09-17 14:32 	3holen 	a26foley 	lumbeer 	thorn11 	2♦W-1 	100 	87.88% 	Movie or Lin 	 
15 	2020-09-17 14:33 	douglasgma 	jill777 	wct1313 	BlairGlen 	3NW-1 	100 	87.88% 	Movie or Lin 	 
16 	2020-09-17 14:32 	vmandell 	k1u2ssin 	golden one 	ddpetunia 	2NW-1 	100 	87.88% 	Movie or Lin 	 
17 	2020-09-17 14:33 	Karenann 	JulyDiana 	Macsky1 	richa 	3NW-1 	100 	87.88% 	Movie or Lin 	 
