

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933591 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#25033 Pairs ACBL Thu 5pm Speedball 	13/266 	0.63 	65.80% 	 
1 	2020-09-17 14:06 	Connie1024 	perch3 	alex2511 	Parish8836 	6♥W-2 	100 	98.48% 	Movie or Lin 	 
2 	2020-09-17 14:05 	spot card 	dckelley 	ninatas 	dano44 	6♥W-2 	100 	98.48% 	Movie or Lin 	 
3 	2020-09-17 14:04 	maryb4921 	elaine1624 	MarithaP 	skipbid 	6NW-2 	100 	98.48% 	Movie or Lin 	 
4 	2020-09-17 14:05 	lindapie 	hazels3 	dickweth2 	vance272 	6♥W-2 	100 	98.48% 	Movie or Lin 	 
5 	2020-09-17 14:04 	lenbev 	joaniejfk 	hagster64 	rovill 	3NW-2 	100 	98.48% 	Movie or Lin 	 
6 	2020-09-17 14:06 	vmandell 	k1u2ssin 	rrlass 	ZITS 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
7 	2020-09-17 14:06 	Ladygirl 	dobbinaz 	bbbarb43 	Maggie444 	6NE-1 	50 	90.91% 	Movie or Lin 	 
8 	2020-09-17 14:04 	BBP 	fireitup 	tennhill 	vivskm 	6NW-1 	50 	90.91% 	Movie or Lin 	 
9 	2020-09-17 14:05 	herbertbeh 	pepper1111 	CPAMAN 	Stoney3030 	3NW-1 	50 	90.91% 	Movie or Lin 	 
10 	2020-09-17 14:08 	loveable 	swak70 	dottiereid 	BobBauman1 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
11 	2020-09-17 14:07 	fizik41 	archin3531 	Mlemmond12 	gailseale 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
12 	2020-09-17 14:09 	ajax01 	jes33033 	bibilaura 	MAGU 2 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
13 	2020-09-17 14:05 	Kac1 	pninah 	clark5 	NolanMom 	6NW-1 	50 	90.91% 	Movie or Lin 	 
14 	2020-09-17 14:05 	jillie730 	jack2211 	okvince 	lnitabach 	5♥W-1 	50 	90.91% 	Movie or Lin 	 
15 	2020-09-17 14:05 	csgreen1 	lgreenhous 	twilson28 	mrkopan 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
16 	2020-09-17 14:05 	loy3 	Marsaka 	Maurice 	Galaxy37 	7♥W-1 	50 	90.91% 	Movie or Lin 	 
17 	2020-09-17 14:05 	huacong 	docjmc64 	bong123 	wmer30 	6NW-1 	50 	90.91% 	Movie or Lin 	 
18 	2020-09-17 14:04 	jbhunter54 	ajkajk 	morriswi01 	marybray 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
19 	2020-09-17 14:05 	wonton 	lgsett 	brblol 	ardeno 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
20 	2020-09-17 14:05 	ernabailey 	rakmup 	challer 	lba1116 	6♥W-1 	50 	90.91% 	Movie or Lin 	 
21 	2020-09-17 14:04 	SarahCTP 	JoyBak 	jpsdo 	Kangahiker 	4♣E+2 	-170 	84.85% 	Movie or Lin 	 
22 	2020-09-17 14:06 	ksolarz 	RNAIRN 	Arlene Gre 	PatBerg 	3♥W+3 	-230 	83.71% 	Movie or Lin 	 
23 	2020-09-17 14:05 	megmarsh 	dem1219 	bennix 	igorliv 	3♥W+3 	-230 	83.71% 	Movie or Lin 	 
24 	2020-09-17 14:04 	sv21 	pierchat31 	clyphy 	davidshea5 	5♣E+1 	-420 	79.17% 	Movie or Lin 	 
25 	2020-09-17 14:06 	faykarl 	sabz 	martylrob 	DMR1 	4♥W= 	-420 	79.17% 	Movie or Lin 	 
26 	2020-09-17 14:04 	any blue 	TonyTV1 	acsbb 	JJ7789 	5♣E+1 	-420 	79.17% 	Movie or Lin 	 
27 	2020-09-17 14:06 	plantlady2 	nifty msk 	Ellensblum 	LPHOlli 	4♥W= 	-420 	79.17% 	Movie or Lin 	 
28 	2020-09-17 14:04 	0      AKQ 	wafa2 	alex63 	niksu 	4♥W= 	-420 	79.17% 	Movie or Lin 	 
29 	2020-09-17 14:05 	tiji 	asb10 	HeleneG11 	n74tg 	5♣E+1 	-420 	79.17% 	Movie or Lin 	 
30 	2020-09-17 14:05 	e_alex_ 	judean 	grambarb 	cloudy1 	4♥W= 	-420 	79.17% 	Movie or Lin 	 
31 	2020-09-17 14:05 	amber_rain 	us555 	41115 	tnfarmer4 	4♥W= 	-420 	79.17% 	Movie or Lin 	 
32 	2020-09-17 14:05 	rickrock 	Flying8 	lvgopher 	lvrandy 	5♣E+1 	-420 	79.17% 	Movie or Lin 	 
33 	2020-09-17 14:04 	1niceguy2 	ladymd 	APO42 	jsh80 	5♣E+1 	-420 	79.17% 	Movie or Lin 	 
34 	2020-09-17 14:06 	carolkes 	June1915 	teslalover 	Rawfood 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
35 	2020-09-17 14:04 	kobenz 	sarahtwh 	GDBraiser 	puppy3643 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
36 	2020-09-17 14:06 	bridget111 	spanisheye 	yayaby 	iredouble 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
37 	2020-09-17 14:06 	yolandac 	shotzy7 	wct1313 	BlairGlen 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
38 	2020-09-17 14:04 	Mary-Lou 	pranlet 	mszorro 	Katrink11 	5♥W= 	-450 	63.26% 	Movie or Lin 	 
39 	2020-09-17 14:04 	margisell 	bertsure4 	Daisy155 	Trisport 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
40 	2020-09-17 14:04 	Mikia 	ssyc1938 	marcia24 	atarte 	4♥W+1 	-450 	63.26% 	Movie or Lin 	 
