

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246762 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:05 	aloon 	oxdrifter 	Kac1 	nomyzs 	3NN-3 	300 	100.00% 	Movie or Lin 	 
2 	2020-08-04 14:07 	bb2041 	artconn 	sheena2 	billcarl 	3NS-2 	200 	99.35% 	Movie or Lin 	 
3 	2020-08-04 14:06 	tengal47 	sherlock51 	tashmore 	Mary-Lou 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
4 	2020-08-04 14:06 	tweety10 	P Marie 	johnd6213 	jojo1112 	3NN-1 	100 	93.83% 	Movie or Lin 	 
5 	2020-08-04 14:06 	mad508 	jim10028 	Pascal1946 	pez1948 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
6 	2020-08-04 14:08 	ikespr 	gator68 	USpaceman 	phanatic 	3NN-1 	100 	93.83% 	Movie or Lin 	 
7 	2020-08-04 14:08 	gloriamend 	sofiapered 	bruceferg 	shirleyfit 	3NN-1 	100 	93.83% 	Movie or Lin 	 
8 	2020-08-04 14:08 	roydenia 	ninari 	merrily 	barista2 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
9 	2020-08-04 14:08 	dakdude 	stormeygal 	mimster 	rosepa 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
10 	2020-08-04 14:08 	barbarad93 	dottiereid 	jmackiii 	wooey 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
11 	2020-08-04 14:07 	sap616 	philbob336 	mab s 	kmartin79 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
12 	2020-08-04 14:07 	equipment 	wise123 	debking 	liuhvicky 	5NN-1 	100 	93.83% 	Movie or Lin 	 
13 	2020-08-04 14:09 	giulia03 	1feeling 	jsh80 	APO42 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
14 	2020-08-04 14:06 	janie2 	fem1 	marla3NT 	monyc1 	5♦S-1 	100 	93.83% 	Movie or Lin 	 
