

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246771 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:51 	Slamish 	Bronco57 	BonitaLou 	mokam 	4♥N-3 	150 	99.68% 	Movie or Lin 	 
2 	2020-08-04 14:51 	barbarad93 	dottiereid 	rickrock 	Flying8 	3♠S-3 	150 	99.68% 	Movie or Lin 	 
3 	2020-08-04 14:48 	an1and 	sn11eh 	0857 	0       nu 	4♦W= 	130 	98.38% 	Movie or Lin 	 
4 	2020-08-04 14:52 	azlinda 	jg48 	heipenyang 	chiyoungku 	4♦E= 	130 	98.38% 	Movie or Lin 	 
5 	2020-08-04 14:52 	judycutie 	squeezeyos 	hdomnitz 	sdblock 	2NE= 	120 	97.40% 	Movie or Lin 	 
6 	2020-08-04 14:51 	mjts 	misstral 	lvb19557 	dumblon09 	3♣W= 	110 	96.10% 	Movie or Lin 	 
7 	2020-08-04 14:54 	Tayalaw1 	Martha68 	brr32196 	janee1212 	3♣W= 	110 	96.10% 	Movie or Lin 	 
8 	2020-08-04 14:50 	rakkss 	hilton1 	geekswife 	mallison55 	3♣W= 	110 	96.10% 	Movie or Lin 	 
9 	2020-08-04 14:51 	equipment 	wise123 	mslair 	MichaeLair 	3♥N-2 	100 	91.56% 	Movie or Lin 	 
10 	2020-08-04 14:51 	szunkis 	JoySinger 	Portugal42 	jancharles 	3♥N-2 	100 	91.56% 	Movie or Lin 	 
11 	2020-08-04 14:53 	notadummy 	hh4945 	lunab 	mickiemirk 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
12 	2020-08-04 14:49 	skinkopf 	jkirkpat44 	mimster 	rosepa 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
13 	2020-08-04 14:53 	RFrank1939 	mfrank1939 	skober 	NancyM200 	3♥xN-1 	100 	91.56% 	Movie or Lin 	 
14 	2020-08-04 14:51 	Chuck y 	MGir 	Peaches BB 	vous12 	3♥N-2 	100 	91.56% 	Movie or Lin 	 
15 	2020-08-04 14:55 	foldbooks 	carolit 	posha10 	E11 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
16 	2020-08-04 14:51 	bruss2 	filrem 	Redlipstic 	laser12 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
17 	2020-08-04 14:50 	bgturley 	blondie2 	ky57 	ty888 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
18 	2020-08-04 14:52 	Rockeerhil 	Barbara600 	mikeyb 	lujack 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
19 	2020-08-04 14:50 	Cameron11 	joots 	myrmil 	schatzow 	4♥N-2 	100 	91.56% 	Movie or Lin 	 
20 	2020-08-04 14:51 	Marscat2 	BubbaG 	lizj132000 	skyleigh 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
21 	2020-08-04 14:52 	3holen 	a26foley 	denigirl 	BudWilson 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
22 	2020-08-04 14:51 	jjgolfer44 	HappyRon 	bonniejane 	Mrn00 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
23 	2020-08-04 14:52 	jogvanhorn 	jassurin 	jasminb4 	Missyred 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
24 	2020-08-04 14:51 	pill43 	Bijou5 	bobj18 	skipbid 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
25 	2020-08-04 14:52 	barni9 	456no 	nikosv 	lia1995 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
26 	2020-08-04 14:51 	blk44 	brenda_m 	carolkes 	June1915 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
27 	2020-08-04 14:51 	BettiBoops 	ginfuller 	Joephill 	ELIZKROS 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
28 	2020-08-04 14:52 	Mistee 	trumpface 	mrhei 	rbharward 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
29 	2020-08-04 14:51 	Silverlora 	lawgal 	janer22 	kenya16 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
30 	2020-08-04 14:48 	vincent38 	daurala 	marshap 	lake456 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
31 	2020-08-04 14:51 	shrop12 	drmansana 	mcdrake99 	ehat 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
32 	2020-08-04 14:48 	almat 	steliosk 	1948David 	ogulonur 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
33 	2020-08-04 14:49 	tarpon 	Ever_Next 	uli_staber 	teddymaid 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
34 	2020-08-04 14:53 	johnb41 	texascam 	gsada 	Ted Egner 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
35 	2020-08-04 14:49 	oldmantom 	lonedar 	gvrjon 	norat101 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
36 	2020-08-04 14:53 	oxibral 	negso01 	bbbarb43 	ladyhigh 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
37 	2020-08-04 14:51 	rohorap 	832lehigh 	Pascal1946 	pez1948 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
38 	2020-08-04 14:49 	gingerdee 	walk4fun 	suds8402 	lrue 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
39 	2020-08-04 14:49 	sharonh 	hawk49 	tashmore 	Mary-Lou 	2♥N-1 	50 	71.10% 	Movie or Lin 	 
40 	2020-08-04 14:53 	aevar 	siggisk19 	kardona 	ksinha1 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
41 	2020-08-04 14:51 	tengal47 	sherlock51 	rstine 	ojrech 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
42 	2020-08-04 14:51 	nan_cb_2 	aam135 	moisheh 	Lulu550 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
43 	2020-08-04 14:49 	Cantpass54 	Mad_mel 	speaknfnow 	margisell 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
44 	2020-08-04 14:49 	bcgal 	Parkwest21 	ghb1049 	levih 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
45 	2020-08-04 14:53 	nazin 	elmbridge2 	sonja721 	blachowski 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
46 	2020-08-04 14:51 	ninatas 	dano44 	gloria 	locuschat 	3♥N-1 	50 	71.10% 	Movie or Lin 	 
