

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246767 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:31 	aevar 	siggisk19 	suds8402 	lrue 	5♦xS-4 	1100 	99.68% 	Movie or Lin 	 
2 	2020-08-04 14:32 	janie2 	fem1 	charhar910 	ALBIEE 	5♦xS-4 	1100 	99.68% 	Movie or Lin 	 
3 	2020-08-04 14:32 	Mistee 	trumpface 	evatamera 	katnim 	5♦xS-3 	800 	98.70% 	Movie or Lin 	 
4 	2020-08-04 14:32 	euseless 	witzi319 	kwbridge 	headlv 	4♠W= 	620 	98.05% 	Movie or Lin 	 
5 	2020-08-04 14:33 	mizmeck 	shaji 	phylmor 	MMMor 	3♥N-4 	400 	97.40% 	Movie or Lin 	 
6 	2020-08-04 14:33 	allisonfr 	sinica23 	deb410s 	wam2 	2♥N-3 	300 	94.48% 	Movie or Lin 	 
7 	2020-08-04 14:33 	an1and 	sn11eh 	toma9 	venetian 	4♦S-3 	300 	94.48% 	Movie or Lin 	 
8 	2020-08-04 14:32 	Marscat2 	BubbaG 	bruceferg 	shirleyfit 	2♥N-3 	300 	94.48% 	Movie or Lin 	 
9 	2020-08-04 14:33 	SusieDAsh 	ylimebr1 	dwheels 	estaban 	4♦S-3 	300 	94.48% 	Movie or Lin 	 
10 	2020-08-04 14:33 	hilto37 	bart3 	mpeach4 	auntalicef 	3♥N-3 	300 	94.48% 	Movie or Lin 	 
11 	2020-08-04 14:34 	sherbrn 	jdbeatty37 	liana1039 	alekos 	4♦S-3 	300 	94.48% 	Movie or Lin 	 
12 	2020-08-04 14:31 	GDBraiser 	puppy3643 	pmarty 	mickie 	2♥N-3 	300 	94.48% 	Movie or Lin 	 
13 	2020-08-04 14:31 	the domer 	ggetz 	amy4be 	paulin21 	4♦S-3 	300 	94.48% 	Movie or Lin 	 
14 	2020-08-04 14:33 	Rockeerhil 	Barbara600 	ekim123 	nifty msk 	3♦S-2 	200 	87.66% 	Movie or Lin 	 
15 	2020-08-04 14:32 	sharonh 	hawk49 	mimster 	rosepa 	3♦S-2 	200 	87.66% 	Movie or Lin 	 
16 	2020-08-04 14:33 	Slamish 	Bronco57 	Gersty 	newsguy 	3♦S-2 	200 	87.66% 	Movie or Lin 	 
17 	2020-08-04 14:33 	mad508 	jim10028 	neenel 	LeslieFL 	4♦S-2 	200 	87.66% 	Movie or Lin 	 
18 	2020-08-04 14:32 	barni9 	456no 	Binnybridg 	tslamt 	4♦S-2 	200 	87.66% 	Movie or Lin 	 
19 	2020-08-04 14:33 	SelfGovern 	mirwal 	samott 	oma46 	4♦S-2 	200 	87.66% 	Movie or Lin 	 
20 	2020-08-04 14:32 	cjmfla 	salemst 	speaknfnow 	margisell 	3♦S-2 	200 	87.66% 	Movie or Lin 	 
21 	2020-08-04 14:32 	rk1111 	aparrish 	marshap 	lake456 	3♦S-2 	200 	87.66% 	Movie or Lin 	 
22 	2020-08-04 14:33 	carolannh 	AZLYNN 	ky57 	ty888 	4♦S-2 	200 	87.66% 	Movie or Lin 	 
