

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246772 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:55 	kate nwk 	kc2ny 	stuart777 	nhcards 	2♠xW= 	470 	99.66% 	Movie or Lin 	 
2 	2020-08-04 14:56 	elarson 	John2500 	phylmor 	MMMor 	2♠xW= 	470 	99.66% 	Movie or Lin 	 
3 	2020-08-04 14:56 	Slamish 	Bronco57 	BonitaLou 	mokam 	3♥N-3 	300 	98.30% 	Movie or Lin 	 
4 	2020-08-04 14:55 	euseless 	witzi319 	mbmacd 	Bec11 	3♥N-3 	300 	98.30% 	Movie or Lin 	 
5 	2020-08-04 14:54 	bcgal 	Parkwest21 	ghb1049 	levih 	3♣S-2 	200 	93.88% 	Movie or Lin 	 
6 	2020-08-04 14:56 	avc46 	tciconte 	lindapie 	HeatherF56 	2♥N-2 	200 	93.88% 	Movie or Lin 	 
7 	2020-08-04 14:56 	sherry1446 	nc4me 	deb410s 	wam2 	3♥N-2 	200 	93.88% 	Movie or Lin 	 
8 	2020-08-04 14:55 	janie2 	fem1 	mortcase 	gracewood 	3♥N-2 	200 	93.88% 	Movie or Lin 	 
9 	2020-08-04 14:56 	3holen 	a26foley 	denigirl 	BudWilson 	3♥N-2 	200 	93.88% 	Movie or Lin 	 
10 	2020-08-04 14:56 	hanley48 	RNAIRN 	Mozer 	berke97 	3♥xN-1 	200 	93.88% 	Movie or Lin 	 
11 	2020-08-04 14:55 	rk1111 	aparrish 	bobkoonsjr 	BHMBLUE 	3♣S-2 	200 	93.88% 	Movie or Lin 	 
12 	2020-08-04 14:55 	peggybh 	Char400 	bid better 	brianxliu8 	2♥N-2 	200 	93.88% 	Movie or Lin 	 
13 	2020-08-04 14:56 	mongol36 	bozenpete 	sana1m 	dokerzdc 	3♥N-2 	200 	93.88% 	Movie or Lin 	 
14 	2020-08-04 14:55 	bridge1058 	bonnizb11 	GPWJ 	rovill 	2♥N-2 	200 	93.88% 	Movie or Lin 	 
15 	2020-08-04 14:53 	concierges 	keystoner2 	incnone 	ehuntmoney 	2♥xN-1 	200 	93.88% 	Movie or Lin 	 
16 	2020-08-04 14:53 	pill43 	Bijou5 	bobj18 	skipbid 	1NW+1 	120 	88.44% 	Movie or Lin 	 
17 	2020-08-04 14:54 	sherbrn 	jdbeatty37 	maggiva1 	hazzi1 	1NW+1 	120 	88.44% 	Movie or Lin 	 
18 	2020-08-04 14:54 	barbarad93 	dottiereid 	rickrock 	Flying8 	1NW+1 	120 	88.44% 	Movie or Lin 	 
19 	2020-08-04 14:53 	cjmfla 	salemst 	121442 	Adele46 	1NW+1 	120 	88.44% 	Movie or Lin 	 
20 	2020-08-04 14:53 	chinetta 	euamei 	sister37 	widget79 	1NW+1 	120 	88.44% 	Movie or Lin 	 
21 	2020-08-04 14:56 	lyndawithy 	ann no e 	SPJ100 	7_diamonds 	2♠W= 	110 	82.31% 	Movie or Lin 	 
22 	2020-08-04 14:55 	Chuck y 	MGir 	Peaches BB 	vous12 	2♠W= 	110 	82.31% 	Movie or Lin 	 
23 	2020-08-04 14:56 	laverebish 	wabcpa 	ellenanten 	Caveman111 	2♠W= 	110 	82.31% 	Movie or Lin 	 
24 	2020-08-04 14:56 	bruss2 	filrem 	Redlipstic 	laser12 	2♠W= 	110 	82.31% 	Movie or Lin 	 
25 	2020-08-04 14:54 	chicotagg 	Hugodani 	Kac1 	nomyzs 	2♠W= 	110 	82.31% 	Movie or Lin 	 
26 	2020-08-04 14:56 	azlinda 	jg48 	heipenyang 	chiyoungku 	2♠W= 	110 	82.31% 	Movie or Lin 	 
27 	2020-08-04 14:52 	gingerdee 	walk4fun 	suds8402 	lrue 	2♠W= 	110 	82.31% 	Movie or Lin 	 
28 	2020-08-04 14:55 	Norwoodmac 	excalibe1 	issab60 	sweetzer 	2♠W= 	110 	82.31% 	Movie or Lin 	 
29 	2020-08-04 14:55 	Marscat2 	BubbaG 	lizj132000 	skyleigh 	2♠W= 	110 	82.31% 	Movie or Lin 	 
30 	2020-08-04 14:52 	Quietmike 	mafat5 	pmarty 	mickie 	2♠W= 	110 	82.31% 	Movie or Lin 	 
31 	2020-08-04 14:52 	Cantpass54 	Mad_mel 	speaknfnow 	margisell 	2♠W= 	110 	82.31% 	Movie or Lin 	 
32 	2020-08-04 14:53 	jmc542 	peglegs 	pomazi 	dkm345 	2♠W= 	110 	82.31% 	Movie or Lin 	 
33 	2020-08-04 14:55 	BettiBoops 	ginfuller 	Joephill 	ELIZKROS 	2♠W= 	110 	82.31% 	Movie or Lin 	 
34 	2020-08-04 14:56 	roman01 	Chatter1 	neenel 	PamV 	3♣S-1 	100 	69.39% 	Movie or Lin 	 
35 	2020-08-04 14:54 	mad508 	jim10028 	brisi153 	ddyan 	3♣S-1 	100 	69.39% 	Movie or Lin 	 
36 	2020-08-04 14:56 	tobyiws 	janetika21 	hazel2 	MHG1 	2♥N-1 	100 	69.39% 	Movie or Lin 	 
37 	2020-08-04 14:54 	knovicoff 	bbuch41 	ARPinto 	carlota24 	3♣S-1 	100 	69.39% 	Movie or Lin 	 
38 	2020-08-04 14:54 	CathyAnn 	syedaijaz 	Sandfall 	JoDiva 	2♥N-1 	100 	69.39% 	Movie or Lin 	 
39 	2020-08-04 14:56 	BAS225 	pninah 	Gersty 	newsguy 	3♥N-1 	100 	69.39% 	Movie or Lin 	 
40 	2020-08-04 14:54 	RosF45 	helenstam 	rspriggle 	tinman 39 	3♣S-1 	100 	69.39% 	Movie or Lin 	 
41 	2020-08-04 14:56 	aevar 	siggisk19 	kardona 	ksinha1 	3♣S-1 	100 	69.39% 	Movie or Lin 	 
42 	2020-08-04 14:56 	molliemoo 	JPG1944 	rancelot 	Abby9486 	3♥N-1 	100 	69.39% 	Movie or Lin 	 
43 	2020-08-04 14:54 	bensh 	tennhill 	lovu62 	Gracecha 	3♥N-1 	100 	69.39% 	Movie or Lin 	 
44 	2020-08-04 14:54 	sap616 	philbob336 	ekim123 	nifty msk 	2♥N-1 	100 	69.39% 	Movie or Lin 	 
