

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246763 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:12 	Quietmike 	mafat5 	New126 	barby 	7♥N-1 	50 	99.68% 	Movie or Lin 	 
2 	2020-08-04 14:12 	skinkopf 	jkirkpat44 	kardona 	ksinha1 	6♥N-1 	50 	99.68% 	Movie or Lin 	 
3 	2020-08-04 14:13 	Seagal38 	marinau2 	drbubba 	kath1945 	4♥N= 	-420 	98.70% 	Movie or Lin 	 
4 	2020-08-04 14:10 	sabz 	Jeff Fran 	121442 	Adele46 	5♥N= 	-450 	95.78% 	Movie or Lin 	 
5 	2020-08-04 14:10 	roman01 	Chatter1 	Tucson5530 	22tango2 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
6 	2020-08-04 14:13 	equipment 	wise123 	debking 	liuhvicky 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
7 	2020-08-04 14:11 	bensh 	tennhill 	bertsure4 	drewme 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
8 	2020-08-04 14:11 	Nazin 	elmbridge2 	fishfirst1 	leeeward 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
9 	2020-08-04 14:13 	Paul_Sitz 	BSheldon 	lindapie 	HeatherF56 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
10 	2020-08-04 14:13 	cbg3 	bridgqueen 	gsada 	Ted Egner 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
11 	2020-08-04 14:14 	barbarad93 	dottiereid 	jmackiii 	wooey 	4♥N+1 	-450 	95.78% 	Movie or Lin 	 
12 	2020-08-04 14:09 	foldbooks 	carolit 	lvb19557 	dumblon09 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
13 	2020-08-04 14:12 	lyndawithy 	ann no e 	pmarty 	mickie 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
14 	2020-08-04 14:10 	tengal47 	sherlock51 	tashmore 	Mary-Lou 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
15 	2020-08-04 14:14 	lizzie223 	ladymd 	lizj132000 	skyleigh 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
16 	2020-08-04 14:10 	mad508 	jim10028 	Pascal1946 	pez1948 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
17 	2020-08-04 14:14 	rfrank1939 	mfrank1939 	artsi 	irinaa 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
18 	2020-08-04 14:14 	Milberger 	vmandell 	threec 	ekinci 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
19 	2020-08-04 14:10 	sherbrn 	jdbeatty37 	cjv5773 	Puffdog 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
20 	2020-08-04 14:13 	dakdude 	stormeygal 	mimster 	rosepa 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
21 	2020-08-04 14:11 	gingerdee 	walk4fun 	bbbarb43 	ladyhigh 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
22 	2020-08-04 14:13 	kate nwk 	kc2ny 	marshap 	lake456 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
23 	2020-08-04 14:13 	3holen 	a26foley 	bobkoonsjr 	BHMBLUE 	5♥N+1 	-480 	85.39% 	Movie or Lin 	 
24 	2020-08-04 14:11 	notadummy 	hh4945 	heipenyang 	chiyoungku 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
25 	2020-08-04 14:11 	CharE777 	hanover194 	smalt 	Kings_up2 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
26 	2020-08-04 14:13 	vagelio 	tasha5 	Archiegirl 	randall217 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
27 	2020-08-04 14:13 	pill43 	Bijou5 	Portugal42 	jancharles 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
28 	2020-08-04 14:13 	johnb41 	texascam 	ky57 	ty888 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
29 	2020-08-04 14:12 	bgturley 	blondie2 	paradise c 	hasse54 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
30 	2020-08-04 14:13 	laverebish 	wabcpa 	bid better 	brianxliu8 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
31 	2020-08-04 14:12 	elarson 	John2500 	charhar910 	ALBIEE 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
32 	2020-08-04 14:09 	rk1111 	aparrish 	Peaches BB 	vous12 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
33 	2020-08-04 14:14 	pgfdotnet 	Sascha496 	tacoma2011 	croz8 	5♥N+1 	-480 	85.39% 	Movie or Lin 	 
34 	2020-08-04 14:12 	ShuffleOn 	jinnifitz 	Jynxmom 	Knoodle1 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
35 	2020-08-04 14:14 	Tayalaw1 	Martha68 	Moisheh 	Lulu550 	4♥N+2 	-480 	85.39% 	Movie or Lin 	 
36 	2020-08-04 14:14 	Alexpapa 	Fairway22 	antootto 	breedge 	4♥N+3 	-510 	62.34% 	Movie or Lin 	 
37 	2020-08-04 14:12 	barni9 	456no 	billheid 	dolph924 	4♥N+3 	-510 	62.34% 	Movie or Lin 	 
38 	2020-08-04 14:12 	ikespr 	gator68 	USpaceman 	phanatic 	4♥N+3 	-510 	62.34% 	Movie or Lin 	 
39 	2020-08-04 14:12 	chicotagg 	Hugodani 	hazel2 	MHG1 	5♥N+2 	-510 	62.34% 	Movie or Lin 	 
40 	2020-08-04 14:12 	carolannh 	AZLYNN 	jimlala 	Cindy R 	4♥N+3 	-510 	62.34% 	Movie or Lin 	 
