

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246770 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:47 	Mistee 	trumpface 	mrhei 	rbharward 	2♣xxE+2 	1560 	100.00% 	Movie or Lin 	 
2 	2020-08-04 14:45 	an1and 	sn11eh 	0857 	0       nu 	3NW+2 	660 	99.03% 	Movie or Lin 	 
3 	2020-08-04 14:46 	jmeyer39 	Jackie750 	Heat2204 	button6030 	3NE+2 	660 	99.03% 	Movie or Lin 	 
4 	2020-08-04 14:48 	CathyG37 	jmlebo1 	jacobop 	paty i 	3NE+1 	630 	89.94% 	Movie or Lin 	 
5 	2020-08-04 14:45 	bcgal 	Parkwest21 	ghb1049 	levih 	3NW+1 	630 	89.94% 	Movie or Lin 	 
6 	2020-08-04 14:45 	allisonfr 	sinica23 	magdolan 	katy c 	3NW+1 	630 	89.94% 	Movie or Lin 	 
7 	2020-08-04 14:46 	rafmsw19 	Virginia83 	sheena2 	billcarl 	3NW+1 	630 	89.94% 	Movie or Lin 	 
8 	2020-08-04 14:48 	cbg3 	bridgqueen 	charhar910 	ALBIEE 	3NW+1 	630 	89.94% 	Movie or Lin 	 
9 	2020-08-04 14:47 	Nazin 	elmbridge2 	sonja721 	blachowski 	3NE+1 	630 	89.94% 	Movie or Lin 	 
10 	2020-08-04 14:47 	mad508 	jim10028 	brisi153 	ddyan 	3NW+1 	630 	89.94% 	Movie or Lin 	 
11 	2020-08-04 14:46 	jmc542 	peglegs 	pomazi 	dkm345 	3NE+1 	630 	89.94% 	Movie or Lin 	 
12 	2020-08-04 14:46 	Cantpass54 	Mad_mel 	speaknfnow 	margisell 	3NE+1 	630 	89.94% 	Movie or Lin 	 
