

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246768 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:38 	azlinda 	jg48 	USpaceman 	phanatic 	5♠xN-2 	300 	99.03% 	Movie or Lin 	 
2 	2020-08-04 14:36 	hanley48 	RNAIRN 	debking 	liuhvicky 	5♠xN-2 	300 	99.03% 	Movie or Lin 	 
3 	2020-08-04 14:37 	YESK 	Wild__West 	chacha1947 	msmandel 	5♠xN-2 	300 	99.03% 	Movie or Lin 	 
4 	2020-08-04 14:36 	Mistee 	trumpface 	evatamera 	katnim 	5♠xN-2 	300 	99.03% 	Movie or Lin 	 
5 	2020-08-04 14:39 	Nazin 	elmbridge2 	bbbarb43 	ladyhigh 	4♦W= 	130 	97.08% 	Movie or Lin 	 
6 	2020-08-04 14:37 	goph 	AZCJW 	idmic 	LLE_ 	4♦W= 	130 	97.08% 	Movie or Lin 	 
7 	2020-08-04 14:36 	Chuck y 	MGir 	geekswife 	mallison55 	5♠N-2 	100 	94.48% 	Movie or Lin 	 
8 	2020-08-04 14:39 	sherbrn 	jdbeatty37 	liana1039 	alekos 	5♠S-2 	100 	94.48% 	Movie or Lin 	 
9 	2020-08-04 14:37 	delevin 	margylevin 	lvb19557 	dumblon09 	5♠xN-1 	100 	94.48% 	Movie or Lin 	 
10 	2020-08-04 14:37 	tweety10 	P Marie 	Heat2204 	button6030 	5♠xN-1 	100 	94.48% 	Movie or Lin 	 
11 	2020-08-04 14:35 	Jeanne L 	Allan0620 	bobkoonsjr 	BHMBLUE 	5♠S-2 	100 	94.48% 	Movie or Lin 	 
12 	2020-08-04 14:34 	ronrin 	hpesol 	mrhei 	rbharward 	5♠N-2 	100 	94.48% 	Movie or Lin 	 
13 	2020-08-04 14:36 	mizmeck 	shaji 	phylmor 	MMMor 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
14 	2020-08-04 14:36 	chinetta 	euamei 	ghb1049 	levih 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
15 	2020-08-04 14:34 	nora124 	mbilzin 	cjv5773 	Puffdog 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
16 	2020-08-04 14:34 	janchod1 	archin3531 	Redlipstic 	laser12 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
17 	2020-08-04 14:36 	oldmantom 	lonedar 	Jynxmom 	Knoodle1 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
18 	2020-08-04 14:34 	bart1818 	rbd115 	tashmore 	Mary-Lou 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
19 	2020-08-04 14:36 	allisonfr 	sinica23 	deb410s 	wam2 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
20 	2020-08-04 14:36 	mongol36 	bozenpete 	bonniejane 	Mrn00 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
21 	2020-08-04 14:34 	Quietmike 	mafat5 	mevenson 	themogwah 	5♠N-1 	50 	71.43% 	Movie or Lin 	 
22 	2020-08-04 14:38 	gloriamend 	sofiapered 	tacoma2011 	croz8 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
23 	2020-08-04 14:36 	lyndawithy 	ann no e 	Johnnyvjr1 	msonneborn 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
24 	2020-08-04 14:34 	gbbooth 	lantana49 	gvrjon 	norat101 	5♠N-1 	50 	71.43% 	Movie or Lin 	 
25 	2020-08-04 14:36 	vagelio 	tasha5 	gsada 	Ted Egner 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
26 	2020-08-04 14:35 	sap616 	philbob336 	funnytiger 	junewind 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
27 	2020-08-04 14:36 	mkg100 	Jdd 	lizj132000 	skyleigh 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
28 	2020-08-04 14:35 	euseless 	witzi319 	kwbridge 	headlv 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
29 	2020-08-04 14:36 	Slamish 	Bronco57 	Gersty 	newsguy 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
30 	2020-08-04 14:35 	barni9 	456no 	Binnybridg 	tslamt 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
31 	2020-08-04 14:36 	janie2 	fem1 	charhar910 	ALBIEE 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
32 	2020-08-04 14:35 	sharonh 	hawk49 	mimster 	rosepa 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
33 	2020-08-04 14:36 	Cantpass54 	Mad_mel 	merrily 	barista2 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
34 	2020-08-04 14:36 	hilto37 	bart3 	mpeach4 	auntalicef 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
35 	2020-08-04 14:35 	Designsony 	ambros 	Peaches BB 	vous12 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
36 	2020-08-04 14:37 	penaby 	nic813 	ksturnip 	mlbarton 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
37 	2020-08-04 14:35 	Galaxy37 	jill777 	mortcase 	gracewood 	5♠N-1 	50 	71.43% 	Movie or Lin 	 
38 	2020-08-04 14:37 	knovicoff 	bbuch41 	Kac1 	nomyzs 	5♠N-1 	50 	71.43% 	Movie or Lin 	 
39 	2020-08-04 14:37 	shrop12 	drmansana 	sheena2 	billcarl 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
40 	2020-08-04 14:35 	notadummy 	hh4945 	Pam L 	TToes 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
41 	2020-08-04 14:37 	tobyiws 	janetika21 	jobengland 	tpsc 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
42 	2020-08-04 14:35 	ninatas 	dano44 	hogen 	jojo1112 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
43 	2020-08-04 14:37 	chicotagg 	Hugodani 	rancelot 	Abby9486 	5♠N-1 	50 	71.43% 	Movie or Lin 	 
44 	2020-08-04 14:35 	aloon 	oxdrifter 	Wingsfree1 	sue_dip 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
45 	2020-08-04 14:35 	cjmfla 	salemst 	speaknfnow 	margisell 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
46 	2020-08-04 14:35 	mari70112g 	Lynne734 	pajana 	Deervalley 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
47 	2020-08-04 14:37 	Sudafrica 	gulit 	2celik1 	isinci 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
48 	2020-08-04 14:37 	bensh 	tennhill 	rstine 	ojrech 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
49 	2020-08-04 14:37 	concierges 	keystoner2 	VilasG 	gudenuf 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
50 	2020-08-04 14:37 	pill43 	Bijou5 	drklink418 	macon2004 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
51 	2020-08-04 14:35 	dinosaur 1 	lendnz 	smalt 	Kings_up2 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
52 	2020-08-04 14:35 	Marscat2 	BubbaG 	bruceferg 	shirleyfit 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
53 	2020-08-04 14:35 	SelfGovern 	mirwal 	samott 	oma46 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
54 	2020-08-04 14:37 	CharE777 	hanover194 	hdomnitz 	sdblock 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
55 	2020-08-04 14:37 	rakkss 	hilton1 	mikeyb 	lujack 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
56 	2020-08-04 14:36 	gingerdee 	walk4fun 	jmackiii 	wooey 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
57 	2020-08-04 14:35 	rafmsw19 	Virginia83 	lunab 	mickiemirk 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
58 	2020-08-04 14:33 	aevar 	siggisk19 	suds8402 	lrue 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
59 	2020-08-04 14:37 	an1and 	sn11eh 	toma9 	venetian 	5♠S-1 	50 	71.43% 	Movie or Lin 	 
60 	2020-08-04 14:36 	equipment 	wise123 	carolkes 	June1915 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
61 	2020-08-04 14:33 	skinkopf 	jkirkpat44 	issab60 	sweetzer 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
62 	2020-08-04 14:33 	yayaby 	iredouble 	jasminb4 	Missyred 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
63 	2020-08-04 14:33 	tarpon 	Ever_Next 	heipenyang 	chiyoungku 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
64 	2020-08-04 14:34 	Silverlora 	lawgal 	marla3NT 	monyc1 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
65 	2020-08-04 14:36 	kelstrom 	bobbos 	lenofe 	panza3 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
66 	2020-08-04 14:34 	bcgal 	Parkwest21 	kdavis541 	juulsj10 	4♠N-1 	50 	71.43% 	Movie or Lin 	 
67 	2020-08-04 14:36 	gemini101 	bombay101 	magdolan 	katy c 	4♠S-1 	50 	71.43% 	Movie or Lin 	 
