

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246766 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:28 	Tayalaw1 	Martha68 	tucson5530 	22tango2 	4♠S-2 	100 	100.00% 	Movie or Lin 	 
2 	2020-08-04 14:27 	hanley48 	RNAIRN 	sister37 	widget79 	4♠S-1 	50 	97.70% 	Movie or Lin 	 
3 	2020-08-04 14:26 	judycutie 	squeezeyos 	smalt 	Kings_up2 	1NS-1 	50 	97.70% 	Movie or Lin 	 
4 	2020-08-04 14:26 	jclar 	chdrew 	kwbridge 	headlv 	1NS-1 	50 	97.70% 	Movie or Lin 	 
5 	2020-08-04 14:26 	dinosaur 1 	lendnz 	samott 	oma46 	4♠S-1 	50 	97.70% 	Movie or Lin 	 
6 	2020-08-04 14:27 	vagelio 	tasha5 	ellenanten 	Caveman111 	2NS-1 	50 	97.70% 	Movie or Lin 	 
7 	2020-08-04 14:25 	oldmantom 	lonedar 	lenofe 	panza3 	1NS-1 	50 	97.70% 	Movie or Lin 	 
8 	2020-08-04 14:24 	bart1818 	rbd115 	mimster 	rosepa 	1NS= 	-90 	94.41% 	Movie or Lin 	 
9 	2020-08-04 14:26 	danr46 	marilynmc7 	jobengland 	tpsc 	1NS= 	-90 	94.41% 	Movie or Lin 	 
10 	2020-08-04 14:28 	gloriamend 	sofiapered 	lizj132000 	skyleigh 	1NS= 	-90 	94.41% 	Movie or Lin 	 
11 	2020-08-04 14:25 	BettiBoops 	ginfuller 	Heat2204 	button6030 	1NS= 	-90 	94.41% 	Movie or Lin 	 
12 	2020-08-04 14:27 	delevin 	margylevin 	jsh80 	APO42 	2♥E-1 	-100 	92.76% 	Movie or Lin 	 
13 	2020-08-04 14:27 	NeoGold 	geraldb 	drklink418 	macon2004 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
14 	2020-08-04 14:26 	CharE777 	hanover194 	mab s 	kmartin79 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
15 	2020-08-04 14:26 	roydenia 	ninari 	speaknfnow 	margisell 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
16 	2020-08-04 14:28 	szunkis 	JoySinger 	sheena2 	billcarl 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
17 	2020-08-04 14:24 	ronrin 	hpesol 	evatamera 	katnim 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
18 	2020-08-04 14:24 	Cantpass54 	Mad_mel 	maggiva1 	hazzi1 	2♠N= 	-110 	88.82% 	Movie or Lin 	 
19 	2020-08-04 14:28 	4445 	nkl1234 	jacobop 	paty i 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
20 	2020-08-04 14:24 	barbarad93 	dottiereid 	suds8402 	lrue 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
21 	2020-08-04 14:28 	laverebish 	wabcpa 	ky57 	ty888 	2♠S= 	-110 	88.82% 	Movie or Lin 	 
22 	2020-08-04 14:25 	tengal47 	sherlock51 	bertsure4 	drewme 	3♣S= 	-110 	88.82% 	Movie or Lin 	 
