

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 4669-1596574800-5246764 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#4669 Pairs ACBL Tue 5pm Speedball 	298/310 	  	33.52% 	 
1 	2020-08-04 14:19 	tweety10 	P Marie 	gloria 	locuschat 	5♦N-3 	300 	99.68% 	Movie or Lin 	 
2 	2020-08-04 14:19 	bgturley 	blondie2 	jimlala 	Cindy R 	3NS-3 	300 	99.68% 	Movie or Lin 	 
3 	2020-08-04 14:19 	lprieston4 	jimw74111 	drbubba 	kath1945 	6♣S-2 	200 	96.75% 	Movie or Lin 	 
4 	2020-08-04 14:19 	Nazin 	elmbridge2 	pomazi 	dkm345 	3NS-2 	200 	96.75% 	Movie or Lin 	 
5 	2020-08-04 14:19 	jclar 	chdrew 	kwbridge 	headlv 	3NS-2 	200 	96.75% 	Movie or Lin 	 
6 	2020-08-04 14:18 	knovicoff 	bbuch41 	rancelot 	Abby9486 	3NS-2 	200 	96.75% 	Movie or Lin 	 
7 	2020-08-04 14:20 	chinetta 	euamei 	kdavis541 	juulsj10 	3NN-2 	200 	96.75% 	Movie or Lin 	 
8 	2020-08-04 14:18 	Rockeerhil 	Barbara600 	funnytiger 	junewind 	3NN-2 	200 	96.75% 	Movie or Lin 	 
9 	2020-08-04 14:20 	roydenia 	ninari 	speaknfnow 	margisell 	6♣N-2 	200 	96.75% 	Movie or Lin 	 
10 	2020-08-04 14:19 	lizzie223 	ladymd 	tacoma2011 	croz8 	3♥W= 	140 	94.16% 	Movie or Lin 	 
11 	2020-08-04 14:19 	dickfu 	trojandonk 	PLSAL 	hawkca 	3NN-1 	100 	88.64% 	Movie or Lin 	 
12 	2020-08-04 14:18 	snowmore 	pjstein 	liana1039 	alekos 	3NS-1 	100 	88.64% 	Movie or Lin 	 
13 	2020-08-04 14:18 	rakkss 	hilton1 	ekim123 	nifty msk 	3NS-1 	100 	88.64% 	Movie or Lin 	 
14 	2020-08-04 14:18 	Rikke S 	houpeiwei 	Kac1 	nomyzs 	3NS-1 	100 	88.64% 	Movie or Lin 	 
15 	2020-08-04 14:18 	bb2041 	artconn 	mcdrake99 	ehat 	3NS-1 	100 	88.64% 	Movie or Lin 	 
16 	2020-08-04 14:18 	delevin 	margylevin 	jsh80 	APO42 	3NS-1 	100 	88.64% 	Movie or Lin 	 
17 	2020-08-04 14:19 	ralphiii 	ghintze 	kimb123 	carolrit 	3NS-1 	100 	88.64% 	Movie or Lin 	 
18 	2020-08-04 14:19 	cbg3 	bridgqueen 	marla3NT 	monyc1 	3♠S-1 	100 	88.64% 	Movie or Lin 	 
19 	2020-08-04 14:18 	kittydee 	jogle 	ksturnip 	mlbarton 	3NN-1 	100 	88.64% 	Movie or Lin 	 
20 	2020-08-04 14:17 	mad508 	jim10028 	brr32196 	janee1212 	5♦N-1 	100 	88.64% 	Movie or Lin 	 
21 	2020-08-04 14:20 	bcgal 	Parkwest21 	madfam1 	sissyma 	5♣N-1 	100 	88.64% 	Movie or Lin 	 
22 	2020-08-04 14:20 	goph 	AZCJW 	Portugal42 	jancharles 	6♣N-1 	100 	88.64% 	Movie or Lin 	 
23 	2020-08-04 14:19 	ksolarz 	krupke32 	cjv5773 	Puffdog 	5♣N-1 	100 	88.64% 	Movie or Lin 	 
24 	2020-08-04 14:21 	mongol36 	bozenpete 	threec 	ekinci 	6♦N-1 	100 	88.64% 	Movie or Lin 	 
25 	2020-08-04 14:19 	ikespr 	gator68 	heipenyang 	chiyoungku 	3NS-1 	100 	88.64% 	Movie or Lin 	 
26 	2020-08-04 14:18 	morriswi01 	marybray 	pmarty 	mickie 	3NS-1 	100 	88.64% 	Movie or Lin 	 
27 	2020-08-04 14:19 	pgfdotnet 	Sascha496 	HARLEYEL 	juliana108 	2♦N= 	-90 	83.12% 	Movie or Lin 	 
28 	2020-08-04 14:17 	skinkopf 	jkirkpat44 	rickrock 	Flying8 	2♦N+1 	-110 	82.47% 	Movie or Lin 	 
