

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987597 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:56 	tyramarie 	tanq_cowbo 	ersanert 	Sybug 	3NN-4 	400 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:53 	diane_tn 	normw 	121442 	Adele46 	2♦N-2 	200 	96.38% 	Movie or Lin 	 
3 	2020-09-16 14:54 	Tenntoo 	StadaBaBa 	jeff1088 	jophee 	3♦N-2 	200 	96.38% 	Movie or Lin 	 
4 	2020-09-16 14:54 	irishg 	Ever_Next 	jm18 	sasataw 	3♠S-2 	200 	96.38% 	Movie or Lin 	 
5 	2020-09-16 14:54 	etexell 	skippy20 	Nadineha 	davidmal 	4♠xS-1 	200 	96.38% 	Movie or Lin 	 
6 	2020-09-16 14:55 	geraldb 	NeoGold 	shermt 	ptracy 	3♠S-2 	200 	96.38% 	Movie or Lin 	 
7 	2020-09-16 14:52 	trumpmaven 	wubbe2 	desert dee 	Auburn626 	2♦N-2 	200 	96.38% 	Movie or Lin 	 
8 	2020-09-16 14:52 	Ludotimber 	Dundeemk6 	Ellenlberk 	kevnmax 	4♠S-2 	200 	96.38% 	Movie or Lin 	 
9 	2020-09-16 14:56 	onthegeaux 	dctmcd1 	pikaluck 	kawauso 	3♦N-2 	200 	96.38% 	Movie or Lin 	 
10 	2020-09-16 14:56 	love trips 	Mickeyb1 	hparry 	Superspoof 	4♠S-2 	200 	96.38% 	Movie or Lin 	 
11 	2020-09-16 14:56 	martyFuchs 	brunsvob 	TDevine 	rwbjorge 	3♣E= 	110 	92.39% 	Movie or Lin 	 
12 	2020-09-16 14:53 	JJ7789 	acsbb 	kwbridge 	headlv 	3♣E= 	110 	92.39% 	Movie or Lin 	 
13 	2020-09-16 14:56 	ghb1049 	pjnurse 	marshap 	steinkohl 	2♠S-1 	100 	84.42% 	Movie or Lin 	 
14 	2020-09-16 14:53 	clyphy 	davidshea5 	hoffmanj 	LeilaS 	2♦N-1 	100 	84.42% 	Movie or Lin 	 
15 	2020-09-16 14:56 	bcwoodruff 	lfwoodruff 	barbarad93 	dottiereid 	3NS-1 	100 	84.42% 	Movie or Lin 	 
16 	2020-09-16 14:53 	Love2bird 	mycroft5 	Anncac 	GemmaMary 	2♠S-1 	100 	84.42% 	Movie or Lin 	 
17 	2020-09-16 14:56 	fgw1 	brg7 	marit55 	steiped 	4♠S-1 	100 	84.42% 	Movie or Lin 	 
18 	2020-09-16 14:54 	2holtdrive 	snowberry2 	monicakell 	Allan0620 	4♠S-1 	100 	84.42% 	Movie or Lin 	 
19 	2020-09-16 14:56 	czweig 	sb18 	gayle01 	Holrose 	2♦N-1 	100 	84.42% 	Movie or Lin 	 
20 	2020-09-16 14:54 	kittydee 	jogle 	Eraslan 	TUNAL 	2♦N-1 	100 	84.42% 	Movie or Lin 	 
21 	2020-09-16 14:56 	susano40 	squeezenow 	Lmw47 	Chaswhip3 	2♠S-1 	100 	84.42% 	Movie or Lin 	 
