

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987586 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:05 	gsmileyhol 	JKAllison 	NellBB 	maui me 	4♥xS-3 	500 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:04 	ddyan 	needtricks 	lindasc 	searly 	3♦xW= 	470 	99.29% 	Movie or Lin 	 
3 	2020-09-16 14:04 	MHG1 	Minkyg1 	Eraslan 	TUNAL 	4♠E= 	420 	97.14% 	Movie or Lin 	 
4 	2020-09-16 14:04 	adiek6858 	tap 42 	mrhei 	utes1971 	4♠W= 	420 	97.14% 	Movie or Lin 	 
5 	2020-09-16 14:04 	DuckkeeDee 	willenborg 	21clover 	dfp19 	4♠W= 	420 	97.14% 	Movie or Lin 	 
6 	2020-09-16 14:05 	marylou 	snapgal3 	fari1001 	suzye 	4♠E= 	420 	97.14% 	Movie or Lin 	 
7 	2020-09-16 14:05 	kittydee 	jogle 	joerubin21 	dgoldsm1 	4♠E= 	420 	97.14% 	Movie or Lin 	 
8 	2020-09-16 14:06 	Ocsi1947 	A SPARKLES 	pikaluck 	kawauso 	3NE= 	400 	95.00% 	Movie or Lin 	 
9 	2020-09-16 14:06 	allonmyown 	amber_rain 	dana_5 	phdan 	4♥xS-2 	300 	93.93% 	Movie or Lin 	 
10 	2020-09-16 14:04 	dickandale 	mamaloo 	jlwins 	tasha5 	4♥xS-2 	300 	93.93% 	Movie or Lin 	 
11 	2020-09-16 14:04 	mab s 	pinsonn 	bottodue 	rakkss 	3♠E+2 	200 	92.14% 	Movie or Lin 	 
12 	2020-09-16 14:04 	NancyStant 	1donnag 	shermt 	ptracy 	2♠W+3 	200 	92.14% 	Movie or Lin 	 
13 	2020-09-16 14:03 	Dorella1 	ched3 	ekweis 	horsemill 	2♠W+3 	200 	92.14% 	Movie or Lin 	 
14 	2020-09-16 14:04 	susano40 	squeezenow 	valeriejl 	DgStar 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
15 	2020-09-16 14:05 	ssaunders 	JEP_NY 	daffydoc 	vjduffie 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
16 	2020-09-16 14:05 	kb2553 	resbayes 	kwbridge 	headlv 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
17 	2020-09-16 14:03 	biddingeln 	deucswild 	ginfuller 	cupid28 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
18 	2020-09-16 14:06 	deb mcf 	jamast 	aljrem 	Sanjoyd 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
19 	2020-09-16 14:03 	zinki 	nazirk 	silkyf 	bobbysgrl 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
20 	2020-09-16 14:07 	brisi153 	frate42 	Ritapenney 	Golds23 	3♠E+1 	170 	86.43% 	Movie or Lin 	 
21 	2020-09-16 14:04 	yayaby 	iredouble 	semerson53 	B R Saxon 	3♠E+1 	170 	86.43% 	Movie or Lin 	 
22 	2020-09-16 14:04 	marciaspr 	maryzad 	kaytbridge 	belle jour 	3♠E+1 	170 	86.43% 	Movie or Lin 	 
23 	2020-09-16 14:05 	Ludotimber 	Dundeemk6 	BBP 	fireitup 	3♠W+1 	170 	86.43% 	Movie or Lin 	 
24 	2020-09-16 14:04 	pill43 	Bijou5 	monicakell 	Allan0620 	2♠W+2 	170 	86.43% 	Movie or Lin 	 
25 	2020-09-16 14:05 	Tenntoo 	StadaBaBa 	RosieDuffy 	PSGuy 	3♠E+1 	170 	86.43% 	Movie or Lin 	 
26 	2020-09-16 14:04 	geraldb 	NeoGold 	grace30 	sabz 	3♠E+1 	170 	86.43% 	Movie or Lin 	 
27 	2020-09-16 14:06 	slam33 	patmcelhin 	jobengland 	tpsc 	3NS-3 	150 	81.43% 	Movie or Lin 	 
28 	2020-09-16 14:05 	ehassan 	joeyv123 	Anncac 	GemmaMary 	3♠W= 	140 	73.57% 	Movie or Lin 	 
29 	2020-09-16 14:04 	shelbina34 	fethi3563 	msapril 	JUDY3 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
30 	2020-09-16 14:04 	LK98 	RAK79 	ajkajk 	jbhunter54 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
31 	2020-09-16 14:05 	notadummy 	hh4945 	debking 	liuhvicky 	3♠E= 	140 	73.57% 	Movie or Lin 	 
32 	2020-09-16 14:05 	ButtonsMom 	KLPbridge 	hparry 	Superspoof 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
33 	2020-09-16 14:03 	Mrn00 	gretbrid 	121442 	Adele46 	3♠E= 	140 	73.57% 	Movie or Lin 	 
34 	2020-09-16 14:04 	Gigi2play 	auntalicef 	Encino 	aalberto 	2♠W+1 	140 	73.57% 	Movie or Lin 	 
35 	2020-09-16 14:03 	maggiva1 	hazzi1 	kevra 	anncal 	3♠E= 	140 	73.57% 	Movie or Lin 	 
36 	2020-09-16 14:04 	bbuch41 	esgkc 	ErsanErt 	Sybug 	2♠W+1 	140 	73.57% 	Movie or Lin 	 
37 	2020-09-16 14:06 	abudiran 	martin dav 	Fairway22 	alexpapa 	3♠E= 	140 	73.57% 	Movie or Lin 	 
38 	2020-09-16 14:04 	nomyzs 	Kac1 	stevew13 	zapnow 	3♠W= 	140 	73.57% 	Movie or Lin 	 
39 	2020-09-16 14:04 	love trips 	Mickeyb1 	tciconte 	mojess52 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
40 	2020-09-16 14:04 	bruceferg 	juliejoy 	jkirkpat44 	kirkpat130 	3♠E= 	140 	73.57% 	Movie or Lin 	 
41 	2020-09-16 14:05 	rhodaleah 	bonniejane 	jled 	alina39 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
42 	2020-09-16 14:04 	skipbid11 	bgmu 	tiji 	asb10 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
43 	2020-09-16 14:05 	lizj132000 	skyleigh 	hoffmanj 	LeilaS 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
44 	2020-09-16 14:04 	2holtdrive 	snowberry2 	jerry102de 	Pamela M 	3♠E= 	140 	73.57% 	Movie or Lin 	 
45 	2020-09-16 14:04 	lttlkitten 	gelino 	Seadog680 	yowayo95 	2♠W+1 	140 	73.57% 	Movie or Lin 	 
46 	2020-09-16 14:05 	etexell 	skippy20 	emilyseide 	Sheleb 	3♠E= 	140 	73.57% 	Movie or Lin 	 
47 	2020-09-16 14:05 	juniessis 	annareddog 	suitguy67 	talina 	3♠W= 	140 	73.57% 	Movie or Lin 	 
48 	2020-09-16 14:04 	bart351 	JulyDiana 	TDevine 	rwbjorge 	2♠E+1 	140 	73.57% 	Movie or Lin 	 
49 	2020-09-16 14:04 	papaj 	_Janabel 	Noangel255 	henryk5 	3♦W+1 	130 	65.36% 	Movie or Lin 	 
50 	2020-09-16 14:05 	conosur 	yasberry 	Arpinto 	carlota24 	3♦W+1 	130 	65.36% 	Movie or Lin 	 
51 	2020-09-16 14:04 	fgw1 	brg7 	MK2483 	mtiques 	2♦W+1 	110 	56.79% 	Movie or Lin 	 
52 	2020-09-16 14:05 	Christy05 	MerryM 	Msnagorski 	nicky99 	3♦W= 	110 	56.79% 	Movie or Lin 	 
53 	2020-09-16 14:04 	jes33033 	olneyhigh5 	elaynef 	lmzweig 	3♦W= 	110 	56.79% 	Movie or Lin 	 
54 	2020-09-16 14:04 	trumpmaven 	wubbe2 	rickrock 	Flying8 	2♠E= 	110 	56.79% 	Movie or Lin 	 
55 	2020-09-16 14:04 	mizmeck 	shaji 	janer22 	kenya16 	3♦W= 	110 	56.79% 	Movie or Lin 	 
56 	2020-09-16 14:03 	dhb1122A 	connor14 	nanax3 	lovescats4 	3♦W= 	110 	56.79% 	Movie or Lin 	 
57 	2020-09-16 14:03 	bbrad1 	gbug 	bouboujc 	jojo1112 	3♦W= 	110 	56.79% 	Movie or Lin 	 
58 	2020-09-16 14:03 	clyphy 	davidshea5 	casper1213 	evp44 	3♦W= 	110 	56.79% 	Movie or Lin 	 
59 	2020-09-16 14:03 	Kailey 	paulkh 	marshap 	steinkohl 	3♦W= 	110 	56.79% 	Movie or Lin 	 
60 	2020-09-16 14:07 	Savvy3 	jenporte 	the_prof 	RMF1939 	2♠W= 	110 	56.79% 	Movie or Lin 	 
61 	2020-09-16 14:03 	blappin 	esalber 	gayle01 	Holrose 	3♦W= 	110 	56.79% 	Movie or Lin 	 
62 	2020-09-16 14:04 	eleanor194 	AndySue 	F2J2M 	oopsiml8 	3♦W= 	110 	56.79% 	Movie or Lin 	 
63 	2020-09-16 14:05 	njskag 	caught1 	pitbul22 	kant7117 	2♠W= 	110 	56.79% 	Movie or Lin 	 
64 	2020-09-16 14:05 	esthertm 	Gracecha 	MoEvans 	maury7a 	3♦W= 	110 	56.79% 	Movie or Lin 	 
65 	2020-09-16 14:04 	drnhtimm 	1niceguy2 	pappa7 	Dee27 	3♦W= 	110 	56.79% 	Movie or Lin 	 
66 	2020-09-16 14:05 	agnes91t 	Daniel15 	APO42 	jsh80 	3♦W= 	110 	56.79% 	Movie or Lin 	 
67 	2020-09-16 14:04 	lvgopher 	lvrandy 	shove 	gremio 	2♠W= 	110 	56.79% 	Movie or Lin 	 
68 	2020-09-16 14:05 	IrvingGew 	parsonsdav 	morriswi01 	marybray 	3♦W= 	110 	56.79% 	Movie or Lin 	 
69 	2020-09-16 14:05 	tra6y 	steamship 	jill777 	Galaxy37 	3♦W= 	110 	56.79% 	Movie or Lin 	 
70 	2020-09-16 14:05 	Joephill 	ELIZKROS 	mrcc1946 	peconic 	3♦W= 	110 	56.79% 	Movie or Lin 	 
71 	2020-09-16 14:04 	luv2X 	BetseyGS 	pak13853 	peak44 	3♦W= 	110 	56.79% 	Movie or Lin 	 
72 	2020-09-16 14:05 	mgrayson78 	savbunny 	barbarad93 	dottiereid 	3♦W= 	110 	56.79% 	Movie or Lin 	 
73 	2020-09-16 14:04 	Love2bird 	mycroft5 	jmott36 	At Last 	4♥xS-1 	100 	47.50% 	Movie or Lin 	 
74 	2020-09-16 14:06 	lemondropp 	parker2020 	lindapie 	HeatherF56 	3♥xS-1 	100 	47.50% 	Movie or Lin 	 
75 	2020-09-16 14:06 	hamann1 	jettej44 	bgturley 	ssyc1938 	3♥S-2 	100 	47.50% 	Movie or Lin 	 
76 	2020-09-16 14:05 	christinhm 	begonia5 	Super1963 	safya 	3♥xS-1 	100 	47.50% 	Movie or Lin 	 
77 	2020-09-16 14:05 	azpa 	kspopkave 	calanitw 	soniamark 	4♥S-1 	50 	43.21% 	Movie or Lin 	 
78 	2020-09-16 14:06 	syedaijaz 	blazer26 	hdomnitz 	sdblock 	3♥S-1 	50 	43.21% 	Movie or Lin 	 
79 	2020-09-16 14:04 	Portugal42 	jancharles 	shep7420 	philbob336 	2♥S-1 	50 	43.21% 	Movie or Lin 	 
80 	2020-09-16 14:06 	ogulonur 	janders47 	desert dee 	Auburn626 	3♥S-1 	50 	43.21% 	Movie or Lin 	 
81 	2020-09-16 14:04 	Caveman111 	ellenanten 	phylmor 	MMMor 	3♥S-1 	50 	43.21% 	Movie or Lin 	 
82 	2020-09-16 14:04 	ddlion 	Binnybridg 	GlostrJohn 	ajit1 	3♥S-1 	50 	43.21% 	Movie or Lin 	 
83 	2020-09-16 14:04 	1YIKAR 	nkl1234 	mortcase 	sagkendavi 	3♥S-1 	50 	43.21% 	Movie or Lin 	 
84 	2020-09-16 14:04 	chips64 	CP1900 	mbilzin 	nora124 	4♣S-1 	50 	43.21% 	Movie or Lin 	 
85 	2020-09-16 14:05 	AnnSBarret 	MEDalton 	maishB 	iuirv 	4♠E-1 	-50 	31.43% 	Movie or Lin 	 
