

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987589 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:23 	juniessis 	annareddog 	jobengland 	tpsc 	3♥xS-3 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:18 	IrvingGew 	parsonsdav 	suitguy67 	talina 	3NW+2 	660 	98.21% 	Movie or Lin 	 
3 	2020-09-16 14:18 	daledavid 	jillie730 	dearie11 	rayerayej 	3NE+2 	660 	98.21% 	Movie or Lin 	 
4 	2020-09-16 14:19 	esthertm 	Gracecha 	pitbul22 	kant7117 	3NE+2 	660 	98.21% 	Movie or Lin 	 
5 	2020-09-16 14:19 	lizj132000 	skyleigh 	ekweis 	horsemill 	3NW+2 	660 	98.21% 	Movie or Lin 	 
6 	2020-09-16 14:19 	Mrn00 	gretbrid 	hoffmanj 	LeilaS 	3NW+1 	630 	91.79% 	Movie or Lin 	 
7 	2020-09-16 14:18 	trumpmaven 	wubbe2 	pfflyer 	smokeysue 	3NE+1 	630 	91.79% 	Movie or Lin 	 
8 	2020-09-16 14:18 	abudiran 	martin dav 	Noangel255 	henryk5 	3NE+1 	630 	91.79% 	Movie or Lin 	 
9 	2020-09-16 14:19 	NancyStant 	1donnag 	stevew13 	zapnow 	3NE+1 	630 	91.79% 	Movie or Lin 	 
10 	2020-09-16 14:18 	shelbina34 	fethi3563 	TDevine 	rwbjorge 	3NE+1 	630 	91.79% 	Movie or Lin 	 
11 	2020-09-16 14:18 	giulia03 	1feeling 	conevrz 	skipinlake 	3NE+1 	630 	91.79% 	Movie or Lin 	 
12 	2020-09-16 14:20 	martyFuchs 	brunsvob 	MK2483 	mtiques 	3NE+1 	630 	91.79% 	Movie or Lin 	 
13 	2020-09-16 14:18 	mizmeck 	shaji 	sha1 	eliran_a 	3NW+1 	630 	91.79% 	Movie or Lin 	 
14 	2020-09-16 14:18 	265426 	dubose 	RosieDuffy 	PSGuy 	3NE+1 	630 	91.79% 	Movie or Lin 	 
15 	2020-09-16 14:18 	Rmathur 	neep 	student135 	crestone 	3NE+1 	630 	91.79% 	Movie or Lin 	 
16 	2020-09-16 14:17 	Christy05 	MerryM 	kevra 	anncal 	3NE+1 	630 	91.79% 	Movie or Lin 	 
17 	2020-09-16 14:17 	adiek6858 	tap 42 	catfoot 	sship 	3NW+1 	630 	91.79% 	Movie or Lin 	 
18 	2020-09-16 14:18 	bart351 	JulyDiana 	marit55 	steiped 	3NW+1 	630 	91.79% 	Movie or Lin 	 
19 	2020-09-16 14:19 	marylou 	snapgal3 	debking 	liuhvicky 	3NE+1 	630 	91.79% 	Movie or Lin 	 
20 	2020-09-16 14:19 	drnhtimm 	1niceguy2 	marla3NT 	monyc1 	5♣E+1 	620 	86.43% 	Movie or Lin 	 
21 	2020-09-16 14:19 	brisi153 	frate42 	Arpinto 	carlota24 	5♣E= 	600 	51.79% 	Movie or Lin 	 
22 	2020-09-16 14:19 	Ocsi1947 	A SPARKLES 	hparry 	Superspoof 	3NE= 	600 	51.79% 	Movie or Lin 	 
23 	2020-09-16 14:18 	njskag 	caught1 	Jill Rande 	topgn 	3NE= 	600 	51.79% 	Movie or Lin 	 
24 	2020-09-16 14:19 	joycehendy 	wrOOster1 	lindapie 	HeatherF56 	3NE= 	600 	51.79% 	Movie or Lin 	 
25 	2020-09-16 14:18 	yayaby 	iredouble 	jkirkpat44 	kirkpat130 	3NE= 	600 	51.79% 	Movie or Lin 	 
26 	2020-09-16 14:18 	marciaspr 	maryzad 	bottodue 	rakkss 	3NE= 	600 	51.79% 	Movie or Lin 	 
27 	2020-09-16 14:18 	azpa 	kspopkave 	docdad1 	susanakaz 	3NE= 	600 	51.79% 	Movie or Lin 	 
28 	2020-09-16 14:18 	ghb1049 	pjnurse 	ilc123 	sjforeman 	3NE= 	600 	51.79% 	Movie or Lin 	 
29 	2020-09-16 14:18 	christinhm 	begonia5 	janer22 	kenya16 	3NE= 	600 	51.79% 	Movie or Lin 	 
30 	2020-09-16 14:19 	slam33 	patmcelhin 	Fairway22 	alexpapa 	3NW= 	600 	51.79% 	Movie or Lin 	 
31 	2020-09-16 14:18 	Portugal42 	jancharles 	APO42 	jsh80 	3NE= 	600 	51.79% 	Movie or Lin 	 
32 	2020-09-16 14:19 	pill43 	Bijou5 	calanitw 	soniamark 	3NE= 	600 	51.79% 	Movie or Lin 	 
33 	2020-09-16 14:18 	allonmyown 	amber_rain 	kwbridge 	headlv 	3NE= 	600 	51.79% 	Movie or Lin 	 
34 	2020-09-16 14:19 	MHG1 	Minkyg1 	BBP 	fireitup 	3NW= 	600 	51.79% 	Movie or Lin 	 
35 	2020-09-16 14:19 	lemondropp 	parker2020 	joerubin21 	dgoldsm1 	3NE= 	600 	51.79% 	Movie or Lin 	 
36 	2020-09-16 14:19 	syedaijaz 	blazer26 	GMEIKLE 	dwebb345 	3NE= 	600 	51.79% 	Movie or Lin 	 
37 	2020-09-16 14:18 	Gigi2play 	auntalicef 	silkyf 	bobbysgrl 	3NE= 	600 	51.79% 	Movie or Lin 	 
38 	2020-09-16 14:18 	rhodaleah 	bonniejane 	Mary-Lou 	dee65 	3NE= 	600 	51.79% 	Movie or Lin 	 
39 	2020-09-16 14:19 	opiaustin 	lynne448 	Lynnl1234 	Sister4 	5♣E= 	600 	51.79% 	Movie or Lin 	 
40 	2020-09-16 14:18 	harmann8 	henrikg 	reerenee 	lilerner3 	3NE= 	600 	51.79% 	Movie or Lin 	 
41 	2020-09-16 14:19 	chips64 	CP1900 	Trudiwill 	marizone 	5♣E= 	600 	51.79% 	Movie or Lin 	 
42 	2020-09-16 14:19 	conosur 	yasberry 	yoda1972 	jw8991 	3NE= 	600 	51.79% 	Movie or Lin 	 
43 	2020-09-16 14:18 	ButtonsMom 	KLPbridge 	studhilo 	ifyuknewme 	3NW= 	600 	51.79% 	Movie or Lin 	 
44 	2020-09-16 14:18 	susucamp 	karo1025 	Ritapenney 	Golds23 	3NE= 	600 	51.79% 	Movie or Lin 	 
45 	2020-09-16 14:19 	Ludotimber 	Dundeemk6 	hdomnitz 	sdblock 	3NE= 	600 	51.79% 	Movie or Lin 	 
46 	2020-09-16 14:18 	czweig 	sb18 	lindasc 	searly 	3NE= 	600 	51.79% 	Movie or Lin 	 
47 	2020-09-16 14:18 	ssaunders 	JEP_NY 	br0malu6 	jlclark 	3NE= 	600 	51.79% 	Movie or Lin 	 
48 	2020-09-16 14:18 	nomyzs 	Kac1 	bouboujc 	jojo1112 	3NE= 	600 	51.79% 	Movie or Lin 	 
49 	2020-09-16 14:18 	fgw1 	brg7 	msapril 	JUDY3 	3NE= 	600 	51.79% 	Movie or Lin 	 
50 	2020-09-16 14:19 	love trips 	Mickeyb1 	barbarad93 	dottiereid 	5♣E= 	600 	51.79% 	Movie or Lin 	 
51 	2020-09-16 14:20 	Defcon0 	lulu109 	ziggy81 	jjjcc 	3NE= 	600 	51.79% 	Movie or Lin 	 
52 	2020-09-16 14:19 	kittydee 	jogle 	zapallar 	jpvaldes 	5♣E= 	600 	51.79% 	Movie or Lin 	 
53 	2020-09-16 14:20 	olsoys 	trampe123 	drewme 	delsouljc 	3NE= 	600 	51.79% 	Movie or Lin 	 
54 	2020-09-16 14:16 	sirichel 	rickytick 	mrobichek 	elogg 	3NE= 	600 	51.79% 	Movie or Lin 	 
55 	2020-09-16 14:20 	DJjazzyJ 	prlgrl 	Nadineha 	davidmal 	3NE= 	600 	51.79% 	Movie or Lin 	 
56 	2020-09-16 14:18 	mayyou 	12481632 	jill777 	Galaxy37 	3NE= 	600 	51.79% 	Movie or Lin 	 
57 	2020-09-16 14:16 	luv2X 	BetseyGS 	Mistee 	trumpface 	3NE= 	600 	51.79% 	Movie or Lin 	 
58 	2020-09-16 14:18 	ehaa41 	jawdoctor1 	Seadog680 	yowayo95 	3NE= 	600 	51.79% 	Movie or Lin 	 
59 	2020-09-16 14:18 	Tenntoo 	StadaBaBa 	fari1001 	suzye 	3NE= 	600 	51.79% 	Movie or Lin 	 
60 	2020-09-16 14:16 	camura 	sislu0101 	atilla60 	mikolovesb 	3NE= 	600 	51.79% 	Movie or Lin 	 
61 	2020-09-16 14:16 	Caveman111 	ellenanten 	semerson53 	B R Saxon 	3NE= 	600 	51.79% 	Movie or Lin 	 
62 	2020-09-16 14:17 	redpony2 	dallas10 	121442 	Adele46 	3NE= 	600 	51.79% 	Movie or Lin 	 
63 	2020-09-16 14:20 	deb mcf 	jamast 	maishB 	iuirv 	5♣E= 	600 	51.79% 	Movie or Lin 	 
64 	2020-09-16 14:17 	ehudy 	nifty msk 	mortcase 	sagkendavi 	3NE= 	600 	51.79% 	Movie or Lin 	 
65 	2020-09-16 14:17 	bruceferg 	juliejoy 	daffydoc 	vjduffie 	3NE= 	600 	51.79% 	Movie or Lin 	 
