

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987596 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:52 	theben 	smakkebo 	sha1 	eliran_a 	6NW+1 	1020 	99.64% 	Movie or Lin 	 
2 	2020-09-16 14:51 	lvb19557 	dumblon09 	NellBB 	maui me 	6NE+1 	1020 	99.64% 	Movie or Lin 	 
3 	2020-09-16 14:50 	lemondropp 	parker2020 	jlwins 	tasha5 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
4 	2020-09-16 14:52 	giulia03 	1feeling 	lindapie 	HeatherF56 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
5 	2020-09-16 14:52 	ksmoof 	Joltin44 	gregorjack 	pottsluck 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
6 	2020-09-16 14:50 	harmann8 	henrikg 	stevew13 	zapnow 	6♠W+1 	1010 	90.36% 	Movie or Lin 	 
7 	2020-09-16 14:50 	bennix 	igorliv 	jled 	alina39 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
8 	2020-09-16 14:52 	AnnSBarret 	MEDalton 	morriswi01 	marybray 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
9 	2020-09-16 14:52 	Rmathur 	neep 	tciconte 	mojess52 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
10 	2020-09-16 14:52 	DJjazzyJ 	prlgrl 	CarolR117 	Inanwag 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
11 	2020-09-16 14:52 	chevy12 	otto 	Trudiwill 	marizone 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
12 	2020-09-16 14:50 	Portugal42 	jancharles 	mortcase 	sagkendavi 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
13 	2020-09-16 14:52 	Dobsond 	Dobberx 	June1915 	carolkes 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
14 	2020-09-16 14:53 	eleanor194 	AndySue 	jmott36 	At Last 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
15 	2020-09-16 14:53 	Ocsi1947 	A SPARKLES 	liana1039 	alekos 	6♠W+1 	1010 	90.36% 	Movie or Lin 	 
16 	2020-09-16 14:53 	daledavid 	jillie730 	janer22 	kenya16 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
17 	2020-09-16 14:51 	acraftyrn 	supply 	suitguy67 	talina 	6♠W+1 	1010 	90.36% 	Movie or Lin 	 
18 	2020-09-16 14:53 	1YIKAR 	nkl1234 	the_prof 	KornyA 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
19 	2020-09-16 14:53 	syedaijaz 	blazer26 	catkoklc 	nelson5107 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
20 	2020-09-16 14:49 	nomyzs 	Kac1 	semerson53 	B R Saxon 	6♠E+1 	1010 	90.36% 	Movie or Lin 	 
21 	2020-09-16 14:51 	bruceferg 	juliejoy 	alice 501 	kmartin79 	6♠W+1 	1010 	90.36% 	Movie or Lin 	 
