

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987588 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:12 	pill43 	Bijou5 	monicakell 	Allan0620 	3NN-5 	250 	99.26% 	Movie or Lin 	 
2 	2020-09-16 14:12 	papaj 	_Janabel 	Noangel255 	henryk5 	4♠S-5 	250 	99.26% 	Movie or Lin 	 
3 	2020-09-16 14:13 	conosur 	yasberry 	Arpinto 	carlota24 	3♣N-5 	250 	99.26% 	Movie or Lin 	 
4 	2020-09-16 14:13 	ddyan 	needtricks 	lindasc 	searly 	4♠S-4 	200 	97.41% 	Movie or Lin 	 
5 	2020-09-16 14:13 	drnhtimm 	1niceguy2 	pappa7 	Dee27 	4♠S-4 	200 	97.41% 	Movie or Lin 	 
6 	2020-09-16 14:13 	karrolle 	gudenuf 	Mistee 	trumpface 	4♥N-3 	150 	95.56% 	Movie or Lin 	 
7 	2020-09-16 14:12 	bruceferg 	juliejoy 	jkirkpat44 	kirkpat130 	4♥S-3 	150 	95.56% 	Movie or Lin 	 
8 	2020-09-16 14:12 	susucamp 	karo1025 	gvrjon 	norat101 	3♠S-3 	150 	95.56% 	Movie or Lin 	 
9 	2020-09-16 14:13 	lizj132000 	skyleigh 	hoffmanj 	LeilaS 	2♠S-2 	100 	90.74% 	Movie or Lin 	 
10 	2020-09-16 14:14 	ssaunders 	JEP_NY 	daffydoc 	vjduffie 	4♠S-2 	100 	90.74% 	Movie or Lin 	 
11 	2020-09-16 14:12 	Kailey 	paulkh 	marshap 	steinkohl 	2♠S-2 	100 	90.74% 	Movie or Lin 	 
12 	2020-09-16 14:13 	Love2bird 	mycroft5 	jmott36 	At Last 	4♠S-2 	100 	90.74% 	Movie or Lin 	 
13 	2020-09-16 14:12 	2holtdrive 	snowberry2 	jerry102de 	Pamela M 	2♠S-2 	100 	90.74% 	Movie or Lin 	 
14 	2020-09-16 14:12 	marciaspr 	maryzad 	kaytbridge 	belle jour 	2♠S-2 	100 	90.74% 	Movie or Lin 	 
15 	2020-09-16 14:12 	adiek6858 	tap 42 	mrhei 	utes1971 	4♠S-2 	100 	90.74% 	Movie or Lin 	 
16 	2020-09-16 14:14 	yosapoz 	RWdeL 	reerenee 	lilerner3 	3♠xS-1 	100 	90.74% 	Movie or Lin 	 
17 	2020-09-16 14:14 	opiaustin 	lynne448 	conevrz 	skipinlake 	3♠xS-1 	100 	90.74% 	Movie or Lin 	 
18 	2020-09-16 14:11 	lvb19557 	dumblon09 	mrobichek 	elogg 	3♠S-2 	100 	90.74% 	Movie or Lin 	 
19 	2020-09-16 14:11 	nomyzs 	Kac1 	stevew13 	zapnow 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
20 	2020-09-16 14:14 	allonmyown 	amber_rain 	dana_5 	phdan 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
21 	2020-09-16 14:13 	harmann8 	henrikg 	azlinda 	jg48 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
22 	2020-09-16 14:11 	carol slam 	vmandell 	GMEIKLE 	dwebb345 	3♠S-1 	50 	72.59% 	Movie or Lin 	 
23 	2020-09-16 14:13 	jes33033 	olneyhigh5 	elaynef 	lmzweig 	3NN-1 	50 	72.59% 	Movie or Lin 	 
24 	2020-09-16 14:13 	colterht 	coltergl 	liana1039 	alekos 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
25 	2020-09-16 14:11 	Ashmore 	Kritter2 	kikafa40 	rebue 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
26 	2020-09-16 14:13 	kb2553 	resbayes 	kwbridge 	headlv 	4♠S-1 	50 	72.59% 	Movie or Lin 	 
27 	2020-09-16 14:13 	shelbina34 	fethi3563 	msapril 	JUDY3 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
28 	2020-09-16 14:12 	SML999 	kaye38 	marla3NT 	monyc1 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
29 	2020-09-16 14:13 	susano40 	squeezenow 	valeriejl 	DgStar 	2♠S-1 	50 	72.59% 	Movie or Lin 	 
