

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987594 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:40 	2holtdrive 	snowberry2 	the_prof 	KornyA 	2♥xS-5 	1100 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:39 	opiaustin 	lynne448 	lindapie 	HeatherF56 	3♠xS-4 	800 	98.87% 	Movie or Lin 	 
3 	2020-09-16 14:41 	susano40 	squeezenow 	GDBraiser 	puppy3643 	2♥xN-4 	800 	98.87% 	Movie or Lin 	 
4 	2020-09-16 14:39 	dowder 	chapalalou 	kwbridge 	headlv 	3NW+1 	630 	95.86% 	Movie or Lin 	 
5 	2020-09-16 14:39 	mab s 	pinsonn 	rovill 	Ydobon28 	3NW+1 	630 	95.86% 	Movie or Lin 	 
6 	2020-09-16 14:39 	JJ7789 	acsbb 	dana_5 	phdan 	3NW+1 	630 	95.86% 	Movie or Lin 	 
7 	2020-09-16 14:42 	daledavid 	jillie730 	Super1963 	safya 	3NW+1 	630 	95.86% 	Movie or Lin 	 
8 	2020-09-16 14:41 	karrolle 	gudenuf 	bxv 	girish53 	3NW+1 	630 	95.86% 	Movie or Lin 	 
9 	2020-09-16 14:41 	dickandale 	mamaloo 	BBP 	fireitup 	3NW+1 	630 	95.86% 	Movie or Lin 	 
10 	2020-09-16 14:42 	Eleanor194 	AndySue 	GlostrJohn 	ajit1 	3NW= 	600 	84.96% 	Movie or Lin 	 
11 	2020-09-16 14:42 	lizj132000 	skyleigh 	rickrock 	Flying8 	3NW= 	600 	84.96% 	Movie or Lin 	 
12 	2020-09-16 14:42 	lemondropp 	parker2020 	zapallar 	jpvaldes 	3NW= 	600 	84.96% 	Movie or Lin 	 
13 	2020-09-16 14:42 	Skipbid11 	bgmu 	gregorjack 	pottsluck 	3NW= 	600 	84.96% 	Movie or Lin 	 
14 	2020-09-16 14:42 	Ashmore 	Kritter2 	ajkajk 	jbhunter54 	3NW= 	600 	84.96% 	Movie or Lin 	 
15 	2020-09-16 14:42 	Jeantennis 	pattigolf 	csb41145 	NDPei72 	3NW= 	600 	84.96% 	Movie or Lin 	 
16 	2020-09-16 14:40 	bcwoodruff 	lfwoodruff 	tciconte 	mojess52 	3NW= 	600 	84.96% 	Movie or Lin 	 
17 	2020-09-16 14:42 	Czweig 	sb18 	ccoffi1 	ShriJ 	3NW= 	600 	84.96% 	Movie or Lin 	 
18 	2020-09-16 14:41 	yosapoz 	RWdeL 	stevew13 	zapnow 	3NW= 	600 	84.96% 	Movie or Lin 	 
19 	2020-09-16 14:41 	joycehendy 	wrOOster1 	joerubin21 	dgoldsm1 	3NW= 	600 	84.96% 	Movie or Lin 	 
20 	2020-09-16 14:42 	conosur 	yasberry 	moevans 	maury7a 	3NW= 	600 	84.96% 	Movie or Lin 	 
21 	2020-09-16 14:42 	brisi153 	frate42 	yoda1972 	jw8991 	3NW= 	600 	84.96% 	Movie or Lin 	 
22 	2020-09-16 14:42 	susucamp 	karo1025 	Arpinto 	carlota24 	3NW= 	600 	84.96% 	Movie or Lin 	 
