

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987592 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:31 	etexell 	skippy20 	arrondee 	jananddon 	4♣xN-6 	1700 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:33 	sazpa 	campgrandm 	drewme 	delsouljc 	3♦xS-5 	1400 	98.21% 	Movie or Lin 	 
3 	2020-09-16 14:33 	susucamp 	karo1025 	Arpinto 	carlota24 	3♣xN-5 	1400 	98.21% 	Movie or Lin 	 
4 	2020-09-16 14:33 	njskag 	caught1 	aljrem 	Sanjoyd 	4♣xN-5 	1400 	98.21% 	Movie or Lin 	 
5 	2020-09-16 14:33 	yayaby 	iredouble 	daffydoc 	vjduffie 	3♠xS-5 	1400 	98.21% 	Movie or Lin 	 
6 	2020-09-16 14:34 	deb mcf 	jamast 	fizik41 	archin3531 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
7 	2020-09-16 14:31 	karrolle 	gudenuf 	bxv 	girish53 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
8 	2020-09-16 14:32 	Caveman111 	ellenanten 	jkirkpat44 	kirkpat130 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
9 	2020-09-16 14:32 	daledavid 	jillie730 	Super1963 	safya 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
10 	2020-09-16 14:33 	fgw1 	brg7 	TDevine 	rwbjorge 	2♦xS-4 	1100 	93.57% 	Movie or Lin 	 
11 	2020-09-16 14:32 	Kailey 	paulkh 	Mistee 	trumpface 	4♣xN-4 	1100 	93.57% 	Movie or Lin 	 
12 	2020-09-16 14:33 	lemondropp 	parker2020 	zapallar 	jpvaldes 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
13 	2020-09-16 14:33 	lizj132000 	skyleigh 	rickrock 	Flying8 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
14 	2020-09-16 14:33 	Jeantennis 	pattigolf 	csb41145 	NDPei72 	3♣xN-4 	1100 	93.57% 	Movie or Lin 	 
15 	2020-09-16 14:33 	Portugal42 	jancharles 	jm18 	sasataw 	3♣xN-3 	800 	88.21% 	Movie or Lin 	 
16 	2020-09-16 14:33 	slam33 	patmcelhin 	Noangel255 	henryk5 	3♠xS-3 	800 	88.21% 	Movie or Lin 	 
17 	2020-09-16 14:32 	Mrn00 	gretbrid 	jags2 	horsemill 	3♣xN-3 	800 	88.21% 	Movie or Lin 	 
18 	2020-09-16 14:33 	abudiran 	martin dav 	gvrjon 	norat101 	3♣xN-3 	800 	88.21% 	Movie or Lin 	 
19 	2020-09-16 14:31 	NancyStant 	1donnag 	bouboujc 	jojo1112 	3♣xN-3 	800 	88.21% 	Movie or Lin 	 
20 	2020-09-16 14:31 	acraftyrn 	supply 	morriswi01 	marybray 	3♣xN-3 	800 	88.21% 	Movie or Lin 	 
21 	2020-09-16 14:33 	Tenntoo 	StadaBaBa 	debking 	liuhvicky 	3NE+3 	690 	85.71% 	Movie or Lin 	 
22 	2020-09-16 14:32 	sirichel 	rickytick 	June1915 	carolkes 	4♥W+2 	680 	84.64% 	Movie or Lin 	 
23 	2020-09-16 14:32 	christinhm 	begonia5 	sha1 	eliran_a 	4♥W+2 	680 	84.64% 	Movie or Lin 	 
24 	2020-09-16 14:35 	Savvy3 	jenporte 	calanitw 	soniamark 	3NE+2 	660 	83.21% 	Movie or Lin 	 
25 	2020-09-16 14:32 	bbuch41 	esgkc 	atilla60 	mikolovesb 	3NE+2 	660 	83.21% 	Movie or Lin 	 
26 	2020-09-16 14:31 	opiaustin 	lynne448 	lindapie 	HeatherF56 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
27 	2020-09-16 14:31 	nicco2no 	nifty msk 	jerry102de 	Pamela M 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
28 	2020-09-16 14:33 	dickandale 	mamaloo 	BBP 	fireitup 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
29 	2020-09-16 14:31 	trumpmaven 	wubbe2 	F2J2M 	oopsiml8 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
30 	2020-09-16 14:31 	bcwoodruff 	lfwoodruff 	tciconte 	mojess52 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
31 	2020-09-16 14:32 	ghb1049 	pjnurse 	oktaygecit 	ojkusc 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
32 	2020-09-16 14:33 	gsmileyhol 	JKAllison 	jill777 	Galaxy37 	4♥E+1 	650 	65.00% 	Movie or Lin 	 
33 	2020-09-16 14:33 	chevy12 	otto 	mbilzin 	nora124 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
34 	2020-09-16 14:33 	LK98 	RAK79 	lmw47 	Chaswhip3 	4♥E+1 	650 	65.00% 	Movie or Lin 	 
35 	2020-09-16 14:33 	skipbid11 	bgmu 	gregorjack 	pottsluck 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
36 	2020-09-16 14:32 	JJ7789 	acsbb 	dana_5 	phdan 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
37 	2020-09-16 14:32 	TyraMarie 	tanq_cowbo 	CarolR117 	Inanwag 	4♥E+1 	650 	65.00% 	Movie or Lin 	 
38 	2020-09-16 14:33 	theben 	smakkebo 	janer22 	kenya16 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
39 	2020-09-16 14:32 	mab s 	pinsonn 	rovill 	Ydobon28 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
40 	2020-09-16 14:33 	2holtdrive 	snowberry2 	the_prof 	KornyA 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
41 	2020-09-16 14:33 	ddyan 	needtricks 	gayle01 	Holrose 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
42 	2020-09-16 14:32 	Dobsond 	Dobberx 	mrobichek 	elogg 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
43 	2020-09-16 14:32 	colterht 	coltergl 	kevra 	anncal 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
44 	2020-09-16 14:32 	Christy05 	MerryM 	NanRaye 	gc0417 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
45 	2020-09-16 14:32 	redpony2 	dallas10 	hoffmanj 	LeilaS 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
46 	2020-09-16 14:33 	ButtonsMom 	KLPbridge 	liana1039 	alekos 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
47 	2020-09-16 14:32 	Gigi2play 	auntalicef 	jled 	alina39 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
48 	2020-09-16 14:32 	SML999 	kaye38 	kikafa40 	rebue 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
49 	2020-09-16 14:32 	mayyou 	12481632 	pappa7 	Dee27 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
50 	2020-09-16 14:33 	blk44 	brenda_m 	alexa209 	rjstreet 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
51 	2020-09-16 14:33 	blappin 	esalber 	RosieDuffy 	PSGuy 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
52 	2020-09-16 14:33 	shelbina34 	fethi3563 	marit55 	steiped 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
53 	2020-09-16 14:32 	bruceferg 	juliejoy 	br0malu6 	jlclark 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
54 	2020-09-16 14:32 	eleanor194 	AndySue 	GlostrJohn 	ajit1 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
55 	2020-09-16 14:32 	man935 	edwinb 	PLMstrs 	jkzaricky 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
56 	2020-09-16 14:33 	pill43 	Bijou5 	docdad1 	susanakaz 	4♥W+1 	650 	65.00% 	Movie or Lin 	 
57 	2020-09-16 14:33 	MHG1 	Minkyg1 	hdomnitz 	sdblock 	4♥E+1 	650 	65.00% 	Movie or Lin 	 
