

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987593 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:36 	ghb1049 	pjnurse 	oktaygecit 	ojkusc 	3NS-3 	150 	98.57% 	Movie or Lin 	 
2 	2020-09-16 14:36 	agnes91t 	Daniel15 	mortcase 	sagkendavi 	3NS-3 	150 	98.57% 	Movie or Lin 	 
3 	2020-09-16 14:36 	bbbarb43 	Maggie444 	shep7420 	philbob336 	3NS-3 	150 	98.57% 	Movie or Lin 	 
4 	2020-09-16 14:36 	SML999 	kaye38 	kikafa40 	rebue 	3NS-3 	150 	98.57% 	Movie or Lin 	 
5 	2020-09-16 14:39 	ksmoof 	Joltin44 	NellBB 	maui me 	3NS-3 	150 	98.57% 	Movie or Lin 	 
6 	2020-09-16 14:36 	Tenntoo 	StadaBaBa 	debking 	liuhvicky 	1♠W+1 	110 	96.43% 	Movie or Lin 	 
7 	2020-09-16 14:35 	acraftyrn 	jmcw 	morriswi01 	marybray 	2NS-2 	100 	90.36% 	Movie or Lin 	 
8 	2020-09-16 14:38 	drnhtimm 	1niceguy2 	elaynef 	lmzweig 	3NS-2 	100 	90.36% 	Movie or Lin 	 
9 	2020-09-16 14:35 	colterht 	coltergl 	kevra 	anncal 	2NS-2 	100 	90.36% 	Movie or Lin 	 
10 	2020-09-16 14:38 	daledavid 	jillie730 	Super1963 	safya 	2NS-2 	100 	90.36% 	Movie or Lin 	 
11 	2020-09-16 14:38 	mgrayson78 	savbunny 	hparry 	Superspoof 	2NN-2 	100 	90.36% 	Movie or Lin 	 
12 	2020-09-16 14:38 	gsmileyhol 	JKAllison 	jill777 	Galaxy37 	2NS-2 	100 	90.36% 	Movie or Lin 	 
13 	2020-09-16 14:36 	onthegeaux 	dctmcd1 	barbarad93 	dottiereid 	2NS-2 	100 	90.36% 	Movie or Lin 	 
14 	2020-09-16 14:36 	Love2bird 	mycroft5 	bottodue 	rakkss 	2NS-2 	100 	90.36% 	Movie or Lin 	 
15 	2020-09-16 14:36 	ButtonsMom 	KLPbridge 	liana1039 	alekos 	2NN-2 	100 	90.36% 	Movie or Lin 	 
16 	2020-09-16 14:38 	ehaa41 	jawdoctor1 	mrhei 	utes1971 	2NS-2 	100 	90.36% 	Movie or Lin 	 
17 	2020-09-16 14:38 	blappin 	esalber 	RosieDuffy 	PSGuy 	2NS-2 	100 	90.36% 	Movie or Lin 	 
18 	2020-09-16 14:39 	lizj132000 	skyleigh 	rickrock 	Flying8 	2NS-2 	100 	90.36% 	Movie or Lin 	 
19 	2020-09-16 14:39 	jes33033 	olneyhigh5 	valeriejl 	DgStar 	2NS-2 	100 	90.36% 	Movie or Lin 	 
20 	2020-09-16 14:37 	kb2553 	resbayes 	grace30 	sabz 	3NS-2 	100 	90.36% 	Movie or Lin 	 
21 	2020-09-16 14:35 	lvb19557 	dumblon09 	tiji 	asb10 	2NN-2 	100 	90.36% 	Movie or Lin 	 
22 	2020-09-16 14:37 	chevy12 	otto 	mbilzin 	nora124 	2NS-2 	100 	90.36% 	Movie or Lin 	 
23 	2020-09-16 14:38 	syedaijaz 	blazer26 	Ellenlberk 	kevnmax 	3NN-1 	50 	81.07% 	Movie or Lin 	 
24 	2020-09-16 14:36 	katapulta 	bronco57 	aga1 	ritajean 	3NS-1 	50 	81.07% 	Movie or Lin 	 
25 	2020-09-16 14:38 	lv8 	kater84 	Trudiwill 	marizone 	2NS-1 	50 	81.07% 	Movie or Lin 	 
26 	2020-09-16 14:36 	bart351 	JulyDiana 	dearie11 	rayerayej 	3NS-1 	50 	81.07% 	Movie or Lin 	 
27 	2020-09-16 14:39 	DJjazzyJ 	prlgrl 	ginfuller 	cupid28 	1NN-1 	50 	81.07% 	Movie or Lin 	 
28 	2020-09-16 14:37 	ddlion 	Binnybridg 	kaytbridge 	belle jour 	1NN-1 	50 	81.07% 	Movie or Lin 	 
29 	2020-09-16 14:37 	marciaspr 	maryzad 	Anncac 	GemmaMary 	2NS-1 	50 	81.07% 	Movie or Lin 	 
30 	2020-09-16 14:39 	Flag5819 	Air1 	maishB 	iuirv 	2NS-1 	50 	81.07% 	Movie or Lin 	 
31 	2020-09-16 14:37 	diane_tn 	normw 	spot card 	dckelley 	2NS-1 	50 	81.07% 	Movie or Lin 	 
32 	2020-09-16 14:34 	mizmeck 	shaji 	lindasc 	searly 	2NS-1 	50 	81.07% 	Movie or Lin 	 
33 	2020-09-16 14:35 	deb mcf 	jamast 	fizik41 	archin3531 	PASS 	0 	70.00% 	Movie or Lin 	 
34 	2020-09-16 14:32 	41115 	tnfarmer4 	Msnagorski 	nicky99 	PASS 	0 	70.00% 	Movie or Lin 	 
35 	2020-09-16 14:32 	chips64 	CP1900 	ziggy81 	jjjcc 	PASS 	0 	70.00% 	Movie or Lin 	 
36 	2020-09-16 14:31 	allonmyown 	amber_rain 	21clover 	dfp19 	PASS 	0 	70.00% 	Movie or Lin 	 
37 	2020-09-16 14:32 	nicco2no 	nifty msk 	jerry102de 	Pamela M 	PASS 	0 	70.00% 	Movie or Lin 	 
38 	2020-09-16 14:32 	TyraMarie 	tanq_cowbo 	CarolR117 	Inanwag 	PASS 	0 	70.00% 	Movie or Lin 	 
39 	2020-09-16 14:33 	Christy05 	MerryM 	NanRaye 	gc0417 	PASS 	0 	70.00% 	Movie or Lin 	 
40 	2020-09-16 14:32 	Dobsond 	Dobberx 	mrobichek 	elogg 	PASS 	0 	70.00% 	Movie or Lin 	 
41 	2020-09-16 14:33 	DuckkeeDee 	willenborg 	azlinda 	jg48 	PASS 	0 	70.00% 	Movie or Lin 	 
42 	2020-09-16 14:33 	man935 	edwinb 	PLMstrs 	jkzaricky 	PASS 	0 	70.00% 	Movie or Lin 	 
43 	2020-09-16 14:33 	irishg 	Ever_Next 	APO42 	jsh80 	PASS 	0 	70.00% 	Movie or Lin 	 
44 	2020-09-16 14:33 	clyphy 	davidshea5 	121442 	Adele46 	PASS 	0 	70.00% 	Movie or Lin 	 
45 	2020-09-16 14:33 	Ludotimber 	Dundeemk6 	GMEIKLE 	dwebb345 	PASS 	0 	70.00% 	Movie or Lin 	 
46 	2020-09-16 14:33 	verna mae 	millilyn 	nanax3 	lovescats4 	PASS 	0 	70.00% 	Movie or Lin 	 
47 	2020-09-16 14:34 	shelbina34 	fethi3563 	marit55 	steiped 	PASS 	0 	70.00% 	Movie or Lin 	 
48 	2020-09-16 14:33 	bbrad1 	gbug 	semerson53 	B R Saxon 	PASS 	0 	70.00% 	Movie or Lin 	 
49 	2020-09-16 14:34 	Dorella1 	ched3 	pfflyer 	smokeysue 	PASS 	0 	70.00% 	Movie or Lin 	 
50 	2020-09-16 14:34 	2holtdrive 	snowberry2 	the_prof 	KornyA 	PASS 	0 	70.00% 	Movie or Lin 	 
51 	2020-09-16 14:34 	gid 	1kere 	Eraslan 	TUNAL 	PASS 	0 	70.00% 	Movie or Lin 	 
52 	2020-09-16 14:35 	yayaby 	iredouble 	daffydoc 	vjduffie 	PASS 	0 	70.00% 	Movie or Lin 	 
53 	2020-09-16 14:35 	hamann1 	jettej44 	suitguy67 	talina 	PASS 	0 	70.00% 	Movie or Lin 	 
54 	2020-09-16 14:38 	sazpa 	campgrandm 	drewme 	delsouljc 	2♥E-1 	-50 	61.79% 	Movie or Lin 	 
55 	2020-09-16 14:39 	Portugal42 	jancharles 	jm18 	sasataw 	2NW-1 	-50 	61.79% 	Movie or Lin 	 
56 	2020-09-16 14:38 	theben 	smakkebo 	janer22 	kenya16 	1NN= 	-90 	60.00% 	Movie or Lin 	 
57 	2020-09-16 14:38 	esthertm 	Gracecha 	Jill Rande 	topgn 	1NN= 	-90 	60.00% 	Movie or Lin 	 
58 	2020-09-16 14:37 	notadummy 	hh4945 	MK2483 	mtiques 	2♣N= 	-90 	60.00% 	Movie or Lin 	 
59 	2020-09-16 14:35 	trumpmaven 	wubbe2 	F2J2M 	oopsiml8 	2♥E-2 	-100 	57.86% 	Movie or Lin 	 
60 	2020-09-16 14:38 	harmann8 	henrikg 	shermt 	ptracy 	2♥xE-1 	-100 	57.86% 	Movie or Lin 	 
61 	2020-09-16 14:37 	njskag 	caught1 	aljrem 	Sanjoyd 	1NW-2 	-100 	57.86% 	Movie or Lin 	 
62 	2020-09-16 14:37 	AnnSBarret 	MEDalton 	bgturley 	ssyc1938 	2♣N+1 	-110 	42.50% 	Movie or Lin 	 
63 	2020-09-16 14:35 	Caveman111 	ellenanten 	jkirkpat44 	kirkpat130 	3♣N= 	-110 	42.50% 	Movie or Lin 	 
64 	2020-09-16 14:35 	maggiva1 	hazzi1 	mrcc1946 	peconic 	2♣N+1 	-110 	42.50% 	Movie or Lin 	 
65 	2020-09-16 14:38 	brisi153 	frate42 	yoda1972 	jw8991 	3♣N= 	-110 	42.50% 	Movie or Lin 	 
66 	2020-09-16 14:38 	lemondropp 	parker2020 	zapallar 	jpvaldes 	2♣N+1 	-110 	42.50% 	Movie or Lin 	 
67 	2020-09-16 14:36 	joycehendy 	wrOOster1 	joerubin21 	dgoldsm1 	2♣N+1 	-110 	42.50% 	Movie or Lin 	 
68 	2020-09-16 14:38 	papaj 	_Janabel 	Ritapenney 	Golds23 	2♣N+1 	-110 	42.50% 	Movie or Lin 	 
