

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 16776-1600290000-86987595 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#16776 Pairs ACBL Wed 5pm Speedball 	43/282 	0.63 	59.94% 	 
1 	2020-09-16 14:46 	DuckkeeDee 	willenborg 	reerenee 	lilerner3 	3NN-4 	400 	100.00% 	Movie or Lin 	 
2 	2020-09-16 14:48 	LK98 	RAK79 	drewme 	delsouljc 	4♥N-2 	200 	99.29% 	Movie or Lin 	 
3 	2020-09-16 14:46 	juniessis 	annareddog 	Noangel255 	henryk5 	4♠S-1 	100 	96.43% 	Movie or Lin 	 
4 	2020-09-16 14:46 	JJ7789 	acsbb 	kwbridge 	headlv 	4♥N-1 	100 	96.43% 	Movie or Lin 	 
5 	2020-09-16 14:47 	chevy12 	otto 	Trudiwill 	marizone 	4♠S-1 	100 	96.43% 	Movie or Lin 	 
6 	2020-09-16 14:48 	SML999 	kaye38 	valeriejl 	DgStar 	4♠N-1 	100 	96.43% 	Movie or Lin 	 
7 	2020-09-16 14:49 	ehassan 	joeyv123 	spot card 	dckelley 	4♠S-1 	100 	96.43% 	Movie or Lin 	 
8 	2020-09-16 14:46 	yosapoz 	RWdeL 	bouboujc 	jojo1112 	4♠S-1 	100 	96.43% 	Movie or Lin 	 
9 	2020-09-16 14:46 	bbrad1 	gbug 	jkirkpat44 	kirkpat130 	3NS-1 	100 	96.43% 	Movie or Lin 	 
10 	2020-09-16 14:47 	Ashmore 	Kritter2 	GDBraiser 	puppy3643 	3♥N= 	-140 	93.21% 	Movie or Lin 	 
11 	2020-09-16 14:50 	abudiran 	martin dav 	Ritapenney 	100_honors 	3♥N= 	-140 	93.21% 	Movie or Lin 	 
12 	2020-09-16 14:47 	Dobsond 	Dobberx 	June1915 	carolkes 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
13 	2020-09-16 14:46 	265426 	dubose 	debking 	liuhvicky 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
14 	2020-09-16 14:46 	carol slam 	vmandell 	mbilzin 	nora124 	3♠S+1 	-170 	87.50% 	Movie or Lin 	 
15 	2020-09-16 14:47 	slam33 	patmcelhin 	gvrjon 	norat101 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
16 	2020-09-16 14:47 	camura 	sislu0101 	oktaygecit 	ojkusc 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
17 	2020-09-16 14:47 	ghb1049 	pjnurse 	marshap 	steinkohl 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
18 	2020-09-16 14:46 	deb mcf 	jamast 	bgturley 	ssyc1938 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
19 	2020-09-16 14:47 	eleanor194 	AndySue 	jmott36 	At Last 	3♠N+1 	-170 	87.50% 	Movie or Lin 	 
20 	2020-09-16 14:45 	verna mae 	millilyn 	arrondee 	jananddon 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
21 	2020-09-16 14:48 	gsmileyhol 	JKAllison 	pappa7 	Dee27 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
22 	2020-09-16 14:47 	adiek6858 	tap 42 	challer 	emily903 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
23 	2020-09-16 14:46 	opiaustin 	lynne448 	joerubin21 	dgoldsm1 	2♠S+2 	-170 	87.50% 	Movie or Lin 	 
24 	2020-09-16 14:47 	blappin 	esalber 	fari1001 	suzye 	3♠S+1 	-170 	87.50% 	Movie or Lin 	 
25 	2020-09-16 14:46 	41115 	tnfarmer4 	kevra 	anncal 	3♠S+1 	-170 	87.50% 	Movie or Lin 	 
26 	2020-09-16 14:46 	Tenntoo 	StadaBaBa 	jeff1088 	jophee 	2♥N+3 	-200 	79.29% 	Movie or Lin 	 
27 	2020-09-16 14:46 	colterht 	coltergl 	NanRaye 	gc0417 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
28 	2020-09-16 14:47 	azpa 	kspopkave 	silkyf 	bobbysgrl 	3♠N+2 	-200 	79.29% 	Movie or Lin 	 
29 	2020-09-16 14:46 	etexell 	skippy20 	Nadineha 	davidmal 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
30 	2020-09-16 14:46 	Christy05 	MerryM 	mrcc1946 	peconic 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
31 	2020-09-16 14:45 	kb2553 	resbayes 	azlinda 	jg48 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
32 	2020-09-16 14:48 	syedaijaz 	blazer26 	catkoklc 	nelson5107 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
33 	2020-09-16 14:46 	trumpmaven 	wubbe2 	desert dee 	Auburn626 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
34 	2020-09-16 14:47 	blk44 	brenda_m 	shep7420 	philbob336 	2♠S+3 	-200 	79.29% 	Movie or Lin 	 
35 	2020-09-16 14:45 	nicco2no 	nifty msk 	shove 	gremio 	3NN= 	-600 	75.71% 	Movie or Lin 	 
36 	2020-09-16 14:47 	dhb1122A 	connor14 	ginfuller 	cupid28 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
37 	2020-09-16 14:46 	ddyan 	needtricks 	csb41145 	NDPei72 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
38 	2020-09-16 14:47 	TyraMarie 	tanq_cowbo 	ErsanErt 	Sybug 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
39 	2020-09-16 14:46 	marciaspr 	maryzad 	rovill 	Ydobon28 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
40 	2020-09-16 14:47 	Mrn00 	gretbrid 	rickrock 	Flying8 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
41 	2020-09-16 14:47 	rhodaleah 	bonniejane 	alexa209 	rjstreet 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
42 	2020-09-16 14:46 	bart351 	JulyDiana 	Super1963 	safya 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
43 	2020-09-16 14:46 	ssaunders 	JEP_NY 	dana_5 	phdan 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
44 	2020-09-16 14:46 	Dorella1 	ched3 	F2J2M 	oopsiml8 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
45 	2020-09-16 14:46 	bruceferg 	juliejoy 	alice 501 	kmartin79 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
46 	2020-09-16 14:47 	lvb19557 	dumblon09 	NellBB 	maui me 	4♠S= 	-620 	61.07% 	Movie or Lin 	 
