

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 6384-1599253200-64344530 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#6384 Pairs ACBL Fri 5pm Speedball 	2/286 	2.40 	76.57% 	 
1 	2020-09-04 14:51 	June1915 	carolkes 	anonimatto 	ricoli 	4♥xN-4 	800 	100.00% 	Movie or Lin 	 
2 	2020-09-04 14:50 	bertkiwi 	headlv 	lisevan 	vanbob 	3♣xE+1 	570 	99.30% 	Movie or Lin 	 
3 	2020-09-04 14:50 	stay40 	hpesol 	Boots off 	jansen11 	5♦xS-2 	300 	98.24% 	Movie or Lin 	 
4 	2020-09-04 14:49 	debking 	liuhvicky 	etexell 	skippy20 	5♦xS-2 	300 	98.24% 	Movie or Lin 	 
5 	2020-09-04 14:52 	dlev60 	coolbeans 	jogle 	kittydee 	2♣xE= 	180 	97.18% 	Movie or Lin 	 
6 	2020-09-04 14:52 	boatboatmy 	iriswilson 	luv2X 	estaban 	4♥N-3 	150 	96.48% 	Movie or Lin 	 
7 	2020-09-04 14:52 	Ppruet1826 	jmk218 	antootto 	breedge 	3♣E= 	110 	95.42% 	Movie or Lin 	 
8 	2020-09-04 14:50 	bevgingin 	vtahoy 	yayaby 	iredouble 	3♣E= 	110 	95.42% 	Movie or Lin 	 
9 	2020-09-04 14:51 	lvgopher 	lvrandy 	A2GUY 	GSUND 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
10 	2020-09-04 14:52 	bumportant 	Donnarod 	rusinow 	babap1010 	6♦xS-1 	100 	92.25% 	Movie or Lin 	 
11 	2020-09-04 14:50 	Qusiesusie 	candy3504 	brolin 	ceciliabid 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
12 	2020-09-04 14:52 	brblol 	Sfielding 	wstuart 	olien 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
13 	2020-09-04 14:53 	hughlm 	RTDodger68 	merrionvie 	Bandit52 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
14 	2020-09-04 14:53 	hidden32 	Garrison L 	lvzee 	passell 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
15 	2020-09-04 14:53 	russpete 	witzi319 	skinclan 	windham005 	5♦xS-1 	100 	92.25% 	Movie or Lin 	 
16 	2020-09-04 14:51 	GDBraiser 	puppy3643 	kikafa40 	rebue 	5♦S-1 	50 	88.03% 	Movie or Lin 	 
17 	2020-09-04 14:55 	BruceJ49 	Rhett44 	Betty0218 	Bob0102 	3♠N-1 	50 	88.03% 	Movie or Lin 	 
18 	2020-09-04 14:52 	Mcaner 	rcaner 	b-stick 	expo4 	4♦S-1 	50 	88.03% 	Movie or Lin 	 
19 	2020-09-04 14:50 	qqq777 	web1racer 	rspriggle 	tinman 39 	5♦S-1 	50 	88.03% 	Movie or Lin 	 
20 	2020-09-04 14:53 	rmg1994 	Mikia 	ander41 	annareddog 	3♠N-1 	50 	88.03% 	Movie or Lin 	 
21 	2020-09-04 14:52 	wwulithi 	marybwatts 	mrobichek 	elogg 	4♣W-1 	-50 	84.86% 	Movie or Lin 	 
22 	2020-09-04 14:53 	eacg 	patmcelhin 	ettyca 	GoodLuckAl 	4♣E-1 	-50 	84.86% 	Movie or Lin 	 
23 	2020-09-04 14:53 	B1W2K3 	Kathy L 	eseymour1 	1misty1 	3♣E-1 	-50 	84.86% 	Movie or Lin 	 
24 	2020-09-04 14:49 	mikeyf 	Txgal 	tengal47 	tennhill 	2♣E-1 	-50 	84.86% 	Movie or Lin 	 
25 	2020-09-04 14:51 	chy5200 	seadogfla 	Bjthom931 	Dq7431 	4♣xE-1 	-100 	80.63% 	Movie or Lin 	 
26 	2020-09-04 14:52 	bruceferg 	juliejoy 	jlwins 	marian1340 	4♣xE-1 	-100 	80.63% 	Movie or Lin 	 
27 	2020-09-04 14:50 	fizik41 	ALOBRIDGE 	agedtoperf 	chefmaggie 	1♠E-2 	-100 	80.63% 	Movie or Lin 	 
28 	2020-09-04 14:52 	brisi153 	frate42 	martin dav 	abudiran 	4♣xE-1 	-100 	80.63% 	Movie or Lin 	 
29 	2020-09-04 14:51 	dummypro 	juliejoyce 	121442 	Adele46 	3♣xE-1 	-100 	80.63% 	Movie or Lin 	 
30 	2020-09-04 14:51 	shep7420 	Doug47 	maggiva1 	hazzi1 	3NW-2 	-100 	80.63% 	Movie or Lin 	 
31 	2020-09-04 14:49 	atvguy 	lovecards 	mm1027 	ripleyrep 	4♣E-2 	-100 	80.63% 	Movie or Lin 	 
32 	2020-09-04 14:53 	Joephill 	ELIZKROS 	bunnu440 	lynal 	4♣xE-1 	-100 	80.63% 	Movie or Lin 	 
33 	2020-09-04 14:54 	rwerber 	Rolltide69 	Gennady509 	Rom2003 	4♦S= 	-130 	74.30% 	Movie or Lin 	 
34 	2020-09-04 14:50 	olsoys 	trampe123 	dmm63 	ava17 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
35 	2020-09-04 14:50 	jill777 	geraldb 	andrewsmom 	oldpost 	4♦S= 	-130 	74.30% 	Movie or Lin 	 
36 	2020-09-04 14:50 	Gigi2play 	auntalicef 	palentz 	vicorio1 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
37 	2020-09-04 14:50 	Gloria561 	Doug2911 	JeanCW 	janewinsit 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
38 	2020-09-04 14:52 	lenbev 	joaniejfk 	miskellj 	jgovreau 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
39 	2020-09-04 14:53 	SPJ100 	7_diamonds 	VilasG 	Kampioen31 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
40 	2020-09-04 14:51 	jawfish3 	dshepherd 	Connie1024 	leeupnorth 	4♦S= 	-130 	74.30% 	Movie or Lin 	 
41 	2020-09-04 14:53 	asked 	beverly5 	veryfy 	goldfrad 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
42 	2020-09-04 14:53 	Jacklois 	Dorrice 	Designsony 	griffe12 	3♦S+1 	-130 	74.30% 	Movie or Lin 	 
43 	2020-09-04 14:53 	bertsure4 	drewme 	gbgreyfox 	drreb 	3♠S= 	-140 	70.42% 	Movie or Lin 	 
44 	2020-09-04 14:54 	jjm50 	diamond__7 	figolido 	chocolate 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
45 	2020-09-04 14:50 	sandyhh 	rrichar 	nffellman 	cholula 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
46 	2020-09-04 14:54 	zzzyzzzz 	friedtufts 	dubose 	265426 	3♥W-3 	-150 	61.27% 	Movie or Lin 	 
47 	2020-09-04 14:50 	norma70 	ddlion 	flockam 	rgbodis 	3♦N+2 	-150 	61.27% 	Movie or Lin 	 
48 	2020-09-04 14:56 	nikegirl 	3776719 	sammaitar 	Jdd 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
49 	2020-09-04 14:50 	iuirv 	Gracecha 	klee1940 	flockie 	2♦S+3 	-150 	61.27% 	Movie or Lin 	 
50 	2020-09-04 14:52 	carol slam 	vmandell 	Brazeau 	Lilabet 	3♥W-3 	-150 	61.27% 	Movie or Lin 	 
51 	2020-09-04 14:52 	teddymaid 	Groomd 	Ocsi1947 	LadyBaba 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
52 	2020-09-04 14:50 	teamlevine 	jlevine112 	karo1025 	susucamp 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
53 	2020-09-04 14:50 	jasminb4 	sabz 	Arlene Gre 	PatBerg 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
54 	2020-09-04 14:50 	ernabailey 	rakmup 	margosh 	smm20 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
55 	2020-09-04 14:50 	gudenuf 	erzsi99 	8wong 	eldrad 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
56 	2020-09-04 14:50 	wonyoung12 	deucswild 	coachw 	davidm 	2NS+1 	-150 	61.27% 	Movie or Lin 	 
57 	2020-09-04 14:52 	DARWZ 	marcie11 	azlinda 	jg48 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
58 	2020-09-04 14:52 	jtorff 	glw626 	jojo1112 	rkupchanko 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
59 	2020-09-04 14:50 	sandy mill 	harrietep 	margisell 	hoboken104 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
60 	2020-09-04 14:53 	honeypes 	zapoly 	Patsy53 	cordless1 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
61 	2020-09-04 14:50 	lulu109 	SherylSBBC 	carlota24 	martagon 	3♥W-3 	-150 	61.27% 	Movie or Lin 	 
62 	2020-09-04 14:53 	BSheldon 	Paul_Sitz 	boby  34 	zazaal 	3♦S+2 	-150 	61.27% 	Movie or Lin 	 
63 	2020-09-04 14:51 	mycroft5 	jeanfarns 	MonaSon 	cindyjt 	4♦N+1 	-150 	61.27% 	Movie or Lin 	 
64 	2020-09-04 14:51 	ONEMASSO1 	twodonna 	Lady Sadie 	JulyDiana 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
65 	2020-09-04 14:53 	rickrock 	Flying8 	everna 	awhit 	3♥W-3 	-150 	61.27% 	Movie or Lin 	 
66 	2020-09-04 14:53 	mnmsgirl 	Archiegirl 	steliosk 	AlikiT 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
67 	2020-09-04 14:51 	IrvingGew 	ladepeche 	bettymelbo 	ZUFONG 	3♥W-3 	-150 	61.27% 	Movie or Lin 	 
68 	2020-09-04 14:53 	Belleharbo 	dss303 	Judy6 	schmoo 	4♦S+1 	-150 	61.27% 	Movie or Lin 	 
69 	2020-09-04 14:50 	bobbyva 	sarahfilly 	gayle01 	Holrose 	2♦N+4 	-170 	49.30% 	Movie or Lin 	 
70 	2020-09-04 14:50 	pdb1049 	ghb1049 	concierges 	keystoner2 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
71 	2020-09-04 14:52 	conosur 	gbonline21 	morriswi01 	marybray 	4♦S+2 	-170 	49.30% 	Movie or Lin 	 
72 	2020-09-04 14:52 	Carol30 	Ace1795 	240zM2C 	Chock16 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
73 	2020-09-04 14:52 	paulkh 	ataml 	WilliamXie 	jomur1 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
74 	2020-09-04 14:51 	cazon 	kathy1961 	Spedia 	rochima 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
75 	2020-09-04 14:51 	Susan SG 	gallahtn 	jeancler 	cherieann 	4♦S+2 	-170 	49.30% 	Movie or Lin 	 
76 	2020-09-04 14:53 	zinki 	nazirk 	suhu52 	jimhansen 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
77 	2020-09-04 14:53 	corkkitty 	cesmith 	chapalalou 	dowder 	3♦S+3 	-170 	49.30% 	Movie or Lin 	 
78 	2020-09-04 14:51 	deann1431 	ron39 	LK98 	RAK79 	5♥W-4 	-200 	44.72% 	Movie or Lin 	 
79 	2020-09-04 14:50 	wenricci 	Mich_man 	mayyou 	0000khaled 	4♣E-4 	-200 	44.72% 	Movie or Lin 	 
