

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 6384-1599253200-64344531 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#6384 Pairs ACBL Fri 5pm Speedball 	2/286 	2.40 	76.57% 	 
1 	2020-09-04 14:56 	deann1431 	ron39 	LK98 	RAK79 	5♣W= 	400 	100.00% 	Movie or Lin 	 
2 	2020-09-04 14:56 	njskag 	caught1 	hsafak 	skipinlake 	2♠W+1 	140 	99.25% 	Movie or Lin 	 
3 	2020-09-04 14:55 	art12345 	Schafer 	rcat2222 	rps123456 	4♣W= 	130 	95.86% 	Movie or Lin 	 
4 	2020-09-04 14:56 	norat101 	gvrjon 	joycehendy 	wrOOster1 	3♣W+1 	130 	95.86% 	Movie or Lin 	 
5 	2020-09-04 14:56 	rwerber 	Rolltide69 	gennady509 	Rom2003 	4♣W= 	130 	95.86% 	Movie or Lin 	 
6 	2020-09-04 14:53 	sandyhh 	rrichar 	nffellman 	cholula 	3♣W+1 	130 	95.86% 	Movie or Lin 	 
7 	2020-09-04 14:56 	welajo 	blizzard20 	jgm7x 	Lilly0127 	3♣E+1 	130 	95.86% 	Movie or Lin 	 
8 	2020-09-04 14:56 	Carol30 	Ace1795 	240zM2C 	Chock16 	4♣W= 	130 	95.86% 	Movie or Lin 	 
9 	2020-09-04 14:56 	gizmo1211 	rakkss 	mizmeck 	shaji 	3♣W+1 	130 	95.86% 	Movie or Lin 	 
10 	2020-09-04 14:54 	wonyoung12 	deucswild 	coachw 	davidm 	4♣W= 	130 	95.86% 	Movie or Lin 	 
11 	2020-09-04 14:55 	Qusiesusie 	candy3504 	brolin 	ceciliabid 	3♣E= 	110 	89.10% 	Movie or Lin 	 
12 	2020-09-04 14:56 	Eugene10 	CatLady3 	bozenpete 	mongol36 	3♣W= 	110 	89.10% 	Movie or Lin 	 
13 	2020-09-04 14:56 	hughlm 	RTDodger68 	merrionvie 	Bandit52 	3♣W= 	110 	89.10% 	Movie or Lin 	 
14 	2020-09-04 14:56 	IrvingGew 	ladepeche 	bettymelbo 	ZUFONG 	3♣E= 	110 	89.10% 	Movie or Lin 	 
15 	2020-09-04 14:56 	wwulithi 	marybwatts 	mrobichek 	elogg 	3♣W= 	110 	89.10% 	Movie or Lin 	 
