

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 6384-1599253200-64344529 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#6384 Pairs ACBL Fri 5pm Speedball 	2/286 	2.40 	76.57% 	 
1 	2020-09-04 14:48 	BruceJ49 	Rhett44 	Betty0218 	Bob0102 	3NS-2 	200 	99.65% 	Movie or Lin 	 
2 	2020-09-04 14:48 	SPJ100 	7_diamonds 	richard403 	Kampioen31 	3NS-2 	200 	99.65% 	Movie or Lin 	 
3 	2020-09-04 14:47 	deann1431 	ron39 	LK98 	RAK79 	2♠S-1 	100 	97.89% 	Movie or Lin 	 
4 	2020-09-04 14:48 	CathyAnn 	mhood 	emilyseide 	sheleb 	2NS-1 	100 	97.89% 	Movie or Lin 	 
5 	2020-09-04 14:46 	Silverlora 	lawgal 	pill43 	Bijou5 	3NS-1 	100 	97.89% 	Movie or Lin 	 
6 	2020-09-04 14:43 	Arizona95 	elaine1624 	Rikke S 	JOAN144 	PASS 	0 	96.48% 	Movie or Lin 	 
7 	2020-09-04 14:46 	conosur 	gbonline21 	morriswi01 	marybray 	1♦S= 	-70 	95.77% 	Movie or Lin 	 
8 	2020-09-04 14:47 	cazon 	kathy1961 	Spedia 	rochima 	1NS= 	-90 	78.87% 	Movie or Lin 	 
9 	2020-09-04 14:46 	osan2 	gschwemer 	chonita1 	carza 	1NS= 	-90 	78.87% 	Movie or Lin 	 
10 	2020-09-04 14:46 	peristy 	ariddragon 	Caveman111 	ellenanten 	1♦S+1 	-90 	78.87% 	Movie or Lin 	 
11 	2020-09-04 14:46 	welajo 	blizzard20 	jgm7x 	Lilly0127 	1NS= 	-90 	78.87% 	Movie or Lin 	 
12 	2020-09-04 14:47 	mnmsgirl 	Archiegirl 	steliosk 	AlikiT 	1NS= 	-90 	78.87% 	Movie or Lin 	 
13 	2020-09-04 14:46 	hughlm 	RTDodger68 	merrionvie 	Bandit52 	1NS= 	-90 	78.87% 	Movie or Lin 	 
14 	2020-09-04 14:47 	purnimasha 	vkshah1941 	ksolarz 	RNAIRN 	1NS= 	-90 	78.87% 	Movie or Lin 	 
15 	2020-09-04 14:47 	marysmi 	LeslieFL 	Seadog680 	9hemlock 	1NS= 	-90 	78.87% 	Movie or Lin 	 
16 	2020-09-04 14:46 	IrvingGew 	ladepeche 	bettymelbo 	ZUFONG 	1NS= 	-90 	78.87% 	Movie or Lin 	 
17 	2020-09-04 14:45 	BridgKaron 	dgmgolf 	jangje 	oystein1 	1NS= 	-90 	78.87% 	Movie or Lin 	 
18 	2020-09-04 14:48 	Jacklois 	Dorrice 	Designsony 	griffe12 	1NS= 	-90 	78.87% 	Movie or Lin 	 
19 	2020-09-04 14:45 	elijah13 	natasha11 	Tater11 	FiveOSplit 	1NS= 	-90 	78.87% 	Movie or Lin 	 
20 	2020-09-04 14:48 	honeypes 	zapoly 	Patsy53 	cordless1 	1♦S+1 	-90 	78.87% 	Movie or Lin 	 
21 	2020-09-04 14:45 	iuirv 	Gracecha 	klee1940 	flockie 	1NS= 	-90 	78.87% 	Movie or Lin 	 
22 	2020-09-04 14:48 	asked 	beverly5 	veryfy 	goldfrad 	1NS= 	-90 	78.87% 	Movie or Lin 	 
23 	2020-09-04 14:45 	jasminb4 	sabz 	Arlene Gre 	PatBerg 	1NS= 	-90 	78.87% 	Movie or Lin 	 
24 	2020-09-04 14:46 	Gigi2play 	auntalicef 	palentz 	vicorio1 	1NS= 	-90 	78.87% 	Movie or Lin 	 
25 	2020-09-04 14:45 	qqq777 	web1racer 	rspriggle 	tinman 39 	1NS= 	-90 	78.87% 	Movie or Lin 	 
26 	2020-09-04 14:48 	jjm50 	diamond__7 	figolido 	chocolate 	1NS= 	-90 	78.87% 	Movie or Lin 	 
27 	2020-09-04 14:45 	dummypro 	juliejoyce 	121442 	Adele46 	1NS= 	-90 	78.87% 	Movie or Lin 	 
