

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 6384-1599253200-64344521 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	EW Points 	Score 	Movie 	 
#6384 Pairs ACBL Fri 5pm Speedball 	2/286 	2.40 	76.57% 	 
1 	2020-09-04 14:09 	Silverlora 	lawgal 	sammaitar 	Jdd 	3♣N-2 	200 	98.94% 	Movie or Lin 	 
2 	2020-09-04 14:08 	LASLYFLY 	PeterOK 	mrobichek 	elogg 	3♠S-2 	200 	98.94% 	Movie or Lin 	 
3 	2020-09-04 14:08 	sandy mill 	harrietep 	concierges 	keystoner2 	4♠S-2 	200 	98.94% 	Movie or Lin 	 
4 	2020-09-04 14:09 	eacg 	patmcelhin 	jsh80 	APO42 	3NN-2 	200 	98.94% 	Movie or Lin 	 
5 	2020-09-04 14:09 	cupid28 	genevagirl 	mgrayson78 	savbunny 	3♥W= 	140 	96.48% 	Movie or Lin 	 
6 	2020-09-04 14:10 	jasminb4 	sabz 	chapalalou 	dowder 	3♥W= 	140 	96.48% 	Movie or Lin 	 
7 	2020-09-04 14:07 	norma70 	ddlion 	nffellman 	cholula 	3♥W= 	140 	96.48% 	Movie or Lin 	 
8 	2020-09-04 14:07 	Carol30 	Ace1795 	b-stick 	expo4 	2♥W= 	110 	93.31% 	Movie or Lin 	 
9 	2020-09-04 14:09 	bumportant 	Donnarod 	lvzee 	passell 	2♥W= 	110 	93.31% 	Movie or Lin 	 
10 	2020-09-04 14:07 	Forehand94 	GabZP 	dubose 	265426 	2♥W= 	110 	93.31% 	Movie or Lin 	 
11 	2020-09-04 14:08 	Jeannow 	bobnbbase 	morriswi01 	marybray 	2♥W= 	110 	93.31% 	Movie or Lin 	 
12 	2020-09-04 14:10 	Arizona95 	elaine1624 	palentz 	vicorio1 	2♥W= 	110 	93.31% 	Movie or Lin 	 
13 	2020-09-04 14:07 	Redlipstic 	lantana49 	anonimatto 	ricoli 	2♥W= 	110 	93.31% 	Movie or Lin 	 
14 	2020-09-04 14:13 	peeper guy 	guymath 	Boots off 	jansen11 	4♠S-1 	100 	85.21% 	Movie or Lin 	 
15 	2020-09-04 14:08 	jludwig 	glenne 	jgm7x 	Lilly0127 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
16 	2020-09-04 14:08 	mycroft5 	jeanfarns 	mzeller 	azzie61 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
17 	2020-09-04 14:09 	2sleepless 	oledaj 	Jeantennis 	pattigolf 	4♠S-1 	100 	85.21% 	Movie or Lin 	 
18 	2020-09-04 14:09 	NanRaye 	gc0417 	JeanCW 	janewinsit 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
19 	2020-09-04 14:09 	mjobridge 	Laspangle 	maggiva1 	hazzi1 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
20 	2020-09-04 14:08 	russpete 	witzi319 	steliosk 	AlikiT 	2♠S-1 	100 	85.21% 	Movie or Lin 	 
21 	2020-09-04 14:08 	ButtonsMom 	missycat 	camura 	Sueavenida 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
22 	2020-09-04 14:10 	SPJ100 	7_diamonds 	Seadog680 	9hemlock 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
23 	2020-09-04 14:08 	purnimasha 	vkshah1941 	Eta Beta 3 	reve_ 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
24 	2020-09-04 14:10 	katapulta 	jerzyna 	jogle 	kittydee 	4♠S-1 	100 	85.21% 	Movie or Lin 	 
25 	2020-09-04 14:09 	bertsure4 	drewme 	mizmeck 	shaji 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
26 	2020-09-04 14:10 	rickrock 	Flying8 	ksolarz 	RNAIRN 	4♠S-1 	100 	85.21% 	Movie or Lin 	 
27 	2020-09-04 14:06 	teamlevine 	jlevine112 	docdad1 	susanakaz 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
28 	2020-09-04 14:11 	Gloria561 	Doug2911 	Gennady509 	Rom2003 	2♠S-1 	100 	85.21% 	Movie or Lin 	 
29 	2020-09-04 14:09 	Mary-Lou 	hengevel 	phylmor 	MMMor 	3♠S-1 	100 	85.21% 	Movie or Lin 	 
30 	2020-09-04 14:11 	BruceJ49 	Rhett44 	karo1025 	susucamp 	4♠S-1 	100 	85.21% 	Movie or Lin 	 
31 	2020-09-04 14:08 	greyrabbit 	jalansetia 	calcgal 	mokam 	2♥W-1 	-50 	77.11% 	Movie or Lin 	 
32 	2020-09-04 14:08 	Joephill 	ELIZKROS 	jeancler 	cherieann 	3♥W-1 	-50 	77.11% 	Movie or Lin 	 
33 	2020-09-04 14:08 	J1Simmons 	F1Simmons 	coachw 	davidm 	2♥W-1 	-50 	77.11% 	Movie or Lin 	 
34 	2020-09-04 14:09 	pithagorus 	Virginia83 	bunnu440 	lynal 	3♥W-1 	-50 	77.11% 	Movie or Lin 	 
35 	2020-09-04 14:09 	welajo 	blizzard20 	Betty0218 	Bob0102 	3♥W-1 	-50 	77.11% 	Movie or Lin 	 
36 	2020-09-04 14:09 	oppenheima 	roppenhe 	wstuart 	olien 	3♥W-1 	-50 	77.11% 	Movie or Lin 	 
37 	2020-09-04 14:09 	Belleharbo 	dss303 	Arlene Gre 	PatBerg 	1NN= 	-90 	74.30% 	Movie or Lin 	 
38 	2020-09-04 14:07 	iuirv 	Gracecha 	Rikke S 	JOAN144 	1NS= 	-90 	74.30% 	Movie or Lin 	 
39 	2020-09-04 14:14 	jimmiel 	rtowntoo 	1urbacz 	janders47 	3♥xW-1 	-100 	69.72% 	Movie or Lin 	 
40 	2020-09-04 14:09 	eugene10 	CatLady3 	joycehendy 	wrOOster1 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
41 	2020-09-04 14:08 	hidden32 	Garrison L 	andrewsmom 	oldpost 	3♥xW-1 	-100 	69.72% 	Movie or Lin 	 
42 	2020-09-04 14:09 	jawfish3 	dshepherd 	mrglawyer 	jensay 	3♥xW-1 	-100 	69.72% 	Movie or Lin 	 
43 	2020-09-04 14:09 	resbayes 	lindagu 	bxv 	redbull 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
44 	2020-09-04 14:08 	debking 	liuhvicky 	boby  34 	zazaal 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
45 	2020-09-04 14:08 	marysmi 	LeslieFL 	Tater11 	FiveOSplit 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
46 	2020-09-04 14:10 	peristy 	ariddragon 	Mistee 	trumpface 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
47 	2020-09-04 14:10 	bevgingin 	vtahoy 	agedtoperf 	chefmaggie 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
48 	2020-09-04 14:13 	jobengland 	tpsc 	bozenpete 	mongol36 	3♥xW-1 	-100 	69.72% 	Movie or Lin 	 
49 	2020-09-04 14:11 	jjm50 	diamond__7 	luv2X 	estaban 	3♥W-2 	-100 	69.72% 	Movie or Lin 	 
50 	2020-09-04 14:09 	DARWZ 	marcie11 	kate nwk 	kc2ny 	2♠S= 	-110 	61.62% 	Movie or Lin 	 
51 	2020-09-04 14:08 	kristinebe 	ddcatboots 	tengal47 	tennhill 	2♠S= 	-110 	61.62% 	Movie or Lin 	 
52 	2020-09-04 14:08 	mnmsgirl 	Archiegirl 	terrilrich 	nawb 	2♠S= 	-110 	61.62% 	Movie or Lin 	 
